ram_stock_id,dfo_fishery,dfo_data_years,saup_taxonkey,saup_taxoncomname,spatial data comments,priority
BOCACCBCW,,,400573,"Rockfishes, rockcods, thornyheads",saup not at species level,saup
CROCKWCVANISOGQCI,,,400573,"Rockfishes, rockcods, thornyheads",saup not at species level,saup
ESOLEHS,,,300061,Flatfishes,saup not at species level,saup
EULAPCOASTFRDU,,,600256,Eulachon,,saup
HERRCC,herringcatch OR herringfoodandbait,1989-2014 OR 2011-2015,601520,Pacific herring,herringcatch spans more years; includes roe herring and test fishing,saup
HERRQCI,herringcatch OR herringfoodandbait,1989-2014 OR 2011-2015,601520,Pacific herring,herringcatch spans more years; includes roe herring and test fishing,saup
HERRSOG,herringcatch OR herringfoodandbait,1989-2014 OR 2011-2015,601520,Pacific herring,herringcatch spans more years; includes roe herring and test fishing,saup
HERRWCVANI,herringcatch OR herringfoodandbait,1989-2014 OR 2011-2015,601520,Pacific herring,herringcatch spans more years; includes roe herring and test fishing,saup
LINGCODSOG,herringcatch OR herringfoodandbait,1989-2014 OR 2011-2015,600509,Lingcod,saup not at species level,saup
PANDALSMA14,tot_shrimptrawl_sum_pinks_2005-2015.tif,2005-2015,290022,"Lobsters, crabs, shrimps, krill",dfo trawl only; saup not at species level ,saup
PANDALSMAFR,tot_shrimptrawl_sum_pinks_2005-2015.tif,2005-2015,290022,"Lobsters, crabs, shrimps, krill",dfo trawl only; saup not at species level ,saup
PANDALSMAPRD,tot_shrimptrawl_sum_pinks_2005-2015.tif,2005-2015,290022,"Lobsters, crabs, shrimps, krill",dfo trawl only; saup not at species level ,saup
PCOD5AB,,,600308,Pacific cod,no dfo,saup
PCODHS,,,600308,Pacific cod,no dfo,saup
PCODWCVANI,,,600308,Pacific cod,no dfo,saup
PERCHQCI,tot_groundfishlonglineold_popwt_2006-2012.tif,2006-2012,600504,Pacific ocean perch,dfo based on old data - new data aggregated to total groundfish,dfo
PERCHWCVANI,tot_groundfishlonglineold_popwt_2006-2012.tif,2006-2012,600504,Pacific ocean perch,dfo based on old data - new data aggregated to total groundfish,dfo
RSOLE5AB,,,300061,Flatfishes,saup not at species level,saup
RSOLEHSTR,,,300061,Flatfishes,saup not at species level,saup
SABLEFPCAN,tot_groundfishtrawlold_sablewt_1996-2012.tif,1996-2012,600512,Sablefish,dfo based on old data - new data aggregated to total groundfish,saup
SSHRIMPSMAPRD,tot_shrimptrawl_sum_sdstrp_2005-2015.tif,2005-2015,290022,"Lobsters, crabs, shrimps, krill",dfo trawl only; saup not at species level ,dfo
SSSHRIMPSMA14,tot_shrimptrawl_sum_sdstrp_2005-2015.tif,2005-2015,290022,"Lobsters, crabs, shrimps, krill",dfo trawl only; saup not at species level ,dfo
SSSHRIMPSMAFR,tot_shrimptrawl_sum_sdstrp_2005-2015.tif,2005-2015,290022,"Lobsters, crabs, shrimps, krill",dfo trawl only; saup not at species level ,dfo
