stock_id,stock_name_mod
BOCACCBCW,Bocaccio BC All
CROCKWCVANISOGQCI,Canary rockfish WCVanI-SoG-QCI
ESOLEHS,English sole Hecate Strait
EULAPCOASTFRDU,Eulachon Fraser River DU
HERRCC,Pacific herring CC
HERRQCI,Pacific herring QCI
HERRSOG,Pacific herring SoG
HERRWCVANI,Pacific herring WCVanI
LINGCODSOG,Lingcod SoG
PANDALSMA14,Northern shrimp SMA 14
PANDALSMAFR,Northern shrimp SMA FR
PANDALSMAPRD,Northern shrimp SMA PRD
PCOD5AB,Pacific cod QCS
PCODHS,Pacific cod Hecate Strait
PCODWCVANI,Pacific cod WCVanI
PERCHQCI,Pacific Ocean perch QCI
PERCHWCVANI,Pacific Ocean perch WCVanI
RSOLE5AB,Rock sole QCS
RSOLEHSTR,Rock sole Hecate Strait
SABLEFPCAN,Sablefish BC All
SSHRIMPSMAPRD,Sidestripe shrimp SMA PRD
SSSHRIMPSMA14,Sidestripe shrimp SMA 14
SSSHRIMPSMAFR,Sidestripe shrimp SMA FR
BIGSKA3CD,Big skate WCVanI
BIGSKA4B,Big skate SoG
BIGSKA5AB,Big skate QCS
BIGSKA5CDE,Big skate Hecate Strait
HERRPRD,Pacific herring Prince Rupert
LNOSESKA3CD,Longnose skate WCVanI
LNOSESKA4B,Longnose Skate SoG
LNOSESKA5AB,Longnose Skate QCS
LNOSESKA5CDE,Longnose skate Hecate Strait
PANDALSMA16,Northern shrimp SMA 16
PANDALSMA18-19,Northern shrimp SMA 18-19
PANDALSMAGTSE,Northern shrimp SMA GTSE
QROCKPCOASTIN,Quillback rockfish Pac Coast (In)
QROCKPCOASTOUT,Quillback rockfish Pac Coast (Out)
SARDBC,Pacific sardine BC All
SSHRIMPSMAGTSE,Sidestripe shrimp SMA GTSE
SSSHRIMPSMA16,Sidestripe shrimp SMA 16
SSSHRIMPSMA18-19,Sidestripe shrimp SMA 18-19
YEYEROCKPCOASTIN,Yelloweye rockfish Pac Coast (In)
