rgn_id,sablewt,year
1,2116.48125495759,2012
2,53292.2574942926,2012
3,6796.18999921775,2012
4,14501.3899997846,2012
5,131159.730569316,2012
6,0,2012
7,0,2012
8,0,2012
1,1557.39000136606,2011
2,25642.5300233384,2011
3,23016.2650046068,2011
4,24466.0050000633,2011
5,127589.124285495,2011
6,0,2011
7,0,2011
8,0,2011
1,1773.49936651316,2010
2,45604.8406254417,2010
3,79335.669997414,2010
4,24409.9999975618,2010
5,107425.736905026,2010
6,1.81,2010
7,0,2010
8,9.07,2010
1,3621.12373199381,2009
2,35485.8063036642,2009
3,27061.7156232096,2009
4,24229.2043746845,2009
5,103288.673048696,2009
6,10.236875,2009
7,0,2009
8,0,2009
1,2383.93874868669,2008
2,23992.2512023477,2008
3,16670.2900078492,2008
4,7995.53000025788,2008
5,279477.342623921,2008
6,9.635,2008
7,0,2008
8,0,2008
1,1785.14875226406,2007
2,13486.6612393532,2007
3,17338.9700083068,2007
4,10582.7700066709,2007
5,176537.690537246,2007
6,0.91,2007
7,0,2007
8,0,2007
1,5583.8837598013,2006
2,67472.966280772,2006
3,24322.9875095142,2006
4,12210.4325011816,2006
5,314824.755565504,2006
6,0,2006
7,0,2006
8,0,2006
1,17877.7043493963,2005
2,45355.0543044838,2005
3,16680.5574976904,2005
4,22697.3125027105,2005
5,284379.283612553,2005
6,0.40625,2005
7,0,2005
8,9.66,2005
1,9544.74560013001,2004
2,66839.7062403281,2004
3,21733.1825014407,2004
4,18396.3643920372,2004
5,366251.721212471,2004
6,2.27,2004
7,0,2004
8,0,2004
1,10549.3799720874,2003
2,68097.6158099618,2003
3,42693.2656518089,2003
4,37993.9437834779,2003
5,308041.813737917,2003
6,10.2,2003
7,0,2003
8,0,2003
1,35297.5743808181,2002
2,97005.6718813143,2002
3,116900.38492983,2002
4,87599.4214201857,2002
5,351263.869935392,2002
6,7.9625,2002
7,0,2002
8,0,2002
1,19014.6181525701,2001
2,79279.6549544623,2001
3,93161.7993728487,2001
4,42990.8881534527,2001
5,306022.510553236,2001
6,2.28625,2001
7,0,2001
8,0.1125,2001
1,32299.0330438365,2000
2,112708.230766117,2000
3,139750.798157394,2000
4,71024.0533158694,2000
5,322925.265528374,2000
6,0,2000
7,0,2000
8,1.87125,2000
1,98436.3414686293,1999
2,58479.2087139826,1999
3,79684.3987511125,1999
4,54808.3538300821,1999
5,437354.91445816,1999
6,0,1999
7,0,1999
8,297.1075,1999
1,68255.2053768892,1998
2,65439.8562826038,1998
3,54056.0475036129,1998
4,35357.1681508889,1998
5,441201.55941925,1998
6,0,1998
7,0,1998
8,26.3925,1998
1,34177.8324641822,1997
2,55707.4243966535,1997
3,142962.855176256,1997
4,24726.1219102455,1997
5,286660.733064045,1997
6,0,1997
7,0,1997
8,15.90625,1997
1,49910.9401361554,1996
2,106775.637797169,1996
3,46243.1932639795,1996
4,34839.0461928052,1996
5,257690.470910873,1996
6,0,1996
7,0,1996
8,48.2424999041406,1996
