rgn_id,sablewt,year
1,1717.36000280804,2012
2,51580.2000099941,2012
3,18198.8050025864,2012
4,1964.33875,2012
5,422.92874775825,2012
6,0,2012
7,0,2012
8,31.5143752303437,2012
1,1548.94375340858,2011
2,64661.2961614115,2011
3,18798.9818784622,2011
4,855.06,2011
5,16584.10687859,2011
6,0,2011
7,0,2011
8,116.636250213406,2011
1,2605.91689747084,2010
2,56749.7756434261,2010
3,24463.0656250439,2010
4,1307.68875,2010
5,8057.69250462783,2010
6,0,2010
7,0,2010
8,6.57437506152344,2010
1,3491.83875744281,2009
2,84259.9062958883,2009
3,28306.1393760768,2009
4,908.441249770875,2009
5,12019.2462499064,2009
6,14.50625,2009
7,0,2009
8,20.521250018375,2009
1,2931.32063080704,2008
2,111744.780068012,2008
3,31549.4668746563,2008
4,3067.70249440254,2008
5,20037.3193748794,2008
6,13.01,2008
7,0,2008
8,6.92062506524219,2008
1,3268.52563372031,2007
2,156085.406239004,2007
3,30202.6337502902,2007
4,1937.68311936638,2007
5,32776.2893838531,2007
6,14.19,2007
7,0,2007
8,20.085,2007
1,4044.1693994509,2006
2,129055.050018909,2006
3,25034.2687487423,2006
4,6107.72999884062,2006
5,45594.9568785652,2006
6,21.676875,2006
7,0,2006
8,0,2006
