rgn_id,catch_kg,year
1,1440235.125,2011
2,0,2011
3,0,2011
4,44028.0625,2011
5,316278,2011
6,188658.0625,2011
7,0,2011
8,277942.5,2011
1,53528.875,2010
2,0,2010
3,1427995.8125,2010
4,88056.0625,2010
5,310301.9375,2010
6,96862.6875,2010
7,0,2010
8,119666.6875,2010
1,93964.625,2009
2,469162.3125,2009
3,0,2009
4,5538.3125,2009
5,142028.0625,2009
6,89563.5625,2009
7,0,2009
8,26763.25,2009
1,646476.125,2008
2,0,2008
3,0,2008
4,9195.9375,2008
5,141106.5,2008
6,66406.5625,2008
7,0,2008
8,157550.625,2008
1,0,2007
2,0,2007
3,681893.5,2007
4,46457.625,2007
5,162247.125,2007
6,44439,2007
7,0,2007
8,12921.0625,2007
1,0,2006
2,541128.5625,2006
3,0,2006
4,7318.875,2006
5,189816.5625,2006
6,87632.5625,2006
7,0,2006
8,0,2006
1,574543.9375,2005
2,0,2005
3,0,2005
4,5161.75,2005
5,188030.8125,2005
6,80836.3125,2005
7,0,2005
8,105616,2005
1,42449.125,2004
2,0,2004
3,581816.0625,2004
4,57895.9375,2004
5,235810.0625,2004
6,70164.6875,2004
7,0,2004
8,41275.625,2004
1,0,2003
2,499387.5625,2003
3,0,2003
4,6642.0625,2003
5,233839,2003
6,106848.875,2003
7,0,2003
8,0,2003
