rgn_id,popwt,year
1,0,2012
2,60.259999964375,2012
3,3.56,2012
4,0,2012
5,0.45,2012
6,0,2012
7,0,2012
8,0,2012
1,0,2011
2,96.429999456875,2011
3,3.86,2011
4,0.55625,2011
5,33.32,2011
6,0,2011
7,0,2011
8,0,2011
1,0.5,2010
2,125.30000041475,2010
3,11.7,2010
4,0,2010
5,10.67000002225,2010
6,0,2010
7,0,2010
8,0,2010
1,0,2009
2,43.7999998055,2009
3,14.22,2009
4,0,2009
5,2.22,2009
6,0,2009
7,0,2009
8,0,2009
1,0,2008
2,126.489999922125,2008
3,38.05,2008
4,38.52999987425,2008
5,13.48,2008
6,0,2008
7,0,2008
8,0,2008
1,0,2007
2,84.970000202,2007
3,34.67,2007
4,6.38,2007
5,19.72,2007
6,0,2007
7,0,2007
8,0,2007
1,0,2006
2,85.380000016625,2006
3,0,2006
4,2.34,2006
5,13.87,2006
6,0,2006
7,0,2006
8,0,2006
