rgn_id,catch_kg,year
1,28836.75,2011
2,59146.5,2011
3,216977.875,2011
4,644080.5,2011
5,548992.5,2011
6,1229297.75,2011
7,0,2011
8,30.5625,2011
1,4943.0625,2010
2,45266.875,2010
3,103538.875,2010
4,506824.0625,2010
5,436618.0625,2010
6,1109914.5,2010
7,0,2010
8,0,2010
1,10254.3125,2009
2,0,2009
3,35693.8125,2009
4,358453.875,2009
5,195097.3125,2009
6,1101606.5,2009
7,0,2009
8,184,2009
1,5268.1875,2008
2,0,2008
3,30480.75,2008
4,175720.75,2008
5,104887.25,2008
6,980729.375,2008
7,0,2008
8,0,2008
1,18953.3125,2007
2,3821.3125,2007
3,33767.1875,2007
4,201495.5625,2007
5,55756.4375,2007
6,1233639.8125,2007
7,0,2007
8,5.375,2007
1,18884.75,2006
2,7815.0625,2006
3,51141.6875,2006
4,181811.9375,2006
5,56763.4375,2006
6,1061325.375,2006
7,0,2006
8,305.3125,2006
1,15472.75,2005
2,20732.375,2005
3,22753.75,2005
4,225936.125,2005
5,80373.8125,2005
6,825082.0625,2005
7,0,2005
8,0,2005
1,18286.5,2004
2,34187.625,2004
3,48490.5625,2004
4,166130.1875,2004
5,102054.5625,2004
6,667095.125,2004
7,0,2004
8,155,2004
1,12324.375,2003
2,89782.5625,2003
3,50536,2003
4,195890.9375,2003
5,134863.8125,2003
6,798650.4375,2003
7,0,2003
8,0,2003
1,28906.3125,2002
2,9535.375,2002
3,38481.3125,2002
4,201076.4375,2002
5,117353.125,2002
6,551032,2002
7,0,2002
8,0,2002
1,49008.75,2001
2,13797.8125,2001
3,29148.8125,2001
4,241070.4375,2001
5,91545.125,2001
6,724897.1875,2001
7,0,2001
8,0,2001
