rgn_id,effort_hr,year
1,583067.9375,2011
2,1501138.125,2011
3,0,2011
4,240463,2011
5,805679.25,2011
6,2381188.625,2011
7,0,2011
8,0,2011
1,674182.9375,2010
2,2971800.0625,2010
3,0,2010
4,219024.8125,2010
5,933682.125,2010
6,2204042.9375,2010
7,0,2010
8,0,2010
1,918478.625,2009
2,2544283.3125,2009
3,0,2009
4,331676.8125,2009
5,837786.5,2009
6,2625690.5,2009
7,0,2009
8,0,2009
1,1144677.75,2008
2,2593176.5625,2008
3,0,2008
4,175850.8125,2008
5,1121905.625,2008
6,2337504.1875,2008
7,0,2008
8,0,2008
1,1110417.6875,2007
2,2865986.0625,2007
3,0,2007
4,139882.5,2007
5,1151723.1875,2007
6,1960203.25,2007
7,0,2007
8,0,2007
1,1089659.0625,2006
2,3582742.5625,2006
3,0,2006
4,125233.625,2006
5,1450777.125,2006
6,2125993.3125,2006
7,0,2006
8,0,2006
1,1503977.0625,2005
2,2962513.9375,2005
3,0,2005
4,192636.625,2005
5,1382494.5,2005
6,2926612.1875,2005
7,0,2005
8,0,2005
1,1224401.625,2004
2,3494469.3125,2004
3,0,2004
4,216907.875,2004
5,1644872.8125,2004
6,3512411.1875,2004
7,0,2004
8,0,2004
1,1372887.0625,2003
2,2870931.0625,2003
3,0,2003
4,245346.0625,2003
5,1998771.5,2003
6,3680495.5,2003
7,0,2003
8,0,2003
1,1707068.5,2002
2,2491455.375,2002
3,0,2002
4,155161.6875,2002
5,2100131.3125,2002
6,3485458.875,2002
7,0,2002
8,0,2002
1,1033181.5,2001
2,1910339.5,2001
3,0,2001
4,67838.75,2001
5,2127765,2001
6,3094136.0625,2001
7,0,2001
8,221.25,2001
