rgn_id,hakewt,year
1,33508.6588911772,2012
2,42718.1805969471,2012
3,3106480.23958154,2012
4,14230799.0758279,2012
5,24127775.8405621,2012
6,437.58312501675,2012
7,0,2012
8,0,2012
1,202.149375233375,2011
2,81357.099915123,2011
3,3728016.72466331,2011
4,9192046.71464092,2011
5,25918130.1002236,2011
6,247.388750064875,2011
7,0,2011
8,0,2011
1,29318.3362959147,2010
2,732594.113131049,2010
3,2343112.96342772,2010
4,355983.268760646,2010
5,37354598.9081694,2010
6,606.12562501525,2010
7,0,2010
8,4.54,2010
1,15027.6448055947,2009
2,115326.62527749,2009
3,8022317.97803016,2009
4,3020566.87300999,2009
5,31210298.5882302,2009
6,381.6981250535,2009
7,0,2009
8,0,2009
1,1145332.28153429,2008
2,744984.993095091,2008
3,16134412.3346528,2008
4,572305.057955552,2008
5,35380535.7516951,2008
6,732.594375052875,2008
7,0,2008
8,0,2008
1,914952.580325299,2007
2,498317.210876204,2007
3,19961941.143934,2007
4,6569587.13014434,2007
5,21042298.0091519,2007
6,3496.010624951,2007
7,0,2007
8,0,2007
1,121980.866520201,2006
2,287802.733858393,2006
3,19235013.1759829,2006
4,16890008.8267312,2006
5,28844993.7077703,2006
6,885.540627293625,2006
7,0,2006
8,0,2006
1,430097.748473482,2005
2,507712.973659427,2005
3,306661.232492653,2005
4,906253.84083584,2005
5,64682750.187917,2005
6,836828.985006406,2005
7,0,2005
8,34.01,2005
1,63739.7381239119,2004
2,114260.089580088,2004
3,223272.793155397,2004
4,70900.4188095279,2004
5,44997959.3868019,2004
6,2546.47500008496,2004
7,0,2004
8,0,2004
1,1990.93625146734,2003
2,21927.983825913,2003
3,125067.634990053,2003
4,125262.489393444,2003
5,50792663.815274,2003
6,4077105.36580912,2003
7,0,2003
8,0,2003
1,71.86812484025,2002
2,1930.02187482211,2002
3,2699.93874993495,2002
4,18162.338749586,2002
5,37310671.2017764,2002
6,3891801.38344099,2002
7,0,2002
8,11.33,2002
1,1381.78437522444,2001
2,5106.44374677463,2001
3,7496.82562522087,2001
4,51337.4187501815,2001
5,22311891.6550888,2001
6,3565945.6605,2001
7,0,2001
8,0,2001
1,2385.27750037378,2000
2,150375.255955524,2000
3,2116252.2996738,2000
4,360914.231419677,2000
5,862932.580881774,2000
6,0,2000
7,0,2000
8,0,2000
1,3741.9449999205,1999
2,110782.922661611,1999
3,126408.677503627,1999
4,151987.468581399,1999
5,51621055.2210255,1999
6,1431837.96,1999
7,0,1999
8,96.475625,1999
1,37755.8625683064,1998
2,139650.13070813,1998
3,143017.453784443,1998
4,243632.579969696,1998
5,34421206.9554852,1998
6,1444325.69,1998
7,0,1998
8,1.13375,1998
1,2985.40249628575,1997
2,76203.9874923171,1997
3,170139.108705511,1997
4,61533.0988275672,1997
5,30042661.0778398,1997
6,2425913.31690986,1997
7,0,1997
8,12.1625,1997
1,12355.8253446976,1996
2,60212.8480245645,1996
3,173106.487479699,1996
4,33928.9391161079,1996
5,15434496.3077699,1996
6,3589782.31406517,1996
7,0,1996
8,7.62312491250781,1996
