rgn_id,halibwt,year
1,88060.1297656455,2012
2,886713.250021526,2012
3,328320.31690215,2012
4,84590.1337468277,2012
5,13727.5006512222,2012
6,0,2012
7,0,2012
8,6021.7856412786,2012
1,85125.5517029913,2011
2,1113346.11960575,2011
3,370341.418884097,2011
4,99251.2393890438,2011
5,65416.9093962729,2011
6,0,2011
7,0,2011
8,3258.75750050743,2011
1,119558.516540641,2010
2,1044259.54523084,2010
3,429450.521256689,2010
4,74626.0056034304,2010
5,73567.5212434112,2010
6,133.1218761625,2010
7,0,2010
8,3900.86062694365,2010
1,129630.627726797,2009
2,1045399.05798865,2009
3,330328.641345001,2009
4,52580.2280975664,2009
5,132479.277525487,2009
6,241.890000550375,2009
7,0,2009
8,11758.7706434934,2009
1,168795.186896956,2008
2,1350210.90956201,2008
3,401909.807513787,2008
4,106300.795607472,2008
5,157074.077513532,2008
6,94.221250179625,2008
7,0,2008
8,7409.7506428632,2008
1,188136.722682951,2007
2,2216816.20415634,2007
3,469157.813755797,2007
4,84357.7062725011,2007
5,188479.495036412,2007
6,30.66,2007
7,0,2007
8,516.475626992648,2007
1,205428.21873879,2006
2,3017958.49487527,2006
3,704933.936775966,2006
4,168005.757495002,2006
5,430986.712978551,2006
6,38.47,2006
7,0,2006
8,7788.05,2006
