rgn_id,halibwt,year
1,73876.4415403161,2012
2,78640.7710912688,2012
3,110115.284881845,2012
4,7019.32500027775,2012
5,64887.3256281691,2012
6,781.34812579375,2012
7,0,2012
8,0,2012
1,60390.3800777005,2011
2,88077.0501099132,2011
3,139751.109882922,2011
4,9040.3000032315,2011
5,75679.8706301607,2011
6,707.158125,2011
7,0,2011
8,0,2011
1,35790.9768646566,2010
2,51029.943010437,2010
3,202540.257961061,2010
4,7904.62188239352,2010
5,36125.4231224656,2010
6,802.714375816375,2010
7,0,2010
8,35.84,2010
1,46219.1362231068,2009
2,92382.3235954967,2009
3,110117.50117194,2009
4,15309.0887561263,2009
5,79369.7981073631,2009
6,1343.40312548762,2009
7,0,2009
8,0,2009
1,47340.5033082245,2008
2,41190.4368775009,2008
3,65821.6236916656,2008
4,12412.9562718824,2008
5,52753.5574842169,2008
6,916.005625192625,2008
7,0,2008
8,0,2008
1,63190.26136211,2007
2,61306.0486330166,2007
3,182889.493596007,2007
4,9716.58627086355,2007
5,54610.5962458724,2007
6,565.25000007375,2007
7,0,2007
8,0,2007
1,59027.2081466292,2006
2,142541.035554077,2006
3,201846.849258103,2006
4,18504.6106284031,2006
5,84644.1787292315,2006
6,0,2006
7,0,2006
8,0,2006
1,98065.838727412,2005
2,126247.713877766,2005
3,248543.096735803,2005
4,14839.9518800754,2005
5,124636.178110705,2005
6,0,2005
7,0,2005
8,43.55,2005
1,74902.6051915118,2004
2,97670.9687109139,2004
3,173494.707421452,2004
4,28754.7625239255,2004
5,81026.8124812665,2004
6,0,2004
7,0,2004
8,0,2004
1,48467.230114296,2003
2,89740.8629954552,2003
3,221158.052397227,2003
4,27335.3887872328,2003
5,71588.0930956464,2003
6,26.9025,2003
7,0,2003
8,0,2003
1,55802.7289032141,2002
2,95045.7267206976,2002
3,187631.764244225,2002
4,34474.1556520179,2002
5,71444.3337025419,2002
6,0,2002
7,0,2002
8,121.51999892875,2002
1,33824.5438527664,2001
2,92353.4431125301,2001
3,108965.396802833,2001
4,14225.5925082556,2001
5,81619.8943372359,2001
6,0,2001
7,0,2001
8,57.69375,2001
1,79056.0214340096,2000
2,108685.171038592,2000
3,150081.067422028,2000
4,9704.67625031432,2000
5,85660.6743656331,2000
6,0,2000
7,0,2000
8,41.73375,2000
1,68181.2621349613,1999
2,87187.2937211632,1999
3,106933.276807684,1999
4,13881.9200082692,1999
5,79316.9811513697,1999
6,0,1999
7,0,1999
8,318.7175,1999
1,66007.7900478844,1998
2,103017.018592951,1998
3,93046.9580010308,1998
4,21163.1912642888,1998
5,80704.9000004877,1998
6,0,1998
7,0,1998
8,51.311875,1998
1,112277.031565102,1997
2,109260.598053793,1997
3,92411.4374143927,1997
4,18270.9231534084,1997
5,71932.8012824952,1997
6,0,1997
7,0,1997
8,46.69,1997
1,110674.741490845,1996
2,196528.928404018,1996
3,192847.184948259,1996
4,24202.3086477748,1996
5,77498.511933758,1996
6,0,1996
7,0,1996
8,316.786871558984,1996
