rgn_id,catch_kg,year
1,250447.25,2011
2,1601450.0625,2011
3,0,2011
4,95955.4375,2011
5,402749.0625,2011
6,1884986.3125,2011
7,0,2011
8,0,2011
1,472256.375,2010
2,3884083.875,2010
3,0,2010
4,91192.75,2010
5,635814.25,2010
6,2241654,2010
7,0,2010
8,0,2010
1,361358.9375,2009
2,1792986.6875,2009
3,0,2009
4,68366.1875,2009
5,232062.875,2009
6,1260037.75,2009
7,0,2009
8,0,2009
1,766861.3125,2008
2,2885363.6875,2008
3,0,2008
4,32714,2008
5,237961.125,2008
6,1117513.0625,2008
7,0,2008
8,0,2008
1,723134.25,2007
2,3263420.0625,2007
3,0,2007
4,21820.375,2007
5,128643.125,2007
6,1117555.75,2007
7,0,2007
8,0,2007
1,390848.25,2006
2,1295652.5,2006
3,0,2006
4,13332,2006
5,160060.9375,2006
6,1095815.5625,2006
7,0,2006
8,0,2006
1,1009958.25,2005
2,2495722.3125,2005
3,0,2005
4,25816.0625,2005
5,161702.75,2005
6,704800.3125,2005
7,0,2005
8,0,2005
1,1461002.125,2004
2,5482498.25,2004
3,0,2004
4,21895.375,2004
5,270225.75,2004
6,754949.8125,2004
7,0,2004
8,0,2004
1,1180280.4375,2003
2,3264980.4375,2003
3,0,2003
4,34632.1875,2003
5,388125.625,2003
6,675278.9375,2003
7,0,2003
8,0,2003
1,678901.625,2002
2,1312046.6875,2002
3,0,2002
4,14771.3125,2002
5,314647.4375,2002
6,686035.625,2002
7,0,2002
8,0,2002
1,731484.1875,2001
2,2131715.5,2001
3,0,2001
4,8208.25,2001
5,354565.625,2001
6,585771.625,2001
7,0,2001
8,78.1875,2001
