rgn_id,rgn_name,rgn_code,year,lsp_status,lsp_trend
1,North Coast,NC,2016,0.815,0.8367
2,Haida Gwaii,HG,2016,1,0.4253
3,Central Coast,CC,2016,0.895,0.5401
4,North Vancouver Island,NV,2016,0.635,0.9324
5,West Vancouver Island,WV,2016,0.63,0.01175
6,Strait of Georgia,SG,2016,0.2,0.05895
8,Aristazabal Island,AZ,2016,0.885,0.24865
1,North Coast,NC,2015,0.815,1
2,Haida Gwaii,HG,2015,1,0.6771
3,Central Coast,CC,2015,0.895,1
4,North Vancouver Island,NV,2015,0.635,0.90235
5,West Vancouver Island,WV,2015,0.63,0.012199999999999999
6,Strait of Georgia,SG,2015,0.2,0.061450000000000005
8,Aristazabal Island,AZ,2015,0.885,0.4091
1,North Coast,NC,2014,0.425,1
2,Haida Gwaii,HG,2014,1,0.8502500000000001
3,Central Coast,CC,2014,0.755,1
4,North Vancouver Island,NV,2014,0.265,0.3816
5,West Vancouver Island,WV,2014,0.63,0.01175
6,Strait of Georgia,SG,2014,0.2,0.05895
8,Aristazabal Island,AZ,2014,0.585,0.525
1,North Coast,NC,2013,0.425,1
2,Haida Gwaii,HG,2013,1,0.9446
3,Central Coast,CC,2013,0.755,1
4,North Vancouver Island,NV,2013,0.265,0.54995
5,West Vancouver Island,WV,2013,0.63,0.01025
6,Strait of Georgia,SG,2013,0.2,0.05159999999999999
8,Aristazabal Island,AZ,2013,0.585,0.93335
1,North Coast,NC,2012,0.425,1
2,Haida Gwaii,HG,2012,1,0.9603
3,Central Coast,CC,2012,0.755,1
4,North Vancouver Island,NV,2012,0.265,0.65995
5,West Vancouver Island,WV,2012,0.63,0.0078
6,Strait of Georgia,SG,2012,0.2,0.0428
8,Aristazabal Island,AZ,2012,0.585,1
1,North Coast,NC,2011,0.425,1
2,Haida Gwaii,HG,2011,1,0.89725
3,Central Coast,CC,2011,0.755,1
4,North Vancouver Island,NV,2011,0.265,0.7115499999999999
5,West Vancouver Island,WV,2011,0.63,0.0044
6,Strait of Georgia,SG,2011,0.2,0.04815
8,Aristazabal Island,AZ,2011,0.585,1
1,North Coast,NC,2010,0.425,1
2,Haida Gwaii,HG,2010,1,0.7555000000000001
3,Central Coast,CC,2010,0.755,1
4,North Vancouver Island,NV,2010,0.265,0.7048500000000001
5,West Vancouver Island,WV,2010,0.62,0
6,Strait of Georgia,SG,2010,0.185,0.045450000000000004
8,Aristazabal Island,AZ,2010,0.585,1
1,North Coast,NC,2009,0.425,1
2,Haida Gwaii,HG,2009,0.915,0.535
3,Central Coast,CC,2009,0.755,1
4,North Vancouver Island,NV,2009,0.265,0.63975
5,West Vancouver Island,WV,2009,0.62,0.07235
6,Strait of Georgia,SG,2009,0.185,0.07669999999999999
8,Aristazabal Island,AZ,2009,0.585,1
1,North Coast,NC,2008,0.425,1
2,Haida Gwaii,HG,2008,0.915,0.30095
3,Central Coast,CC,2008,0.755,1
4,North Vancouver Island,NV,2008,0.26,0.51625
5,West Vancouver Island,WV,2008,0.62,0.12865
6,Strait of Georgia,SG,2008,0.185,0.10165
8,Aristazabal Island,AZ,2008,0.585,1
1,North Coast,NC,2007,0.29,1
2,Haida Gwaii,HG,2007,0.435,-0
3,Central Coast,CC,2007,0.38999999999999996,1
4,North Vancouver Island,NV,2007,0.26,0.3468
5,West Vancouver Island,WV,2007,0.62,0.16885
6,Strait of Georgia,SG,2007,0.185,0.12315
8,Aristazabal Island,AZ,2007,0.585,0.93335
1,North Coast,NC,2006,0.27,1
2,Haida Gwaii,HG,2006,0.435,-0
3,Central Coast,CC,2006,0.31000000000000005,0.49584999999999996
4,North Vancouver Island,NV,2006,0.195,0.1212
5,West Vancouver Island,WV,2006,0.62,0.19695000000000001
6,Strait of Georgia,SG,2006,0.185,0.13735
8,Aristazabal Island,AZ,2006,0.585,0.525
1,North Coast,NC,2005,0.060000000000000005,0.48485
2,Haida Gwaii,HG,2005,0.435,-0
3,Central Coast,CC,2005,0.11,-0
4,North Vancouver Island,NV,2005,0.135,0
5,West Vancouver Island,WV,2005,0.62,0.21765
6,Strait of Georgia,SG,2005,0.185,0.14445
8,Aristazabal Island,AZ,2005,0.2,0
1,North Coast,NC,2004,0.060000000000000005,0.27275
2,Haida Gwaii,HG,2004,0.435,0.67635
3,Central Coast,CC,2004,0.11,-0
4,North Vancouver Island,NV,2004,0.135,0.04305
5,West Vancouver Island,WV,2004,0.62,0.27595000000000003
6,Strait of Georgia,SG,2004,0.185,0.17170000000000002
8,Aristazabal Island,AZ,2004,0.2,0
1,North Coast,NC,2003,0.030000000000000002,0
2,Haida Gwaii,HG,2003,0.435,1
3,Central Coast,CC,2003,0.11,-0
