category,data_desc,data_ban2010,zone,zone_desc,origin,layer_name,layer_type,buffer_m,dir,load_layer,active_layer,layer_id
rocky intertidal,"coastal class rock or gravel (1:10, 21:23)",NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_Physical_CoastalClasses_MARXAN,line,1000,bcmca/bcmca_eco_set_physical_complete/MarxanData_Physical,FALSE,TRUE,1
rocky intertidal,benthic hard substrate,NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,FALSE,1
rocky intertidal,algae bioband boulder cobble floor,NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_Algae_BoulderCobbleFloor_MARXAN,line,1000,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Algae,TRUE,TRUE,1
rocky intertidal,invert bioband rock platform submerged,NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_inverts_hab1_rockPlatformSubmerged_MARXAN,line,1000,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,1
rocky intertidal,algae bioband rocky intertidal exposed,NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_Algae_RockyIntertidalExposed_MARXAN,line,1000,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Algae,TRUE,TRUE,1
rocky intertidal,algae bioband rocky intertidal semiexposed,NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_Algae_RockyIntertidalSemiExposed_MARXAN,line,1000,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Algae,TRUE,TRUE,1
rocky intertidal,algae bioband rocky intertidal sheltered,NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_Algae_RockyIntertidalSheltered_MARXAN,line,1000,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Algae,TRUE,TRUE,1
rocky intertidal,invert bioband rock submerged high current,NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_inverts_hab2_rockSubHighCurrent_MARXAN,line,1000,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,1
beach,"coastal class sand, sand/gravel (11:20, 24:26)",NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_Physical_CoastalClasses_MARXAN,line,1000,bcmca/bcmca_eco_set_physical_complete/MarxanData_Physical,FALSE,TRUE,2
beach,benthic sand substrate,NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,FALSE,2
beach,invert bioband sand substrate,NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_inverts_hab3_sandSubstrate_MARXAN,line,1000,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,2
mud flats,"coastal class sand/mud, organics (27:31)",NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_Physical_CoastalClasses_MARXAN,line,1000,bcmca/bcmca_eco_set_physical_complete/MarxanData_Physical,FALSE,TRUE,3
mud flats,benthic mud substrate,NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,FALSE,3
mud flats,algae bioband mudflats estuarine,NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_Algae_MudflatsEstuarine_MARXAN,line,1000,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Algae,TRUE,TRUE,3
mud flats,invert bioband mudflats adjacent,NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_inverts_hab4_mudflats_adjacentEst_MARXAN,line,1000,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,3
salt marsh,saltmarsh bioband,NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_VascPlants_SaltMarsh_Bioband_MARXAN,line,1000,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/VascularPlants,TRUE,TRUE,4
surf grass,surfgrass bioband,NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_VascPlants_Surfgrass_Bioband_MARXAN,line,1000,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/VascularPlants,TRUE,TRUE,5
dune vegetation,dune vegetation presence,NA,intertidal,0 - 1 km from shore,chi,BCMCA_ECO_VascPlants_DuneVegetation_DATA,poly,NA,bcmca/bcmca_eco_set_plants_complete/FeatureData_Plants/VascularPlants,TRUE,TRUE,6
kelp forest,kelp presence,Prov. of BC: shorezone kelp,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Kelp_GiantKelp_Polygons_DATA,poly,NA,bcmca/bcmca_eco_set_plants_complete/FeatureData_Plants/Kelp,TRUE,TRUE,7
kelp forest,kelp presence,Prov. of BC: shorezone kelp,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Kelp_BullKelp_Polygons_MARXAN,poly,NA,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Kelp,TRUE,TRUE,7
kelp forest,kelp bioband,Prov. of BC: shorezone kelp,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Kelp_BullKelp_Bioband_MARXAN,line,1000,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Kelp,FALSE,FALSE,7
kelp forest,kelp bioband,Prov. of BC: shorezone kelp,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Kelp_GiantKelp_Bioband_MARXAN,line,1000,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Kelp,FALSE,FALSE,7
kelp forest,kelp presence,Prov. of BC: shorezone kelp,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Kelp_GiantPerrenialKelp_MARXAN,poly,NA,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/Kelp,TRUE,TRUE,7
rocky reef,benthic hard,"Complexity analysis (LOS, Ardron): categories 6, 7, Strait of Georgia, Parks Canada benthic terrain modeler mapping",subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,FALSE,TRUE,8
rocky reef,high rugosity,"Complexity analysis (LOS, Ardron): categories 6, 7, Strait of Georgia, Parks Canada benthic terrain modeler mapping",subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Physical_HighRugosity_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,8
seagrass,eelgrass habitat,Prov. of BC: shorezone eelgrass,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_VascPlants_PriorityEelgrassHabitat_DATA,poly,NA,bcmca/bcmca_eco_set_plants_complete/FeatureData_Plants/VascularPlants,TRUE,TRUE,9
seagrass,eelgrass bioband,Prov. of BC: shorezone eelgrass,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_VascPlants_Eelgrass_Bioband_MARXAN,line,1000,bcmca/bcmca_eco_set_plants_complete/MarxanData_Plants/VascularPlants,FALSE,FALSE,9
seagrass,eelgrass presence,Prov. of BC: shorezone eelgrass,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_VascPlants_Eelgrass_Polygons_DATA,poly,NA,bcmca/bcmca_eco_set_plants_complete/FeatureData_Plants/VascularPlants,TRUE,TRUE,9
shallow soft bottom,benthic mud/sand substrate shallow,"MEC substrate type sand or mud, shelf",subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Physical_BenthicClasses_DATA,poly,NA,bcmca/bcmca_eco_set_physical_complete/FeatureData_Physical,TRUE,TRUE,10
shallow suspension reefs,coral dfo observers,Sponge reefs,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Inverts_Coral_DFOobservers_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,11
shallow suspension reefs,coral dfo surveys,Sponge reefs,subtidal coastal,0 - 50 m depth,chi,BCMCA_ECO_Inverts_Coral_DFOsurveys_MARXAN,poly,NA,bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts,TRUE,TRUE,11
