goal_dir,goal_name,goal_url
ao,First Nations Resource Access Opportunities,http://ohi-science.org/goals/#artisanal-fishing-opportunities
cw,Clean Waters,http://ohi-science.org/goals/#clean-waters
fis,Wild-Capture Fisheries,http://ohi-science.org/goals/#food-provision
hab_cs_cp,"Habitats, Carbon Storage, Coastal Protection",http://ohi-science.org/goals
lv,Livelihoods and Economies,http://ohi-science.org/goals/#livelihoods-and-economies
lsp,Lasting Special Places,http://ohi-science.org/goals/#sense-of-place
mar,Mariculture,http://ohi-science.org/goals/#food-provision
_pressures,Pressures,http://ohi-science.org/goals
_resilience,Resilience,http://ohi-science.org/goals
sal,Wild-Capture Salmon,http://ohi-science.org/goals/#food-provision
spp_ico,Species and Iconic Species,http://ohi-science.org/goals
tr,Tourism and Recreation,http://ohi-science.org/goals/#tourism-and-recreation
