am_sid,iucn_sid,sciname,spp_group,map_iucn_sid,map_subpop,pr_score,pop_trend,spatial_source,year,cat_ts,cat_ts_score
ITS-Mam-180524,2474,Balaenoptera acutorostrata,MARINE_MAMMALS,2474,NA,0.2,stable,iucn,1996,NT,0.2
ITS-Mam-180524,2474,Balaenoptera acutorostrata,MARINE_MAMMALS,2474,NA,0.2,stable,iucn,2008,LC,0.2
ITS-Mam-180526,2475,Balaenoptera borealis,MARINE_MAMMALS,2475,NA,1,unknown,iucn,1994,VU,1
ITS-Mam-180526,2475,Balaenoptera borealis,MARINE_MAMMALS,2475,NA,1,unknown,iucn,1996,EN,1
ITS-Mam-180526,2475,Balaenoptera borealis,MARINE_MAMMALS,2475,NA,1,unknown,iucn,2008,EN,1
ITS-Mam-180528,2477,Balaenoptera musculus,MARINE_MAMMALS,2477,NA,0.8,increasing,iucn,1965,CR,0.8
ITS-Mam-180528,2477,Balaenoptera musculus,MARINE_MAMMALS,2477,NA,0.8,increasing,iucn,1986,EN,0.8
ITS-Mam-180528,2477,Balaenoptera musculus,MARINE_MAMMALS,2477,NA,0.8,increasing,iucn,1988,EN,0.8
ITS-Mam-180528,2477,Balaenoptera musculus,MARINE_MAMMALS,2477,NA,0.8,increasing,iucn,1990,EN,0.8
ITS-Mam-180528,2477,Balaenoptera musculus,MARINE_MAMMALS,2477,NA,0.8,increasing,iucn,1994,EN,0.8
ITS-Mam-180528,2477,Balaenoptera musculus,MARINE_MAMMALS,2477,NA,0.8,increasing,iucn,1996,EN,0.8
ITS-Mam-180528,2477,Balaenoptera musculus,MARINE_MAMMALS,2477,NA,0.8,increasing,iucn,2008,EN,0.8
ITS-Mam-180527,2478,Balaenoptera physalus,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,1965,EN,0.6
ITS-Mam-180527,2478,Balaenoptera physalus,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,1986,VU,0.6
ITS-Mam-180527,2478,Balaenoptera physalus,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,1988,VU,0.6
ITS-Mam-180527,2478,Balaenoptera physalus,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,1990,VU,0.6
ITS-Mam-180527,2478,Balaenoptera physalus,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,1994,VU,0.6
ITS-Mam-180527,2478,Balaenoptera physalus,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,1996,EN,0.6
ITS-Mam-180527,2478,Balaenoptera physalus,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,2008,EN,0.6
ITS-Mam-180527,2478,Balaenoptera physalus,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,2013,EN,0.6
Fis-55409,2636,Bathyraja abyssicola,CHONDRICHTHYES,2636,NA,NA,NA,iucn,NA,DD,NA
ITS-Mam-180496,2763,Berardius bairdii,MARINE_MAMMALS,2763,NA,NA,NA,iucn,1996,VU,0.4
ITS-Mam-180627,3590,Callorhinus ursinus,MARINE_MAMMALS,3590,NA,0.6,decreasing,iucn,1996,VU,0.6
ITS-Mam-180627,3590,Callorhinus ursinus,MARINE_MAMMALS,3590,NA,0.6,decreasing,iucn,2008,VU,0.6
ITS-Mam-180627,3590,Callorhinus ursinus,MARINE_MAMMALS,3590,NA,0.6,decreasing,iucn,2015,VU,0.6
