sciname,comname,risk_score,risk_source,rgn_id
Ammodytes hexapterus,Pacific Sand Lance,NA,iucn,1
Ammodytes hexapterus,Pacific Sand Lance,NA,iucn,2
Ammodytes hexapterus,Pacific Sand Lance,NA,iucn,3
Ammodytes hexapterus,Pacific Sand Lance,NA,iucn,4
Ammodytes hexapterus,Pacific Sand Lance,NA,iucn,5
Ammodytes hexapterus,Pacific Sand Lance,NA,iucn,6
Ammodytes hexapterus,Pacific Sand Lance,NA,iucn,7
Ammodytes hexapterus,Pacific Sand Lance,NA,iucn,8
Ardea herodias,Great Blue Heron,0.4,bc,1
Ardea herodias,Great Blue Heron,0.4,bc,2
Ardea herodias,Great Blue Heron,0.4,bc,3
Ardea herodias,Great Blue Heron,0.4,bc,4
Ardea herodias,Great Blue Heron,0.4,bc,5
Ardea herodias,Great Blue Heron,0.4,bc,6
Ardea herodias,Great Blue Heron,0.4,bc,7
Ardea herodias,Great Blue Heron,0.4,bc,8
Balaenoptera acutorostrata,Minke Whale,0.2,bc,1
Balaenoptera acutorostrata,Minke Whale,0.2,bc,2
Balaenoptera acutorostrata,Minke Whale,0.2,bc,3
Balaenoptera acutorostrata,Minke Whale,0.2,bc,4
Balaenoptera acutorostrata,Minke Whale,0.2,bc,5
Balaenoptera acutorostrata,Minke Whale,0.2,bc,6
Balaenoptera acutorostrata,Minke Whale,0.2,bc,7
Balaenoptera acutorostrata,Minke Whale,0.2,bc,8
Balaenoptera borealis,Sei Whale,1,bc,1
Balaenoptera borealis,Sei Whale,1,bc,2
Balaenoptera borealis,Sei Whale,1,bc,3
Balaenoptera borealis,Sei Whale,1,bc,4
Balaenoptera borealis,Sei Whale,1,bc,5
Balaenoptera borealis,Sei Whale,1,bc,6
Balaenoptera borealis,Sei Whale,1,bc,7
Balaenoptera borealis,Sei Whale,1,bc,8
Balaenoptera edeni,Bryde's Whale,NA,iucn,1
Balaenoptera edeni,Bryde's Whale,NA,iucn,2
Balaenoptera edeni,Bryde's Whale,NA,iucn,3
Balaenoptera edeni,Bryde's Whale,NA,iucn,4
Balaenoptera edeni,Bryde's Whale,NA,iucn,5
Balaenoptera edeni,Bryde's Whale,NA,iucn,6
Balaenoptera edeni,Bryde's Whale,NA,iucn,7
Balaenoptera edeni,Bryde's Whale,NA,iucn,8
Balaenoptera musculus,Blue Whale,0.8,bc,1
Balaenoptera musculus,Blue Whale,0.8,bc,2
Balaenoptera musculus,Blue Whale,0.8,bc,3
Balaenoptera musculus,Blue Whale,0.8,bc,4
Balaenoptera musculus,Blue Whale,0.8,bc,5
Balaenoptera musculus,Blue Whale,0.8,bc,6
Balaenoptera musculus,Blue Whale,0.8,bc,7
Balaenoptera musculus,Blue Whale,0.8,bc,8
Balaenoptera physalus,Fin Whale,0.6,bc,1
Balaenoptera physalus,Fin Whale,0.6,bc,2
Balaenoptera physalus,Fin Whale,0.6,bc,3
Balaenoptera physalus,Fin Whale,0.6,bc,4
Balaenoptera physalus,Fin Whale,0.6,bc,5
Balaenoptera physalus,Fin Whale,0.6,bc,6
Balaenoptera physalus,Fin Whale,0.6,bc,7
Balaenoptera physalus,Fin Whale,0.6,bc,8
Brachyramphus marmoratus,Marbled Murrelet,0.4,bc,1
Brachyramphus marmoratus,Marbled Murrelet,0.4,bc,2
Brachyramphus marmoratus,Marbled Murrelet,0.4,bc,3
Brachyramphus marmoratus,Marbled Murrelet,0.4,bc,4
Brachyramphus marmoratus,Marbled Murrelet,0.4,bc,5
Brachyramphus marmoratus,Marbled Murrelet,0.4,bc,6
Brachyramphus marmoratus,Marbled Murrelet,0.4,bc,7
Brachyramphus marmoratus,Marbled Murrelet,0.4,bc,8
Branta canadensis,Canada Goose,0,bc,1
Branta canadensis,Canada Goose,0,bc,2
Branta canadensis,Canada Goose,0,bc,3
Branta canadensis,Canada Goose,0,bc,8
Branta canadensis,Canada Goose,0,bc,7
Branta canadensis,Canada Goose,0,bc,4
Branta canadensis,Canada Goose,0,bc,5
Branta canadensis,Canada Goose,0,bc,6
Cetorhinus maximus,Basking Shark,0.4,iucn,1
Cetorhinus maximus,Basking Shark,0.4,iucn,2
Cetorhinus maximus,Basking Shark,0.4,iucn,3
Cetorhinus maximus,Basking Shark,0.4,iucn,4
Cetorhinus maximus,Basking Shark,0.4,iucn,5
Cetorhinus maximus,Basking Shark,0.4,iucn,6
Cetorhinus maximus,Basking Shark,0.4,iucn,7
Cetorhinus maximus,Basking Shark,0.4,iucn,8
Clupea pallasii,Pacific Herring,NA,iucn,1
Clupea pallasii,Pacific Herring,NA,iucn,2
Clupea pallasii,Pacific Herring,NA,iucn,3
Clupea pallasii,Pacific Herring,NA,iucn,4
Clupea pallasii,Pacific Herring,NA,iucn,5
Clupea pallasii,Pacific Herring,NA,iucn,6
Clupea pallasii,Pacific Herring,NA,iucn,7
Clupea pallasii,Pacific Herring,NA,iucn,8
Delphinus delphis,Common Dophin,0,iucn,4
Delphinus delphis,Common Dophin,0,iucn,5
Delphinus delphis,Common Dophin,0,iucn,6
Delphinus delphis,Common Dophin,0,iucn,7
Enhydra lutris,Sea Otter,0.4,bc,4
Enhydra lutris,Sea Otter,0.4,bc,5
Enhydra lutris,Sea Otter,0.4,bc,7
Eschrichtius robustus,Gray Whale,0.4,bc,1
Eschrichtius robustus,Gray Whale,0.4,bc,2
Eschrichtius robustus,Gray Whale,0.4,bc,3
Eschrichtius robustus,Gray Whale,0.4,bc,4
Eschrichtius robustus,Gray Whale,0.4,bc,5
Eschrichtius robustus,Gray Whale,0.4,bc,6
Eschrichtius robustus,Gray Whale,0.4,bc,7
Eschrichtius robustus,Gray Whale,0.4,bc,8
Eubalaena japonica,North Pacific Right Whale,1,bc,1
Eubalaena japonica,North Pacific Right Whale,1,bc,2
Eubalaena japonica,North Pacific Right Whale,1,bc,3
Eubalaena japonica,North Pacific Right Whale,1,bc,4
Eubalaena japonica,North Pacific Right Whale,1,bc,5
Eubalaena japonica,North Pacific Right Whale,1,bc,6
Eubalaena japonica,North Pacific Right Whale,1,bc,7
Eubalaena japonica,North Pacific Right Whale,1,bc,8
Eumetopias jubatus,Steller Sea Lion,0.4,bc,1
Eumetopias jubatus,Steller Sea Lion,0.4,bc,2
Eumetopias jubatus,Steller Sea Lion,0.4,bc,3
Eumetopias jubatus,Steller Sea Lion,0.4,bc,4
Eumetopias jubatus,Steller Sea Lion,0.4,bc,5
