sciname,comname,iucn_sid,am_sid,spp_group,map_iucn_sid,map_subpop,pr_score,pop_trend,spatial_source,year,cat_ts,risk_score,population_name,cosewic_trend,cat_txt
Orcinus orca,Killer Whale,15421,ITS-Mam-180469,MARINE_MAMMALS,15421,NA,0.6,NA,iucn,1996,VU,0.6,Killer Whale Northeast Pacific southern resident population,-0.0821,NA
Orcinus orca,Killer Whale,15421,ITS-Mam-180469,MARINE_MAMMALS,15421,NA,0.6,NA,iucn,1996,VU,0.6,Killer Whale Northeast Pacific offshore population,-0.0373,NA
Phoca vitulina,Harbor Seal,17013,ITS-Mam-180649,MARINE_MAMMALS,17013,NA,0,unknown,iucn,1996,LC,0,NA,NA,NA
Phoca vitulina,Harbor Seal,17013,ITS-Mam-180649,MARINE_MAMMALS,17013,NA,0,unknown,iucn,2008,LC,0,NA,NA,NA
Phoca vitulina,Harbor Seal,17013,ITS-Mam-180649,MARINE_MAMMALS,17013,NA,0,unknown,iucn,2016,LC,0,NA,NA,NA
Phocoena phocoena,Harbor Porpoise,17027,ITS-Mam-180473,MARINE_MAMMALS,17027,NA,0.4,unknown,iucn,1996,VU,0.4,NA,NA,NA
Phocoena phocoena,Harbor Porpoise,17027,ITS-Mam-180473,MARINE_MAMMALS,17027,NA,0.4,unknown,iucn,2008,LC,0.4,NA,NA,NA
Phocoenoides dalli,Dall's Porpoise,17032,ITS-Mam-180480,MARINE_MAMMALS,17032,NA,0.1,unknown,iucn,1996,VU,0.1,Dall's Porpoise,NA,NA
Phocoenoides dalli,Dall's Porpoise,17032,ITS-Mam-180480,MARINE_MAMMALS,17032,NA,0.1,unknown,iucn,2008,LC,0.1,Dall's Porpoise,NA,NA
Phocoenoides dalli,Dall's Porpoise,17032,ITS-Mam-180480,MARINE_MAMMALS,17032,NA,0.1,unknown,iucn,2012,LC,0.1,Dall's Porpoise,NA,NA
Physeter macrocephalus,Sperm Whale,41755,ITS-Mam-180488,MARINE_MAMMALS,41755,NA,0.3,unknown,iucn,1996,VU,0.3,Sperm Whale,NA,NA
Physeter macrocephalus,Sperm Whale,41755,ITS-Mam-180488,MARINE_MAMMALS,41755,NA,0.3,unknown,iucn,2008,VU,0.3,Sperm Whale,NA,NA
Pseudorca crassidens,False Killer Whale,18596,ITS-Mam-180463,MARINE_MAMMALS,18596,NA,NA,NA,iucn,1996,LC,0,False Killer Whale,NA,NA
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,BOTW_marine,22694903,NA,0.4,decreasing,iucn,1988,LC,0.4,Cassin's Auklet,NA,NA
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,BOTW_marine,22694903,NA,0.4,decreasing,iucn,1994,LC,0.4,Cassin's Auklet,NA,NA
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,BOTW_marine,22694903,NA,0.4,decreasing,iucn,2e3,LC,0.4,Cassin's Auklet,NA,NA
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,BOTW_marine,22694903,NA,0.4,decreasing,iucn,2004,LC,0.4,Cassin's Auklet,NA,NA
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,BOTW_marine,22694903,NA,0.4,decreasing,iucn,2008,LC,0.4,Cassin's Auklet,NA,NA
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,BOTW_marine,22694903,NA,0.4,decreasing,iucn,2009,LC,0.4,Cassin's Auklet,NA,NA
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,BOTW_marine,22694903,NA,0.4,decreasing,iucn,2012,LC,0.4,Cassin's Auklet,NA,NA
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,BOTW_marine,22694903,NA,0.4,decreasing,iucn,2015,NT,0.4,Cassin's Auklet,NA,NA
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,BOTW_marine,22694903,NA,0.4,decreasing,iucn,2016,NT,0.4,Cassin's Auklet,NA,NA
Squalus suckleyi,Spiny Dogfish,195488,Fis-164793,CHONDRICHTHYES,195488,NA,NA,stable,iucn,2016,LC,0,North Pacific Spiny Dogfish,NA,NA
Stenella coeruleoalba,Striped Dolphin,20731,ITS-Mam-180434,MARINE_MAMMALS,20731,NA,NA,unknown,iucn,1996,VU,0.4,Striped Dolphin,NA,NA
Stenella coeruleoalba,Striped Dolphin,20731,ITS-Mam-180434,MARINE_MAMMALS,20731,NA,NA,unknown,iucn,2008,LC,0,Striped Dolphin,NA,NA
Thaleichthys pacificus,Eulachon,202415,Fis-22963,NA,NA,NA,0.5,unknown,am,2013,LC,0.5,Eulachon Nass  Skeena Rivers population,0.5,NA
Thaleichthys pacificus,Eulachon,202415,Fis-22963,NA,NA,NA,0.5,unknown,am,2013,LC,0.5,Eulachon Central Pacific Coast population,NA,NA
Thaleichthys pacificus,Eulachon,202415,Fis-22963,NA,NA,NA,0.5,unknown,am,2013,LC,0.5,Eulachon Fraser River population,NA,NA
Tursiops truncatus,Bottlenose Dolphin,22563,ITS-Mam-180426,MARINE_MAMMALS,22563,NA,NA,unknown,am,2008,LC,0,NA,NA,NA
Tursiops truncatus,Bottlenose Dolphin,22563,ITS-Mam-180426,MARINE_MAMMALS,22563,NA,NA,unknown,am,2012,LC,0,NA,NA,NA
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,MARINE_MAMMALS,41666,NA,0,increasing,iucn,1965,CR,0,California Sea Lion,NA,NA
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,MARINE_MAMMALS,41666,NA,0,increasing,iucn,1996,LC,0,California Sea Lion,NA,NA
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,MARINE_MAMMALS,41666,NA,0,increasing,iucn,2008,LC,0,California Sea Lion,NA,NA
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,MARINE_MAMMALS,41666,NA,0,increasing,iucn,2015,LC,0,California Sea Lion,NA,NA
Ziphius cavirostris,Cuvier's Beaked Whale,23211,ITS-Mam-180498,MARINE_MAMMALS,23211,NA,NA,unknown,iucn,2008,LC,0,Cuvier's Beaked Whale,NA,NA
