sciname,comname,iucn_sid,am_sid,spp_group,map_iucn_sid,map_subpop,pr_score,pop_trend,spatial_source,year,cat_ts,risk_score,population_name,cosewic_trend,cat_txt
Ammodytes hexapterus,Pacific Sand Lance,NA,Fis-29620,NA,NA,NA,NA,NA,am,NA,NE,NA,NA,NA,NA
Ardea herodias,Great Blue Heron,22696998,NA,BOTW_marine,22696998,NA,0.4,increasing,iucn,1988,LC,0.4,NA,NA,NA
Ardea herodias,Great Blue Heron,22696998,NA,BOTW_marine,22696998,NA,0.4,increasing,iucn,1994,LC,0.4,NA,NA,NA
Ardea herodias,Great Blue Heron,22696998,NA,BOTW_marine,22696998,NA,0.4,increasing,iucn,2e3,LC,0.4,NA,NA,NA
Ardea herodias,Great Blue Heron,22696998,NA,BOTW_marine,22696998,NA,0.4,increasing,iucn,2004,LC,0.4,NA,NA,NA
Ardea herodias,Great Blue Heron,22696998,NA,BOTW_marine,22696998,NA,0.4,increasing,iucn,2008,LC,0.4,NA,NA,NA
Ardea herodias,Great Blue Heron,22696998,NA,BOTW_marine,22696998,NA,0.4,increasing,iucn,2009,LC,0.4,NA,NA,NA
Ardea herodias,Great Blue Heron,22696998,NA,BOTW_marine,22696998,NA,0.4,increasing,iucn,2012,LC,0.4,NA,NA,NA
Ardea herodias,Great Blue Heron,22696998,NA,BOTW_marine,22696998,NA,0.4,increasing,iucn,2016,LC,0.4,NA,NA,NA
Balaenoptera acutorostrata,Minke Whale,2474,ITS-Mam-180524,MARINE_MAMMALS,2474,NA,0.2,stable,iucn,1996,NT,0.2,NA,NA,NA
Balaenoptera acutorostrata,Minke Whale,2474,ITS-Mam-180524,MARINE_MAMMALS,2474,NA,0.2,stable,iucn,2008,LC,0.2,NA,NA,NA
Balaenoptera borealis,Sei Whale,2475,ITS-Mam-180526,MARINE_MAMMALS,2475,NA,1,unknown,iucn,1994,VU,1,Sei Whale Pacific population,0,NA
Balaenoptera borealis,Sei Whale,2475,ITS-Mam-180526,MARINE_MAMMALS,2475,NA,1,unknown,iucn,1996,EN,1,Sei Whale Pacific population,0,NA
Balaenoptera borealis,Sei Whale,2475,ITS-Mam-180526,MARINE_MAMMALS,2475,NA,1,unknown,iucn,2008,EN,1,Sei Whale Pacific population,0,NA
Balaenoptera edeni,Bryde's Whale,2476,ITS-Mam-180525,MARINE_MAMMALS,2476,NA,NA,NA,am,NA,DD,NA,NA,NA,NA
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,MARINE_MAMMALS,2477,NA,0.8,increasing,iucn,1965,CR,0.8,Blue Whale Pacific population,-0.07375,NA
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,MARINE_MAMMALS,2477,NA,0.8,increasing,iucn,1986,EN,0.8,Blue Whale Pacific population,-0.07375,NA
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,MARINE_MAMMALS,2477,NA,0.8,increasing,iucn,1988,EN,0.8,Blue Whale Pacific population,-0.07375,NA
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,MARINE_MAMMALS,2477,NA,0.8,increasing,iucn,1990,EN,0.8,Blue Whale Pacific population,-0.07375,NA
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,MARINE_MAMMALS,2477,NA,0.8,increasing,iucn,1994,EN,0.8,Blue Whale Pacific population,-0.07375,NA
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,MARINE_MAMMALS,2477,NA,0.8,increasing,iucn,1996,EN,0.8,Blue Whale Pacific population,-0.07375,NA
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,MARINE_MAMMALS,2477,NA,0.8,increasing,iucn,2008,EN,0.8,Blue Whale Pacific population,-0.07375,NA
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,1965,EN,0.6,Fin Whale Pacific population,-0.05555,NA
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,1986,VU,0.6,Fin Whale Pacific population,-0.05555,NA
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,1988,VU,0.6,Fin Whale Pacific population,-0.05555,NA
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,1990,VU,0.6,Fin Whale Pacific population,-0.05555,NA
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,1994,VU,0.6,Fin Whale Pacific population,-0.05555,NA
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,1996,EN,0.6,Fin Whale Pacific population,-0.05555,NA
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,2008,EN,0.6,Fin Whale Pacific population,-0.05555,NA
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,MARINE_MAMMALS,2478,NA,0.6,unknown,iucn,2013,EN,0.6,Fin Whale Pacific population,-0.05555,NA
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,BOTW_marine,22694870,NA,0.4,decreasing,iucn,2e3,VU,0.4,Marbled Murrelet,-0,NA
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,BOTW_marine,22694870,NA,0.4,decreasing,iucn,2004,EN,0.4,Marbled Murrelet,-0,NA
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,BOTW_marine,22694870,NA,0.4,decreasing,iucn,2005,EN,0.4,Marbled Murrelet,-0,NA
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,BOTW_marine,22694870,NA,0.4,decreasing,iucn,2008,EN,0.4,Marbled Murrelet,-0,NA
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,BOTW_marine,22694870,NA,0.4,decreasing,iucn,2010,EN,0.4,Marbled Murrelet,-0,NA
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,BOTW_marine,22694870,NA,0.4,decreasing,iucn,2012,EN,0.4,Marbled Murrelet,-0,NA
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,BOTW_marine,22694870,NA,0.4,decreasing,iucn,2016,EN,0.4,Marbled Murrelet,-0,NA
Branta canadensis,Canada Goose,22679935,NA,BOTW,22679935,NA,0,NA,iucn,2006,LC,0,NA,NA,Least Concern
Branta canadensis,Canada Goose,22679935,NA,BOTW,22679935,NA,0,NA,iucn,2008,LC,0,NA,NA,Least Concern
Branta canadensis,Canada Goose,22679935,NA,BOTW,22679935,NA,0,NA,iucn,2009,LC,0,NA,NA,Least Concern
Branta canadensis,Canada Goose,22679935,NA,BOTW,22679935,NA,0,NA,iucn,2012,LC,0,NA,NA,Least Concern
Branta canadensis,Canada Goose,22679935,NA,BOTW,22679935,NA,0,NA,iucn,2016,LC,0,NA,NA,Least Concern
Cetorhinus maximus,Basking Shark,4292,Fis-22747,CHONDRICHTHYES,4292,NA,NA,decreasing,iucn,1996,VU,0.4,Basking Shark Pacific population,NA,NA
Cetorhinus maximus,Basking Shark,4292,Fis-22747,CHONDRICHTHYES,4292,NA,NA,decreasing,iucn,2e3,VU,0.4,Basking Shark Pacific population,NA,NA
Cetorhinus maximus,Basking Shark,4292,Fis-22747,CHONDRICHTHYES,4292,NA,NA,decreasing,iucn,2005,VU,0.4,Basking Shark Pacific population,NA,NA
Clupea pallasii,Pacific Herring,NA,Fis-153539,NA,NA,NA,NA,NA,am,NA,NE,NA,NA,NA,NA
Delphinus delphis,Common Dophin,6336,ITS-Mam-180438,MARINE_MAMMALS,6336,NA,NA,unknown,iucn,1996,LC,0,Short-beaked Common Dolphin,NA,NA
Delphinus delphis,Common Dophin,6336,ITS-Mam-180438,MARINE_MAMMALS,6336,NA,NA,unknown,iucn,2008,LC,0,Short-beaked Common Dolphin,NA,NA
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,TERRESTRIAL_MAMMALS_marine,7750,NA,0.4,decreasing,iucn,1996,LC,0.4,Sea Otter,0.0735,NA
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,TERRESTRIAL_MAMMALS_marine,7750,NA,0.4,decreasing,iucn,2e3,EN,0.4,Sea Otter,0.0735,NA
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,TERRESTRIAL_MAMMALS_marine,7750,NA,0.4,decreasing,iucn,2008,EN,0.4,Sea Otter,0.0735,NA
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,TERRESTRIAL_MAMMALS_marine,7750,NA,0.4,decreasing,iucn,2011,EN,0.4,Sea Otter,0.0735,NA
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,TERRESTRIAL_MAMMALS_marine,7750,NA,0.4,decreasing,iucn,2015,EN,0.4,Sea Otter,0.0735,NA
Eschrichtius robustus,Gray Whale,8097,ITS-Mam-180521,MARINE_MAMMALS,8097,NA,0.4,stable,iucn,1996,VU,0.4,Grey Whale Eastern North Pacific population,-0.11764999999999999,NA
Eschrichtius robustus,Gray Whale,8097,ITS-Mam-180521,MARINE_MAMMALS,8097,NA,0.4,stable,iucn,2008,LC,0.4,Grey Whale Eastern North Pacific population,-0.11764999999999999,NA
Eubalaena japonica,North Pacific Right Whale,41711,ITS-Mam-612591,MARINE_MAMMALS,41711,NA,1,unknown,am,1996,EN,1,North Pacific Right Whale,0,NA
Eubalaena japonica,North Pacific Right Whale,41711,ITS-Mam-612591,MARINE_MAMMALS,41711,NA,1,unknown,am,2008,EN,1,North Pacific Right Whale,0,NA
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,MARINE_MAMMALS,8239,NA,0.4,increasing,iucn,1994,VU,0.4,Steller Sea Lion,-0.0814,NA
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,MARINE_MAMMALS,8239,NA,0.4,increasing,iucn,1996,EN,0.4,Steller Sea Lion,-0.0814,NA
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,MARINE_MAMMALS,8239,NA,0.4,increasing,iucn,2008,EN,0.4,Steller Sea Lion,-0.0814,NA
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,MARINE_MAMMALS,8239,NA,0.4,increasing,iucn,2012,NT,0.4,Steller Sea Lion,-0.0814,NA
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,MARINE_MAMMALS,8239,NA,0.4,increasing,iucn,2016,NT,0.4,Steller Sea Lion,-0.0814,NA
Gavia immer,Common Loon,22697842,NA,BOTW_marine,22697842,NA,0,stable,iucn,1988,LC,0,Common Loon,NA,NA
Gavia immer,Common Loon,22697842,NA,BOTW_marine,22697842,NA,0,stable,iucn,1994,LC,0,Common Loon,NA,NA
Gavia immer,Common Loon,22697842,NA,BOTW_marine,22697842,NA,0,stable,iucn,2e3,LC,0,Common Loon,NA,NA
Gavia immer,Common Loon,22697842,NA,BOTW_marine,22697842,NA,0,stable,iucn,2004,LC,0,Common Loon,NA,NA
Gavia immer,Common Loon,22697842,NA,BOTW_marine,22697842,NA,0,stable,iucn,2008,LC,0,Common Loon,NA,NA
Gavia immer,Common Loon,22697842,NA,BOTW_marine,22697842,NA,0,stable,iucn,2009,LC,0,Common Loon,NA,NA
Gavia immer,Common Loon,22697842,NA,BOTW_marine,22697842,NA,0,stable,iucn,2012,LC,0,Common Loon,NA,NA
Gavia immer,Common Loon,22697842,NA,BOTW_marine,22697842,NA,0,stable,iucn,2016,LC,0,Common Loon,NA,NA
Globicephala macrorhynchus,Short-Finned Pilot Whale,9249,ITS-Mam-180466,MARINE_MAMMALS,9249,NA,NA,NA,iucn,1996,VU,0.4,Short-finned Pilot Whale,NA,NA
Grampus griseus,Risso's Dolphin,9461,ITS-Mam-180457,MARINE_MAMMALS,9461,NA,0.2,unknown,iucn,2008,LC,0.2,Risso's Dolphin,NA,NA
Grampus griseus,Risso's Dolphin,9461,ITS-Mam-180457,MARINE_MAMMALS,9461,NA,0.2,unknown,iucn,2012,LC,0.2,Risso's Dolphin,NA,NA
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,BOTW_marine,22695144,NA,0,increasing,iucn,1988,LC,0,Bald Eagle,NA,NA
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,BOTW_marine,22695144,NA,0,increasing,iucn,1994,LC,0,Bald Eagle,NA,NA
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,BOTW_marine,22695144,NA,0,increasing,iucn,2e3,LC,0,Bald Eagle,NA,NA
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,BOTW_marine,22695144,NA,0,increasing,iucn,2004,LC,0,Bald Eagle,NA,NA
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,BOTW_marine,22695144,NA,0,increasing,iucn,2008,LC,0,Bald Eagle,NA,NA
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,BOTW_marine,22695144,NA,0,increasing,iucn,2009,LC,0,Bald Eagle,NA,NA
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,BOTW_marine,22695144,NA,0,increasing,iucn,2012,LC,0,Bald Eagle,NA,NA
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,BOTW_marine,22695144,NA,0,increasing,iucn,2016,LC,0,Bald Eagle,NA,NA
Haliotis kamtschatkana,Northern Abalone,61743,W-Msc-405014,NA,NA,NA,0.6,stable,am,2006,EN,0.6,Northern Abalone,-0.10439999999999999,NA
Hippoglossus stenolepis,Halibut,NA,Fis-29418,NA,NA,NA,NA,NA,am,NA,NE,NA,NA,NA,NA
Hypomesus pretiosus,Surf Smelt,NA,Fis-22880,NA,NA,NA,NA,NA,am,NA,NE,NA,NA,NA,NA
Kogia breviceps,Pygmy Sperm Whale,11047,ITS-Mam-180491,MARINE_MAMMALS,11047,NA,NA,NA,iucn,1996,LC,0,Pygmy Sperm Whale,NA,NA
Lagenorhynchus obliquidens,White-Sided Dolphin,11145,ITS-Mam-180444,MARINE_MAMMALS,11145,NA,0.1,unknown,iucn,1996,LC,0.1,Pacific White-sided Dolphin,NA,NA
Lagenorhynchus obliquidens,White-Sided Dolphin,11145,ITS-Mam-180444,MARINE_MAMMALS,11145,NA,0.1,unknown,iucn,2008,LC,0.1,Pacific White-sided Dolphin,NA,NA
Lagenorhynchus obliquidens,White-Sided Dolphin,11145,ITS-Mam-180444,MARINE_MAMMALS,11145,NA,0.1,unknown,iucn,2012,LC,0.1,Pacific White-sided Dolphin,NA,NA
Lamna ditropis,Salmon Shark,39342,Fis-29426,CHONDRICHTHYES,39342,NA,NA,stable,iucn,2009,LC,0,NA,NA,NA
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,MARINE_MAMMALS,13006,NA,0.4,increasing,iucn,1965,EN,0.4,Humpback Whale North Pacific population,0.02675,NA
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,MARINE_MAMMALS,13006,NA,0.4,increasing,iucn,1986,EN,0.4,Humpback Whale North Pacific population,0.02675,NA
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,MARINE_MAMMALS,13006,NA,0.4,increasing,iucn,1988,EN,0.4,Humpback Whale North Pacific population,0.02675,NA
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,MARINE_MAMMALS,13006,NA,0.4,increasing,iucn,1990,VU,0.4,Humpback Whale North Pacific population,0.02675,NA
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,MARINE_MAMMALS,13006,NA,0.4,increasing,iucn,1994,VU,0.4,Humpback Whale North Pacific population,0.02675,NA
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,MARINE_MAMMALS,13006,NA,0.4,increasing,iucn,1996,VU,0.4,Humpback Whale North Pacific population,0.02675,NA
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,MARINE_MAMMALS,13006,NA,0.4,increasing,iucn,2008,LC,0.4,Humpback Whale North Pacific population,0.02675,NA
Mesoplodon densirostris,Blainville's Beaked Whale,13244,ITS-Mam-180517,MARINE_MAMMALS,13244,NA,NA,NA,am,NA,DD,NA,NA,NA,NA
Oncorhynchus gorbuscha,Pink Salmon,NA,Fis-22915,NA,NA,NA,0,NA,am,2017,NE,0,NA,NA,NA
Oncorhynchus kisutch,Coho Salmon,NA,Fis-22917,NA,NA,NA,0.2,NA,am,2017,NE,0.2,Coho Salmon Interior Fraser population,0.07145,NA
Oncorhynchus nerka,Sockeye Salmon,135301,Fis-22920,NA,NA,NA,0.2,stable,am,2008,LC,0.2,Sockeye Salmon Sakinaw population,0,NA
Oncorhynchus nerka,Sockeye Salmon,135301,Fis-22920,NA,NA,NA,0.2,stable,am,2008,LC,0.2,Sockeye Salmon Cultus population,0,NA
Oncorhynchus nerka,Sockeye Salmon,135301,Fis-22920,NA,NA,NA,0.2,stable,am,2011,LC,0.2,Sockeye Salmon Sakinaw population,0,NA
Oncorhynchus nerka,Sockeye Salmon,135301,Fis-22920,NA,NA,NA,0.2,stable,am,2011,LC,0.2,Sockeye Salmon Cultus population,0,NA
Oncorhynchus tshawytscha,Chinook Salmon,NA,Fis-22921,NA,NA,NA,0.2,NA,am,2017,NE,0.2,Chinook Salmon Okanagan population,-0.0376,NA
Orcinus orca,Killer Whale,15421,ITS-Mam-180469,MARINE_MAMMALS,15421,NA,0.6,NA,iucn,1996,VU,0.6,Killer Whale Northeast Pacific transient population,-0.5,NA
Orcinus orca,Killer Whale,15421,ITS-Mam-180469,MARINE_MAMMALS,15421,NA,0.6,NA,iucn,1996,VU,0.6,Killer Whale Northeast Pacific northern resident population,-0,NA
