sciname,comname,status,year,cosewic_risk_score,status_history,trend
Pelecanus erythrorhynchos,American White Pelican,threatened,1978,0.6,Designated Threatened in April 1978. Status re-examined and designated Not at Risk in April 1987.,0.33335
Pelecanus erythrorhynchos,American White Pelican,not at risk,1987,0,Designated Threatened in April 1978. Status re-examined and designated Not at Risk in April 1987.,0.33335
Brachyramphus marmoratus,Marbled Murrelet,threatened,1990,0.6,Designated Threatened in April 1990. Status re-examined and confirmed in November 2000 and May 2012.,-0
Brachyramphus marmoratus,Marbled Murrelet,threatened,2000,0.6,Designated Threatened in April 1990. Status re-examined and confirmed in November 2000 and May 2012.,-0
Brachyramphus marmoratus,Marbled Murrelet,threatened,2012,0.6,Designated Threatened in April 1990. Status re-examined and confirmed in November 2000 and May 2012.,-0
Synthliboramphus antiquus,Ancient Murrelet,special concern,1993,0.4,Designated Special Concern in April 1993. Status re-examined and confirmed in November 2004 and November 2014.,-0
Synthliboramphus antiquus,Ancient Murrelet,special concern,2004,0.4,Designated Special Concern in April 1993. Status re-examined and confirmed in November 2004 and November 2014.,-0
Synthliboramphus antiquus,Ancient Murrelet,special concern,2014,0.4,Designated Special Concern in April 1993. Status re-examined and confirmed in November 2004 and November 2014.,-0
Numenius americanus,Long-billed Curlew,special concern,1992,0.4,Designated Special Concern in April 1992. Status re-examined and confirmed in November 2002 and May 2011.,-0
Numenius americanus,Long-billed Curlew,special concern,2002,0.4,Designated Special Concern in April 1992. Status re-examined and confirmed in November 2002 and May 2011.,-0
Numenius americanus,Long-billed Curlew,special concern,2011,0.4,Designated Special Concern in April 1992. Status re-examined and confirmed in November 2002 and May 2011.,-0
Gasterosteus aculeatus,Unarmoured Threespine Stickleback,special concern,1983,0.4,Designated Special Concern in April 1983. Status re-examined and confirmed in November 2013.,0
Gasterosteus aculeatus,Unarmoured Threespine Stickleback,special concern,2013,0.4,Designated Special Concern in April 1983. Status re-examined and confirmed in November 2013.,0
Gasterosteus aculeatus,Giant Threespine Stickleback,special concern,1980,0.4,Designated Special Concern in April 1980. Status re-examined and confirmed in November 2013.,0
Gasterosteus aculeatus,Giant Threespine Stickleback,special concern,2013,0.4,Designated Special Concern in April 1980. Status re-examined and confirmed in November 2013.,0
Acipenser medirostris,Green Sturgeon,special concern,1987,0.4,Designated Special Concern in April 1987. Status re-examined and confirmed in November 2004 and November 2013.,-0
Acipenser medirostris,Green Sturgeon,special concern,2004,0.4,Designated Special Concern in April 1987. Status re-examined and confirmed in November 2004 and November 2013.,-0
Acipenser medirostris,Green Sturgeon,special concern,2013,0.4,Designated Special Concern in April 1987. Status re-examined and confirmed in November 2004 and November 2013.,-0
