iucn_sid,am_sid,pop_trend
2474,ITS-Mam-180524,stable
2475,ITS-Mam-180526,unknown
2477,ITS-Mam-180528,increasing
2478,ITS-Mam-180527,unknown
2636,Fis-55409,NA
2763,ITS-Mam-180496,NA
3590,ITS-Mam-180627,decreasing
3855,Fis-23071,unknown
3897,Rep-2666,decreasing
4292,Fis-22747,decreasing
6336,ITS-Mam-180438,unknown
7750,ITS-Mam-180547,decreasing
8005,Rep-5181,decreasing
8097,ITS-Mam-180521,stable
8239,ITS-Mam-180625,increasing
9249,ITS-Mam-180466,NA
9461,ITS-Mam-180457,unknown
10030,Fis-23157,unknown
11047,ITS-Mam-180491,NA
11145,ITS-Mam-180444,unknown
11534,Rep-6936,decreasing
12125,ITS-Mam-180454,unknown
12302,NA,stable
13006,ITS-Mam-180530,increasing
13243,ITS-Mam-180512,NA
13252,ITS-Mam-180514,NA
13581,ITS-Mam-180672,increasing
15421,ITS-Mam-180469,NA
17013,ITS-Mam-180649,unknown
17027,ITS-Mam-180473,unknown
17032,ITS-Mam-180480,unknown
18596,ITS-Mam-180463,NA
20731,ITS-Mam-180434,unknown
21856,Fis-22832,decreasing
21859,Fis-22836,decreasing
23211,ITS-Mam-180498,unknown
39324,Fis-24153,NA
39328,Fis-29541,decreasing
39339,Fis-23899,decreasing
39341,Fis-58485,decreasing
39342,Fis-29426,stable
39352,Fis-25233,decreasing
39381,Fis-23222,unknown
39396,Fis-30722,unknown
41666,ITS-Mam-180621,increasing
41755,ITS-Mam-180488,unknown
44183,Fis-30562,stable
44209,Fis-22998,NA
60191,Fis-24068,increasing
60231,Fis-23213,unknown
63119,Fis-131852,unknown
153538,NA,decreasing
161350,Fis-131458,unknown
161375,Fis-24315,stable
161402,NA,increasing
161403,Fis-30664,NA
161452,Fis-131850,unknown
161466,Fis-30566,stable
161471,Fis-24311,unknown
161595,Fis-24312,stable
161629,Fis-24314,unknown
161661,Fis-24308,stable
161706,Fis-24310,NA
170306,Fis-29507,stable
170310,Fis-22777,stable
170341,Fis-123736,decreasing
170352,Fis-21631,decreasing
173320,NA,stable
173348,NA,increasing
173366,NA,stable
173367,NA,stable
173373,NA,unknown
180325,NA,NA
180331,NA,unknown
180381,W-Hol-152565,NA
180436,W-Hol-529363,stable
180446,NA,NA
195488,Fis-164793,stable
19711843,NA,unknown
19717509,NA,unknown
19718050,NA,unknown
19743170,NA,unknown
22679859,NA,increasing
22679881,NA,unknown
22679896,NA,increasing
22679946,NA,unknown
22680157,NA,decreasing
22680163,NA,stable
22680229,NA,decreasing
22680247,NA,decreasing
22680301,NA,decreasing
