rgn_id,year,a_prot_inland
1,1990,44.25
1,1991,50.5
1,1992,50.5
1,1993,81
1,1994,192.75
1,1995,192.75
1,1996,192.75
1,1997,192.75
1,1998,192.75
1,1999,192.75
1,2e3,192.75
1,2001,192.75
1,2002,192.75
1,2003,192.75
1,2004,425.75
1,2005,427.25
1,2006,1663.75
1,2007,1773.5
1,2008,2563
1,2009,2563
1,2010,2563
1,2011,2563
1,2012,2563
1,2013,2563
1,2014,2563
1,2015,2588.75
1,2016,2588.75
2,1990,556.5
2,1991,556.5
2,1992,556.5
2,1993,556.5
2,1994,556.5
2,1995,556.5
2,1996,2031
2,1997,2031
2,1998,2031
2,1999,2031
2,2e3,2031
2,2001,2031
2,2002,2031
2,2003,2031
2,2004,2031
2,2005,2031
2,2006,2031
2,2007,2031
2,2008,4110.25
2,2009,4110.25
2,2010,4110.5
2,2011,4110.5
2,2012,4110.5
2,2013,4110.5
2,2014,4110.5
2,2015,4110.5
2,2016,4110.5
3,1990,610
3,1991,610
3,1992,626
3,1993,626
3,1994,626
3,1995,626
3,1996,626
3,1997,626
3,1998,626
3,1999,626
3,2e3,626
3,2001,626
3,2002,626
3,2003,626
3,2004,626
3,2005,626
3,2006,2118.25
3,2007,2704.5
3,2008,4823.75
3,2009,4823.75
3,2010,4823.75
3,2011,4823.75
3,2012,4823.75
3,2013,4823.75
3,2014,4823.75
3,2015,4823.75
3,2016,4823.75
4,1990,292.75
4,1991,292.75
4,1992,317
4,1993,317
4,1994,317
4,1995,391
4,1996,438.25
4,1997,441
4,1998,441
4,1999,441
4,2e3,441
4,2001,441.25
4,2002,441.25
4,2003,441.25
4,2004,441.25
4,2005,441.25
4,2006,778.25
4,2007,942.75
4,2008,945.5
4,2009,989.5
4,2010,989.5
4,2011,989.5
4,2012,989.5
4,2013,990.5
4,2014,990.5
4,2015,1001
4,2016,1001
5,1990,853
5,1991,994
5,1992,994
5,1993,994
5,1994,994
5,1995,1196.5
5,1996,1230
5,1997,1233.75
5,1998,1233.75
5,1999,1233.75
5,2e3,1233.75
5,2001,1483.75
5,2002,1483.75
5,2003,1483.75
5,2004,1484
5,2005,1484
5,2006,1484
5,2007,1484
5,2008,1484
5,2009,1484
5,2010,1484
5,2011,1524.5
5,2012,1524.5
5,2013,1524.5
5,2014,1524.5
5,2015,1524.5
5,2016,1524.5
6,1990,311.25
6,1991,312.75
6,1992,313
6,1993,326.5
6,1994,326.5
6,1995,479.75
6,1996,483.75
6,1997,500.25
6,1998,505
6,1999,550.5
6,2e3,552.25
6,2001,563.25
6,2002,564.5
6,2003,593.25
6,2004,601.5
6,2005,601.5
6,2006,601.5
6,2007,607.75
6,2008,607.75
6,2009,608.25
6,2010,608.25
6,2011,608.25
6,2012,608.25
6,2013,614
6,2014,614
6,2015,614
6,2016,614
8,1990,0
8,1991,0
8,1992,0
8,1993,0
8,1994,0
8,1995,0
8,1996,0
8,1997,0
8,1998,0
8,1999,0
8,2e3,0
8,2001,0
8,2002,0
8,2003,0
8,2004,0
8,2005,0
8,2006,264
8,2007,264
8,2008,264
8,2009,264
8,2010,264
8,2011,264
8,2012,264
8,2013,264
8,2014,264
8,2015,264
8,2016,264
