rgn_id,ref,potential,aq_type,units
1,mean_prod,3732.53371509616,shellfish,tonnes
2,mean_prod,3812.4597489536336,shellfish,tonnes
3,mean_prod,3791.055974686228,shellfish,tonnes
4,mean_prod,3680.1410075108843,shellfish,tonnes
5,mean_prod,3883.3377019659124,shellfish,tonnes
6,mean_prod,4072.2292761724957,shellfish,tonnes
7,mean_prod,3950.1734923096246,shellfish,tonnes
8,mean_prod,3809.0921071197713,shellfish,tonnes
1,lowR_prod,3455.216330489539,shellfish,tonnes
2,lowR_prod,3512.325060553671,shellfish,tonnes
3,lowR_prod,3412.224395981962,shellfish,tonnes
4,lowR_prod,3382.7560374557556,shellfish,tonnes
5,lowR_prod,3661.5164978242483,shellfish,tonnes
6,lowR_prod,3693.9996740209353,shellfish,tonnes
7,lowR_prod,3684.495434399805,shellfish,tonnes
8,lowR_prod,3444.283446429423,shellfish,tonnes
1,mean_prod,1062.0190885200552,finfish,tonnes
2,mean_prod,1077.282864092664,finfish,tonnes
3,mean_prod,1022.7563642034548,finfish,tonnes
4,mean_prod,990.2575267400708,finfish,tonnes
5,mean_prod,989.7095670877433,finfish,tonnes
6,mean_prod,933.017719941349,finfish,tonnes
7,mean_prod,1132.2278846153845,finfish,tonnes
8,mean_prod,1054.4361911894273,finfish,tonnes
1,highR_prod,1164.272,finfish,tonnes
2,highR_prod,1262.131,finfish,tonnes
3,highR_prod,1104.251,finfish,tonnes
4,highR_prod,1042.231,finfish,tonnes
5,highR_prod,1027.769,finfish,tonnes
6,highR_prod,1026.849,finfish,tonnes
7,highR_prod,1144.791,finfish,tonnes
8,highR_prod,1098.13,finfish,tonnes
1,lowR_prod,983.2728376877858,finfish,tonnes
2,lowR_prod,992.6855891165668,finfish,tonnes
3,lowR_prod,960.0285967599647,finfish,tonnes
4,lowR_prod,934.2573639611034,finfish,tonnes
5,lowR_prod,935.6657409948542,finfish,tonnes
6,lowR_prod,859.4768820826953,finfish,tonnes
7,lowR_prod,1041.3305384615385,finfish,tonnes
8,lowR_prod,983.0762286343612,finfish,tonnes
