year,unassessed_penalty
1999,0.4
2000,0.3
2001,0.4
2002,0.5
2003,0.45
2004,0.6
2005,0.55
2006,0.33
2007,0.45
2008,0.5
2009,0.2
2010,0.22
2011,0.24
2012,0.54
2013,0.7
2014,0.33
2015,0.1
