rgn_name,rgn_id,year,species,stockid,catch,rgn_catch,rgn_ass_catch_prop
West Vancouver Island,5,2015,arrowtooth_flounder,NA,5330347.78,32733550.720067725,NA
Strait of Georgia,6,2015,arrowtooth_flounder,NA,35.14,22049646.478037514,NA
North Coast,1,2015,arrowtooth_flounder,NA,581635.78,6183163.396933077,NA
Haida Gwaii,2,2015,arrowtooth_flounder,NA,4155514.66,13542664.750681318,NA
Central Coast,3,2015,arrowtooth_flounder,NA,325361.13,4916529.47,NA
North Vancouver Island,4,2015,arrowtooth_flounder,NA,83759.22,5466401.905034657,NA
Aristazabal Island,8,2015,arrowtooth_flounder,NA,675.23,130331.65999999999,NA
West Vancouver Island,5,2014,arrowtooth_flounder,NA,8685772.6,22189020.67017055,NA
Strait of Georgia,6,2014,arrowtooth_flounder,NA,13.31,18466806.54062311,NA
North Coast,1,2014,arrowtooth_flounder,NA,298468.85,8738613.755689513,NA
Haida Gwaii,2,2014,arrowtooth_flounder,NA,2937390.34,9029312.29,NA
Central Coast,3,2014,arrowtooth_flounder,NA,40406.19,4845805.251217306,NA
North Vancouver Island,4,2014,arrowtooth_flounder,NA,4227.06,5490220.951330182,NA
Aristazabal Island,8,2014,arrowtooth_flounder,NA,0,1330071.9520534652,NA
West Vancouver Island,5,2013,arrowtooth_flounder,NA,6885810.14,17316756.11883684,NA
Strait of Georgia,6,2013,arrowtooth_flounder,NA,41.32,16316571.310460353,NA
North Coast,1,2013,arrowtooth_flounder,NA,310464.54,4330308.408733,NA
Haida Gwaii,2,2013,arrowtooth_flounder,NA,893639.68,6216991.811604084,NA
Central Coast,3,2013,arrowtooth_flounder,NA,154916.8,9412649.495147534,NA
North Vancouver Island,4,2013,arrowtooth_flounder,NA,13191.68,4996359.600110408,NA
Aristazabal Island,8,2013,arrowtooth_flounder,NA,1353.03,679871.7443152436,NA
Pacific Offshore,7,2013,arrowtooth_flounder,NA,0,30041.54,NA
West Vancouver Island,5,2012,arrowtooth_flounder,NA,4336806.55,15713811.249980953,NA
Strait of Georgia,6,2012,arrowtooth_flounder,NA,29.78,11768691.668615397,NA
North Coast,1,2012,arrowtooth_flounder,NA,61561.59,3888577.477974049,NA
Haida Gwaii,2,2012,arrowtooth_flounder,NA,501377.66,10845063.119959434,NA
Central Coast,3,2012,arrowtooth_flounder,NA,216982.21,5370408.079975308,NA
North Vancouver Island,4,2012,arrowtooth_flounder,NA,14270.2,5365299.907356744,NA
Pacific Offshore,7,2012,arrowtooth_flounder,NA,0,14818.8,NA
West Vancouver Island,5,2011,arrowtooth_flounder,NA,2544172.4,15620818.084793031,NA
North Coast,1,2011,arrowtooth_flounder,NA,1115948.06,8595484.047202013,NA
Haida Gwaii,2,2011,arrowtooth_flounder,NA,1152313.83,7319205.81,NA
Central Coast,3,2011,arrowtooth_flounder,NA,131842.59,5212590.872784705,NA
North Vancouver Island,4,2011,arrowtooth_flounder,NA,4928.56,6452203.007632233,NA
West Vancouver Island,5,2010,arrowtooth_flounder,NA,179187.08,10583536.314029172,NA
Strait of Georgia,6,2010,arrowtooth_flounder,NA,19.98,7877646.3494489,NA
North Coast,1,2010,arrowtooth_flounder,NA,98623.92,3841450.283543457,NA
Haida Gwaii,2,2010,arrowtooth_flounder,NA,102878.96,9241521.132846788,NA
Central Coast,3,2010,arrowtooth_flounder,NA,103982.25,9532951.747544048,NA
North Vancouver Island,4,2010,arrowtooth_flounder,NA,9452.21,5870856.955335896,NA
Pacific Offshore,7,2010,arrowtooth_flounder,NA,0,34715.009999999995,NA
