sciname,comname,iucn_sid,am_sid,iucn_pop_trend,cosewic_trend
Ammodytes hexapterus,Pacific Sand Lance,NA,Fis-29620,NA,NA
Ardea herodias,Great Blue Heron,22696998,NA,increasing,NA
Balaenoptera acutorostrata,Minke Whale,2474,ITS-Mam-180524,stable,NA
Balaenoptera borealis,Sei Whale,2475,ITS-Mam-180526,unknown,0
Balaenoptera edeni,Bryde's Whale,2476,ITS-Mam-180525,NA,NA
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,increasing,-0.07375
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,unknown,-0.05555
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,decreasing,-0
Branta canadensis,Canada Goose,22679935,NA,NA,NA
Cetorhinus maximus,Basking Shark,4292,Fis-22747,decreasing,NA
Clupea pallasii,Pacific Herring,NA,Fis-153539,NA,NA
Delphinus delphis,Common Dophin,6336,ITS-Mam-180438,unknown,NA
Dermochelys coriacea,Leatherback Turtle,46967817,Rep-4381,decreasing,-0
Enhydra lutris,Sea Otter,7750,ITS-Mam-180547,decreasing,0.0735
Eschrichtius robustus,Gray Whale,8097,ITS-Mam-180521,stable,-0.11764999999999999
Eubalaena japonica,North Pacific Right Whale,41711,ITS-Mam-612591,unknown,0
Eumetopias jubatus,Steller Sea Lion,8239,ITS-Mam-180625,increasing,-0.0814
Gavia immer,Common Loon,22697842,NA,stable,NA
Grampus griseus,Risso's Dolphin,9461,ITS-Mam-180457,unknown,NA
Haliaeetus leucocephalus,Bald Eagle,22695144,NA,increasing,NA
Haliotis kamtschatkana,Northern Abalone,61743,W-Msc-405014,stable,-0.10439999999999999
Hippoglossus stenolepis,Halibut,NA,Fis-29418,NA,NA
Hypomesus pretiosus,Surf Smelt,NA,Fis-22880,NA,NA
Lagenorhynchus obliquidens,White-Sided Dolphin,11145,ITS-Mam-180444,unknown,NA
Lamna ditropis,Salmon Shark,39342,Fis-29426,stable,NA
Megaptera novaeangliae,Humpback Whale,13006,ITS-Mam-180530,increasing,0.02675
Mesoplodon densirostris,Blainville's Beaked Whale,13244,ITS-Mam-180517,NA,NA
Oncorhynchus gorbuscha,Pink Salmon,NA,Fis-22915,NA,NA
Oncorhynchus kisutch,Coho Salmon,NA,Fis-22917,NA,0.07145
Oncorhynchus nerka,Sockeye Salmon,135301,Fis-22920,stable,0
Oncorhynchus tshawytscha,Chinook Salmon,NA,Fis-22921,NA,-0.0376
Phoca vitulina,Harbor Seal,17013,ITS-Mam-180649,unknown,NA
Phocoena phocoena,Harbor Porpoise,17027,ITS-Mam-180473,unknown,NA
Phocoenoides dalli,Dall's Porpoise,17032,ITS-Mam-180480,unknown,NA
Physeter macrocephalus,Sperm Whale,41755,ITS-Mam-180488,unknown,NA
Pseudorca crassidens,False Killer Whale,18596,ITS-Mam-180463,NA,NA
Ptychoramphus aleuticus,Cassin's Auklet,22694903,ITS-177013,decreasing,NA
Squalus suckleyi,Spiny Dogfish,195488,Fis-164793,stable,NA
Thaleichthys pacificus,Eulachon,202415,Fis-22963,unknown,0.5
Thaleichthys pacificus,Eulachon,202415,Fis-22963,unknown,NA
Zalophus californianus,California Sea Lion,41666,ITS-Mam-180621,increasing,NA
Ziphius cavirostris,Cuvier's Beaked Whale,23211,ITS-Mam-180498,unknown,NA
Orcinus orca pop. 2,Killer Whale (Northeast Pacific Offshore Population),15421,ITS-Mam-180469,NA,-0.0373
Orcinus orca pop. 3,Killer Whale (West Coast Transient Population),15421,ITS-Mam-180469,NA,-0.5
Orcinus orca pop. 5,Killer Whale (Northeast Pacific Southern Resident Population),15421,ITS-Mam-180469,NA,-0.0821
Orcinus orca pop. 6,Killer Whale (Northeast Pacific Northern Resident Population),15421,ITS-Mam-180469,NA,0
