rgn_id,taxonkey,ram_stockid,catch_total,catch_wt
1,290022,PANDALSMAPRD,0,0
1,290022,SSHRIMPSMAPRD,0,0
1,300061,ESOLEHS,2469.43,0.28945
1,300061,RSOLE5AB,89.89,5.5e-4
1,300061,RSOLEHSTR,2469.43,0.28945
1,400573,BOCACCBCW,4027.25,0.00977
1,400573,CROCKWCVANISOGQCI,315.46,9.4e-4
1,600308,PCODHS,6568.96,0.39892
1,600504,PERCHQCI,194.08,0.002
1,600512,SABLEFPCAN,2331.5,0.01115
1,601520,HERRCC,350683.47,0.20889
1,601520,HERRQCI,29967.600000000002,0.01744
2,290022,PANDALSMAPRD,0,0
2,290022,SSHRIMPSMAPRD,0,0
2,300061,ESOLEHS,4342.79,0.50904
2,300061,RSOLE5AB,51634.94,0.31709
2,300061,RSOLEHSTR,4342.79,0.50904
2,400573,BOCACCBCW,201813.98,0.48949
2,400573,CROCKWCVANISOGQCI,179109.84,0.53584
2,600308,PCOD5AB,49645.64,0.36247
2,600308,PCODHS,5351.07,0.32496
2,600504,PERCHQCI,80623.73,0.82939
2,600512,SABLEFPCAN,102006.8,0.48788
2,601520,HERRCC,235164.08,0.14008
2,601520,HERRQCI,933125.69,0.54314
3,300061,ESOLEHS,663.1,0.07773
3,300061,RSOLE5AB,28326.49,0.17396
3,300061,RSOLEHSTR,663.1,0.07773
3,400573,BOCACCBCW,44265.39,0.10736
3,400573,CROCKWCVANISOGQCI,28236.53,0.08447
3,600308,PCOD5AB,21739.36,0.15872
3,600308,PCODHS,1870.6,0.1136
3,600308,PCODWCVANI,11230.65,0.14166
3,600504,PERCHWCVANI,9421.880000000001,0.14523
3,600512,SABLEFPCAN,15306.55,0.07321
3,601520,HERRCC,341700.33,0.20354
3,601520,HERRWCVANI,17549.29,0.00529
4,300061,RSOLE5AB,8083.32,0.04964
4,400573,BOCACCBCW,51322.45,0.12448
4,400573,CROCKWCVANISOGQCI,46208.79,0.13824
4,600256,EULAPCOASTFRDU,10.700000000000001,0.03753
4,600308,PCOD5AB,20150.82,0.14712
4,600308,PCODWCVANI,52397,0.6609
4,600504,PERCHWCVANI,39981.99,0.61631
4,600512,SABLEFPCAN,29095.65,0.13916
4,601520,HERRCC,23954.37,0.01427
4,601520,HERRSOG,3668.04,0.03815
4,601520,HERRWCVANI,130402.26,0.0393
5,290022,PANDALSMAFR,0,0
5,290022,SSSHRIMPSMAFR,0,0
5,400573,BOCACCBCW,6047.24,0.01467
5,400573,CROCKWCVANISOGQCI,6047.24,0.01809
5,600256,EULAPCOASTFRDU,16.4,0.05752
5,600308,PCODWCVANI,11488.57,0.14491
5,600504,PERCHWCVANI,11947.44,0.18417
5,600509,LINGCODSOG,2.8,0.00128
5,600512,SABLEFPCAN,4248.91,0.02032
5,601520,HERRSOG,5232.38,0.05442
5,601520,HERRWCVANI,584939.08,0.17629
6,290022,PANDALSMA14,0,0
6,290022,PANDALSMAFR,0,0
6,290022,SSSHRIMPSMA14,0,0
6,290022,SSSHRIMPSMAFR,0,0
6,400573,BOCACCBCW,219.42000000000002,5.3e-4
6,400573,CROCKWCVANISOGQCI,219.42000000000002,6.6e-4
6,600256,EULAPCOASTFRDU,258.02,0.90495
6,600509,LINGCODSOG,2179.98,0.99872
6,600512,SABLEFPCAN,116.74,5.6e-4
6,601520,HERRSOG,87244.23,0.90743
6,601520,HERRWCVANI,67.98,2e-5
7,300061,RSOLE5AB,73770.35,0.45303
7,400573,BOCACCBCW,102921.5,0.24963
7,400573,CROCKWCVANISOGQCI,73960.75,0.22127
7,600308,PCOD5AB,43106.56,0.31473
7,600308,PCODWCVANI,4164.65,0.05253
7,600504,PERCHQCI,16390.88,0.16862
7,600504,PERCHWCVANI,3522.17,0.05429
7,600512,SABLEFPCAN,54900.25,0.26258
7,601520,HERRCC,642935.47,0.38298
7,601520,HERRQCI,752305.98,0.43789
7,601520,HERRWCVANI,2585124.77,0.7791
8,300061,ESOLEHS,1056.03,0.12378
8,300061,RSOLE5AB,932.79,0.00573
8,300061,RSOLEHSTR,1056.03,0.12378
8,400573,BOCACCBCW,1675.04,0.00406
8,400573,CROCKWCVANISOGQCI,163.93,4.9e-4
8,600308,PCOD5AB,2323.0099999999998,0.01696
8,600308,PCODHS,2676.34,0.16253
8,600512,SABLEFPCAN,1074.3700000000001,0.00514
8,601520,HERRCC,84340.61,0.05024
8,601520,HERRQCI,2610.89,0.00152
