sciname,comname,iucn_sid,am_sid,year,risk_score,risk_source,cat_ts
Ammodytes hexapterus,Pacific Sand Lance,NA,Fis-29620,NA,NA,iucn,NE
Ardea herodias,Great Blue Heron,22696998,NA,1988,0.4,bc,LC
Ardea herodias,Great Blue Heron,22696998,NA,1994,0.4,bc,LC
Ardea herodias,Great Blue Heron,22696998,NA,2000,0.4,bc,LC
Ardea herodias,Great Blue Heron,22696998,NA,2004,0.4,bc,LC
Ardea herodias,Great Blue Heron,22696998,NA,2008,0.4,bc,LC
Ardea herodias,Great Blue Heron,22696998,NA,2009,0.4,bc,LC
Ardea herodias,Great Blue Heron,22696998,NA,2012,0.4,bc,LC
Ardea herodias,Great Blue Heron,22696998,NA,2016,0.4,bc,LC
Balaenoptera acutorostrata,Minke Whale,2474,ITS-Mam-180524,1996,0.2,bc,NT
Balaenoptera acutorostrata,Minke Whale,2474,ITS-Mam-180524,2008,0.2,bc,LC
Balaenoptera borealis,Sei Whale,2475,ITS-Mam-180526,1994,1,bc,VU
Balaenoptera borealis,Sei Whale,2475,ITS-Mam-180526,1996,1,bc,EN
Balaenoptera borealis,Sei Whale,2475,ITS-Mam-180526,2008,1,bc,EN
Balaenoptera edeni,Bryde's Whale,2476,ITS-Mam-180525,NA,NA,iucn,DD
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1965,0.8,bc,CR
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1986,0.8,bc,EN
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1988,0.8,bc,EN
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1990,0.8,bc,EN
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1994,0.8,bc,EN
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,1996,0.8,bc,EN
Balaenoptera musculus,Blue Whale,2477,ITS-Mam-180528,2008,0.8,bc,EN
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1965,0.6,bc,EN
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1986,0.6,bc,VU
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1988,0.6,bc,VU
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1990,0.6,bc,VU
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1994,0.6,bc,VU
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,1996,0.6,bc,EN
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,2008,0.6,bc,EN
Balaenoptera physalus,Fin Whale,2478,ITS-Mam-180527,2013,0.6,bc,EN
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2000,0.4,bc,VU
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2004,0.4,bc,EN
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2005,0.4,bc,EN
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2008,0.4,bc,EN
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2010,0.4,bc,EN
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2012,0.4,bc,EN
Brachyramphus marmoratus,Marbled Murrelet,22694870,ITS-176996,2016,0.4,bc,EN
Branta canadensis,Canada Goose,22679935,NA,2006,0,bc,LC
Branta canadensis,Canada Goose,22679935,NA,2008,0,bc,LC
Branta canadensis,Canada Goose,22679935,NA,2009,0,bc,LC
Branta canadensis,Canada Goose,22679935,NA,2012,0,bc,LC
Branta canadensis,Canada Goose,22679935,NA,2016,0,bc,LC
Cetorhinus maximus,Basking Shark,4292,Fis-22747,1996,0.4,iucn,VU
Cetorhinus maximus,Basking Shark,4292,Fis-22747,2000,0.4,iucn,VU
Cetorhinus maximus,Basking Shark,4292,Fis-22747,2005,0.4,iucn,VU
Clupea pallasii,Pacific Herring,NA,Fis-153539,NA,NA,iucn,NE
