year,rgn_id,rgn_name,rgn_catch,unass_catch,unass_catch_prop,ass_catch_prop
2007,1,North Coast,4013584.89,1740789.65,0.43372438797476137,0.5662756120252386
2007,2,Haida Gwaii,11995215.453801302,3597225.6,0.2998883691463861,0.7001116308536139
2007,3,Central Coast,34167565.494770676,4122850.57,0.12066562280040115,0.8793343771995988
2007,4,North Vancouver Island,12137571.174587734,2209216.8400000003,0.18201473822253725,0.8179852617774628
2007,5,West Vancouver Island,37764541.9579273,7083168.38,0.1875613475701946,0.8124386524298054
2007,6,Strait of Georgia,393888.24,392854.54,0.9973756515299873,0.002624348470012694
2007,7,Pacific Offshore,1991119.464389407,9217.08,0.00462909441891599,0.995370905581084
2007,8,Aristazabal Island,73439.64,45682.090000000004,0.6220358650995567,0.37796413490044334
2008,1,North Coast,5764101.72,2012188.69,0.3490897259876948,0.6509102740123052
2008,2,Haida Gwaii,11488905.25737244,4038639.73,0.3515252010115064,0.6484747989884936
2008,3,Central Coast,26487744.87,3781785.8400000003,0.1427749269921143,0.8572250730078856
2008,4,North Vancouver Island,4516786.72,2083977.78,0.461385030816775,0.5386149691832249
2008,5,West Vancouver Island,55545800.61360619,11020008.33,0.19839498590827043,0.8016050140917296
2008,6,Strait of Georgia,406736.02,406106.14,0.9984513788574713,0.0015486211425287388
2008,7,Pacific Offshore,1121842.1005741723,12437.29,0.011086488903950427,0.9889135110960495
2008,8,Aristazabal Island,116130.09,88929.56999999999,0.7657754333954274,0.23422456660457258
2009,1,North Coast,2578944.6,1736757.43,0.6734372774040978,0.32656272259590224
2009,2,Haida Gwaii,12762830.842852078,5034698.58,0.3944813374079718,0.6055186625920281
2009,3,Central Coast,16747634.42,4486227.76,0.26787232438287245,0.7321276756171275
2009,4,North Vancouver Island,9134037.4499679,3513708.31,0.3846829323009124,0.6153170676990876
2009,5,West Vancouver Island,47657887.62554374,10059458.879999999,0.21107647403592256,0.7889235259640774
2009,6,Strait of Georgia,386207.56,385643.36,0.9985391275095702,0.0014608724904298098
2009,7,Pacific Offshore,1372730.341520221,9615.72,0.007004813479500376,0.9929951865204997
2009,8,Aristazabal Island,183392.61,157783.26,0.8603577864996851,0.13964221350031492
2010,1,North Coast,3303956.11,1793544.94,0.5428476893417328,0.4571523106582672
2010,2,Haida Gwaii,13974226.802339548,4702424.72,0.33650697004665225,0.6634930299533477
2010,3,Central Coast,12731832.175684579,4034533,0.31688549961451773,0.6831145003854823
2010,4,North Vancouver Island,6000310.523500238,3190589.41,0.5317373821744801,0.4682626178255199
2010,5,West Vancouver Island,57155336.58181379,6861487.86,0.12004981984802539,0.8799501801519746
2010,6,Strait of Georgia,270524.03,269355.65,0.9956810491104986,0.004318950889501405
2010,7,Pacific Offshore,8887731.410050794,34715.009999999995,0.003905947243268639,0.9960940527567314
2010,8,Aristazabal Island,205742.71,155383.44999999998,0.7552318621641564,0.2447681378358436
2011,1,North Coast,3739158.58,2623073.68,0.7015144246703761,0.29848557532962394
2011,2,Haida Gwaii,12165275.567467857,5221182.81,0.4291873851145949,0.5708126148854051
2011,3,Central Coast,14320190.055292951,4421401.98,0.30875302373279506,0.6912469762672049
2011,4,North Vancouver Island,16714516.044627111,3745595.26,0.22409235481299042,0.7759076451870096
2011,5,West Vancouver Island,50026850.81333816,11596850.32,0.23181251930629315,0.7681874806937068
2011,6,Strait of Georgia,295384.91,295384.91,1,0
2011,7,Pacific Offshore,1314076.0958635071,6367.5,0.004845609793864929,0.995154390206135
2011,8,Aristazabal Island,137637.35,107136.68000000001,0.7783983054018404,0.2216016945981596
2012,1,North Coast,3043570.46,2030622.9600000002,0.6671844751706522,0.33281552482934784
2012,2,Haida Gwaii,10721113.616061395,4331672.42,0.4040319480907919,0.5959680519092081
2012,3,Central Coast,10588171.88334479,3931488.48,0.37130946902970446,0.6286905309702955
2012,4,North Vancouver Island,19349219.846224185,3439404.7800000003,0.17775418375181504,0.8222458162481849
2012,5,West Vancouver Island,43685904.71997549,12199589.33,0.27925687720556025,0.72074312279443975
2012,6,Strait of Georgia,1648993.46,1648985.47,0.9999951546199582,4.84538004175139e-6
2012,7,Pacific Offshore,5915336.381515194,14818.8,0.0025051491655330364,0.997494850834467
2012,8,Aristazabal Island,105767.59,77235.64,0.7302391970924175,0.26976080290758253
2013,1,North Coast,3146706.15,1963342.13,0.623935644578697,0.376064355421303
2013,2,Haida Gwaii,10788598.87500626,4345130.86,0.4027521006519467,0.5972478993480532
2013,3,Central Coast,8489087.796383291,3800949.6300000004,0.44774535511570096,0.5522546448842991
2013,4,North Vancouver Island,20895160.593834504,2645312.34,0.12659928255256134,0.8734007174474386
2013,5,West Vancouver Island,49717158.496492356,14289392.069999998,0.2874136918144295,0.7125863081855706
2013,6,Strait of Georgia,3479092.4699999997,3479092.4699999997,1,0
2013,7,Pacific Offshore,9954813.500718707,30041.54,0.003017790338094339,0.9969822096619056
2013,8,Aristazabal Island,108696.96,75729.06999999999,0.6966990613168941,0.3033009386831059
2014,1,North Coast,2558345.8277615127,1722706.29,0.6733672482063631,0.32663275179363693
2014,2,Haida Gwaii,16250407.744467627,6077264.29,0.37397611097290623,0.6260238890270937
2014,3,Central Coast,6583745.969100734,4270180.23,0.6485943184990868,0.3514056815009132
2014,4,North Vancouver Island,8073310.606138997,3381097.5300000003,0.4187993866393536,0.5812006133606464
2014,5,West Vancouver Island,51060540.964797355,18998522,0.3720783532845479,0.627921646715452
2014,6,Strait of Georgia,3978296.96,3978296.96,1,0
2014,7,Pacific Offshore,7452710.701424717,9361.24,0.001256085252069483,0.9987439147479306
2014,8,Aristazabal Island,109490.63,65565.28,0.598820921936425,0.401179078063575
2015,1,North Coast,3212764.185742319,2484350.22,0.7732749982165228,0.2267250017834772
2015,2,Haida Gwaii,19212980.63735057,7312974.12,0.38062673658158874,0.6193732634184113
