year,rgn_id,n_fn,n_tot,pct_fn
1995,1,0,106,0.0
1995,2,0,347,0.0
1995,3,0,383,0.0
1995,4,0,1068,0.0
1995,5,0,810,0.0
1995,6,0,1915,0.0
1995,7,0,335,0.0
1995,8,0,128,0.0
1996,1,3,121,0.024793388429752067
1996,2,224,2226,0.10062893081761007
1996,3,7,1360,0.005147058823529412
1996,4,6,1573,0.003814367450731087
1996,5,23,2332,0.00986277873070326
1996,6,22,2356,0.00933786078098472
1996,7,5,690,0.007246376811594203
1996,8,3,153,0.0196078431372549
1997,1,4,123,0.032520325203252036
1997,2,236,1939,0.12171222279525529
1997,3,19,1224,0.015522875816993464
1997,4,16,1327,0.012057272042200452
1997,5,43,2016,0.02132936507936508
1997,6,32,2237,0.014304872597228431
1997,7,16,667,0.0239880059970015
1997,8,4,155,0.025806451612903226
1998,1,5,396,0.012626262626262626
1998,2,242,1626,0.14883148831488316
1998,3,22,1115,0.019730941704035873
1998,4,103,977,0.10542476970317298
1998,5,118,1680,0.07023809523809524
1998,6,194,1583,0.12255211623499684
1998,7,20,593,0.03372681281618887
1998,8,5,253,0.019762845849802372
1999,1,8,535,0.014953271028037384
1999,2,470,2745,0.17122040072859745
1999,3,40,1808,0.022123893805309734
1999,4,105,1649,0.06367495451788963
1999,5,148,2671,0.055409958816922504
1999,6,217,2603,0.08336534767575873
1999,7,32,1035,0.030917874396135265
1999,8,8,401,0.0199501246882793
2000,1,5,504,0.00992063492063492
2000,2,246,1333,0.18454613653413354
2000,3,24,923,0.02600216684723727
2000,4,115,876,0.1312785388127854
2000,5,134,1437,0.09324982602644398
2000,6,216,1446,0.14937759336099585
2000,7,20,494,0.04048582995951417
2000,8,5,257,0.019455252918287938
2001,1,6,465,0.012903225806451613
2001,2,249,1332,0.18693693693693694
2001,3,23,917,0.025081788440567066
2001,4,73,828,0.08816425120772947
2001,5,141,1356,0.10398230088495575
2001,6,218,1437,0.15170494084899094
2001,7,20,488,0.040983606557377046
2001,8,4,258,0.015503875968992248
2002,1,9,427,0.02107728337236534
2002,2,247,1302,0.18970814132104455
2002,3,23,844,0.027251184834123223
2002,4,118,832,0.14182692307692307
