iucn_sid,am_sid,risk_score,risk_source,year,cat_ts
2474,ITS-Mam-180524,0.2,bc,1996,NT
2474,ITS-Mam-180524,0.2,bc,2008,LC
2475,ITS-Mam-180526,1,bc,1994,VU
2475,ITS-Mam-180526,1,bc,1996,EN
2475,ITS-Mam-180526,1,bc,2008,EN
2477,ITS-Mam-180528,0.8,bc,1965,CR
2477,ITS-Mam-180528,0.8,bc,1986,EN
2477,ITS-Mam-180528,0.8,bc,1988,EN
2477,ITS-Mam-180528,0.8,bc,1990,EN
2477,ITS-Mam-180528,0.8,bc,1994,EN
2477,ITS-Mam-180528,0.8,bc,1996,EN
2477,ITS-Mam-180528,0.8,bc,2008,EN
2478,ITS-Mam-180527,0.6,bc,1965,EN
2478,ITS-Mam-180527,0.6,bc,1986,VU
2478,ITS-Mam-180527,0.6,bc,1988,VU
2478,ITS-Mam-180527,0.6,bc,1990,VU
2478,ITS-Mam-180527,0.6,bc,1994,VU
2478,ITS-Mam-180527,0.6,bc,1996,EN
2478,ITS-Mam-180527,0.6,bc,2008,EN
2478,ITS-Mam-180527,0.6,bc,2013,EN
2636,Fis-55409,NA,iucn,NA,DD
2763,ITS-Mam-180496,0.4,iucn,1996,VU
3590,ITS-Mam-180627,0.6,bc,1996,VU
3590,ITS-Mam-180627,0.6,bc,2008,VU
3590,ITS-Mam-180627,0.6,bc,2015,VU
3855,Fis-23071,0.4,iucn,1996,VU
3855,Fis-23071,0.4,iucn,2000,VU
3855,Fis-23071,0.4,iucn,2009,VU
3897,Rep-2666,0.4,iucn,1982,VU
3897,Rep-2666,0.4,iucn,1986,VU
3897,Rep-2666,0.4,iucn,1988,VU
3897,Rep-2666,0.4,iucn,1990,VU
3897,Rep-2666,0.4,iucn,1994,VU
3897,Rep-2666,0.6,iucn,1996,EN
3897,Rep-2666,0.4,iucn,2015,VU
4292,Fis-22747,0.4,iucn,1996,VU
4292,Fis-22747,0.4,iucn,2000,VU
4292,Fis-22747,0.4,iucn,2005,VU
6336,ITS-Mam-180438,0,iucn,1996,LC
6336,ITS-Mam-180438,0,iucn,2008,LC
7750,ITS-Mam-180547,0.4,bc,1996,LC
7750,ITS-Mam-180547,0.4,bc,2000,EN
7750,ITS-Mam-180547,0.4,bc,2008,EN
7750,ITS-Mam-180547,0.4,bc,2011,EN
7750,ITS-Mam-180547,0.4,bc,2015,EN
8005,Rep-5181,0.6,iucn,1982,EN
8005,Rep-5181,0.6,iucn,1986,EN
8005,Rep-5181,0.6,iucn,1988,EN
8005,Rep-5181,0.6,iucn,1990,EN
8005,Rep-5181,0.6,iucn,1994,EN
8005,Rep-5181,0.8,iucn,1996,CR
8005,Rep-5181,0.8,iucn,2008,CR
8097,ITS-Mam-180521,0.4,bc,1996,VU
8097,ITS-Mam-180521,0.4,bc,2008,LC
8239,ITS-Mam-180625,0.4,bc,1994,VU
8239,ITS-Mam-180625,0.4,bc,1996,EN
8239,ITS-Mam-180625,0.4,bc,2008,EN
8239,ITS-Mam-180625,0.4,bc,2012,NT
8239,ITS-Mam-180625,0.4,bc,2016,NT
9249,ITS-Mam-180466,0.4,iucn,1996,VU
9461,ITS-Mam-180457,0.2,bc,2008,LC
9461,ITS-Mam-180457,0.2,bc,2012,LC
10030,Fis-23157,0.4,iucn,1996,VU
10030,Fis-23157,0.2,iucn,2000,NT
10030,Fis-23157,0.2,iucn,2005,NT
11047,ITS-Mam-180491,0,iucn,1996,LC
11145,ITS-Mam-180444,0.1,bc,1996,LC
11145,ITS-Mam-180444,0.1,bc,2008,LC
11145,ITS-Mam-180444,0.1,bc,2012,LC
11534,Rep-6936,0.6,iucn,1982,EN
11534,Rep-6936,0.6,iucn,1986,EN
11534,Rep-6936,0.6,iucn,1988,EN
11534,Rep-6936,0.6,iucn,1990,EN
11534,Rep-6936,0.6,iucn,1994,EN
11534,Rep-6936,0.6,iucn,1996,EN
11534,Rep-6936,0.4,iucn,2008,VU
12125,ITS-Mam-180454,0.2,bc,1996,LC
12125,ITS-Mam-180454,0.2,bc,2008,LC
12125,ITS-Mam-180454,0.2,bc,2012,LC
12302,NA,0,bc,2000,LC
12302,NA,0,bc,2004,LC
12302,NA,0,bc,2008,LC
12302,NA,0,bc,2015,LC
13006,ITS-Mam-180530,0.4,bc,1965,EN
13006,ITS-Mam-180530,0.4,bc,1986,EN
13006,ITS-Mam-180530,0.4,bc,1988,EN
13006,ITS-Mam-180530,0.4,bc,1990,VU
13006,ITS-Mam-180530,0.4,bc,1994,VU
13006,ITS-Mam-180530,0.4,bc,1996,VU
13006,ITS-Mam-180530,0.4,bc,2008,LC
13243,ITS-Mam-180512,NA,iucn,NA,DD
13252,ITS-Mam-180514,NA,iucn,NA,DD
13581,ITS-Mam-180672,0.8,bc,1996,LC
13581,ITS-Mam-180672,0.8,bc,2008,LC
13581,ITS-Mam-180672,0.8,bc,2015,LC
15421,ITS-Mam-180469,0.6,bc,1996,VU
17013,ITS-Mam-180649,0,bc,1996,LC
17013,ITS-Mam-180649,0,bc,2008,LC
17013,ITS-Mam-180649,0,bc,2016,LC
17027,ITS-Mam-180473,0.4,bc,1996,VU
17027,ITS-Mam-180473,0.4,bc,2008,LC
17032,ITS-Mam-180480,0.1,bc,1996,VU
17032,ITS-Mam-180480,0.1,bc,2008,LC
17032,ITS-Mam-180480,0.1,bc,2012,LC
18596,ITS-Mam-180463,0,iucn,1996,LC
20731,ITS-Mam-180434,0.4,iucn,1996,VU
20731,ITS-Mam-180434,0,iucn,2008,LC
21856,Fis-22832,0.2,iucn,2011,NT
21859,Fis-22836,0.4,iucn,1996,VU
21859,Fis-22836,0.4,iucn,2011,VU
23211,ITS-Mam-180498,0,iucn,2008,LC
39324,Fis-24153,NA,iucn,NA,DD
39328,Fis-29541,0.2,iucn,2000,NT
39328,Fis-29541,0.2,iucn,2005,NT
39328,Fis-29541,0.2,iucn,2016,NT
39339,Fis-23899,0.4,iucn,2009,VU
39341,Fis-58485,0.2,iucn,2000,NT
39341,Fis-58485,0.4,iucn,2009,VU
39342,Fis-29426,0,iucn,2009,LC
39352,Fis-25233,0.4,iucn,2000,VU
39352,Fis-25233,0.4,iucn,2006,VU
39381,Fis-23222,0.2,iucn,2000,NT
39381,Fis-23222,0.2,iucn,2009,NT
39396,Fis-30722,0,iucn,2000,LC
39396,Fis-30722,0,iucn,2005,LC
39396,Fis-30722,0,iucn,2015,LC
41666,ITS-Mam-180621,0,bc,1965,CR
41666,ITS-Mam-180621,0,bc,1996,LC
41666,ITS-Mam-180621,0,bc,2008,LC
41666,ITS-Mam-180621,0,bc,2015,LC
41755,ITS-Mam-180488,0.3,bc,1996,VU
41755,ITS-Mam-180488,0.3,bc,2008,VU
44183,Fis-30562,0.2,iucn,2000,NT
44183,Fis-30562,0.2,iucn,2005,NT
44183,Fis-30562,0,iucn,2016,LC
44209,Fis-22998,NA,iucn,NA,DD
60191,Fis-24068,0,iucn,2006,LC
