rgn_id,catch_total,ram_stock_id,dfo_stock,catch_wt
1,90258.28493498446,HERRCC,tot_dfo_herring_catch_1989_2015.tif,0
2,0,HERRCC,tot_dfo_herring_catch_1989_2015.tif,0
3,116307.39311887536,HERRCC,tot_dfo_herring_catch_1989_2015.tif,1
4,0,HERRCC,tot_dfo_herring_catch_1989_2015.tif,0
5,0,HERRCC,tot_dfo_herring_catch_1989_2015.tif,0
6,0,HERRCC,tot_dfo_herring_catch_1989_2015.tif,0
7,0,HERRCC,tot_dfo_herring_catch_1989_2015.tif,0
8,4423.363624217517,HERRCC,tot_dfo_herring_catch_1989_2015.tif,0
1,0,HERRQCI,tot_dfo_herring_catch_1989_2015.tif,0
2,31830.1291691393,HERRQCI,tot_dfo_herring_catch_1989_2015.tif,1
3,0,HERRQCI,tot_dfo_herring_catch_1989_2015.tif,0
4,0,HERRQCI,tot_dfo_herring_catch_1989_2015.tif,0
5,0,HERRQCI,tot_dfo_herring_catch_1989_2015.tif,0
6,0,HERRQCI,tot_dfo_herring_catch_1989_2015.tif,0
7,0,HERRQCI,tot_dfo_herring_catch_1989_2015.tif,0
8,0,HERRQCI,tot_dfo_herring_catch_1989_2015.tif,0
1,0,HERRSOG,tot_dfo_herring_catch_1989_2015.tif,0
2,0,HERRSOG,tot_dfo_herring_catch_1989_2015.tif,0
3,0,HERRSOG,tot_dfo_herring_catch_1989_2015.tif,0
4,0,HERRSOG,tot_dfo_herring_catch_1989_2015.tif,0
5,0,HERRSOG,tot_dfo_herring_catch_1989_2015.tif,0
6,338044.6142526393,HERRSOG,tot_dfo_herring_catch_1989_2015.tif,1
7,0,HERRSOG,tot_dfo_herring_catch_1989_2015.tif,0
8,0,HERRSOG,tot_dfo_herring_catch_1989_2015.tif,0
1,0,HERRWCVANI,tot_dfo_herring_catch_1989_2015.tif,0
2,0,HERRWCVANI,tot_dfo_herring_catch_1989_2015.tif,0
3,0,HERRWCVANI,tot_dfo_herring_catch_1989_2015.tif,0
4,1132.8652757744403,HERRWCVANI,tot_dfo_herring_catch_1989_2015.tif,0
5,81172.99069593471,HERRWCVANI,tot_dfo_herring_catch_1989_2015.tif,1
6,0,HERRWCVANI,tot_dfo_herring_catch_1989_2015.tif,0
7,0,HERRWCVANI,tot_dfo_herring_catch_1989_2015.tif,0
8,0,HERRWCVANI,tot_dfo_herring_catch_1989_2015.tif,0
1,0,PANDALSMA14,tot_shrimptrawl_sum_pinks_2005_2015.tif,0
2,0,PANDALSMA14,tot_shrimptrawl_sum_pinks_2005_2015.tif,0
3,0,PANDALSMA14,tot_shrimptrawl_sum_pinks_2005_2015.tif,0
