year,rgn_id,mean_unempl
2001,1,14.03
2002,1,13.41
2003,1,12.79
2004,1,12.17
2005,1,11.549999999999999
2006,1,10.93
2007,1,11.036
2008,1,11.142
2009,1,11.248000000000001
2010,1,11.354000000000001
2011,1,11.46
2001,2,9.73
2002,2,9.572000000000001
2003,2,9.414
2004,2,9.256
2005,2,9.097999999999999
2006,2,8.94
2001,4,10.9
2002,4,10.486
2003,4,10.072000000000001
2004,4,9.658
2005,4,9.244
2006,4,8.83
2007,4,8.78
2008,4,8.73
2009,4,8.68
2010,4,8.63
2011,4,8.58
2001,5,7.48
2002,5,6.92
2003,5,6.36
2004,5,5.8
2005,5,5.24
2006,5,4.68
2007,5,5.036
2008,5,5.3919999999999995
2009,5,5.747999999999999
2010,5,6.104
2011,5,6.46
2001,6,7.55
2002,6,7.156
2003,6,6.762
2004,6,6.368
2005,6,5.974
2006,6,5.58
2007,6,5.914
2008,6,6.248
2009,6,6.582
2010,6,6.916
2011,6,7.25
