sgc,name,type,pop,prev_pop,year
5901003,Elkford,DM,2589,2729,2001
5901006,Sparwood,DM,3812,3982,2001
5901012,Fernie,C,4611,4898,2001
5901017,East Kootenay A,RDA,1837,1790,2001
5901019,East Kootenay B,RDA,1838,1756,2001
5901022,Cranbrook,C,18476,18329,2001
5901028,Kimberley,C,6484,6738,2001
5901035,East Kootenay C,RDA,5794,5817,2001
5901037,East Kootenay E,RDA,1824,1949,2001
5901039,Invermere,DM,2858,2687,2001
5901040,Radium Hot Springs,VL,583,530,2001
5901046,East Kootenay F,RDA,3356,3042,2001
5901048,East Kootenay G,RDA,1635,1521,2001
5901801,Tobacco Plains 2,R,82,77,2001
5901802,Isidore's Ranch 4,R,0,0,2001
5901803,Kootenay 1,R,166,160,2001
5901804,Columbia Lake 3,R,165,176,2001
5901805,Cassimayooks (Mayook) 5,R,5,5,2001
5901806,Shuswap,R,176,180,2001
5901807,Bummers Flat 6,R,0,0,2001
5903004,Creston,T,4795,4816,2001
5903010,Central Kootenay A,RDA,2125,2617,2001
5903011,Salmo,VL,1120,1202,2001
5903013,Central Kootenay B,RDA,4658,4723,2001
5903015,Nelson,C,9298,9585,2001
5903017,Central Kootenay C,RDA,1371,1015,2001
5903019,Slocan,VL,336,335,2001
5903023,Kaslo,VL,1032,1063,2001
5903027,Silverton,VL,222,241,2001
5903032,New Denver,VL,538,579,2001
5903039,Central Kootenay D,RDA,1500,1596,2001
5903041,Central Kootenay E,RDA,3531,3533,2001
5903043,Central Kootenay F,RDA,3907,3854,2001
5903045,Castlegar,C,7002,7030,2001
5903047,Central Kootenay G,RDA,1354,1573,2001
5903050,Nakusp,VL,1698,1736,2001
5903052,Central Kootenay H,RDA,4482,4460,2001
5903056,Central Kootenay I,RDA,2436,2507,2001
5903058,Central Kootenay J,RDA,3513,3524,2001
5903060,Central Kootenay K,RDA,1979,1997,2001
5903807,Creston 1,R,122,113,2001
5905005,Fruitvale,VL,2025,2117,2001
5905009,Montrose,VL,1067,1137,2001
5905014,Trail,C,7575,7874,2001
5905018,Warfield,VL,1739,1788,2001
5905023,Rossland,C,3646,3802,2001
5905026,Kootenay Boundary A,RDA,1984,2165,2001
5905030,Kootenay Boundary B,RDA,1583,1625,2001
5905032,Grand Forks,C,4054,3994,2001
5905037,Midway,VL,638,686,2001
5905042,Greenwood,C,666,784,2001
5905050,Kootenay Boundary C,RDA,1456,1408,2001
5905052,Kootenay Boundary D,RDA,3241,3390,2001
5905054,Kootenay Boundary E,RDA,2169,2136,2001
5907005,Osoyoos,T,4295,4127,2001
5907009,Keremeos,VL,1197,1167,2001
