"dir","shp","data_type","dupes","domain","category","layer"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_ecologicalfeaturecount_data","BCMCA_ECO_FeatureCount.shp",NA,FALSE,"eco","featurecount.shp","featurecount"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_fish_complete/FeatureData_Fish","BCMCA_ECO_Fish_BaskingSharksHistoricalAbund_DATA.shp","feature",FALSE,"eco","fish","baskingsharkshistoricalabund"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_fish_complete/FeatureData_Fish","BCMCA_ECO_Fish_BaskingSharksRecentCapturesAndSightings_DATA.shp","feature",FALSE,"eco","fish","baskingsharksrecentcapturesandsightings"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_fish_complete/FeatureData_Fish","BCMCA_ECO_Fish_HerringSpawn_DATA.shp","feature",TRUE,"eco","fish","herringspawn"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_fishinverts_complete/MarxanData_FishInverts","BCMCA_ECO_FishInverts_GrdfshTrawlSurveyAreas_Data.shp","feature",FALSE,"eco","fishinverts","grdfshtrawlsurveyareas"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_fishinverts_complete/MarxanData_FishInverts","BCMCA_ECO_fishInverts_trawlObserver_MARXAN.shp","marxan",FALSE,"eco","fishinverts","trawlobserver"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_fishinverts_complete/MarxanData_FishInverts","BCMCA_ECO_fishInverts_trawlSurvey2003_MARXAN.shp","marxan",FALSE,"eco","fishinverts","trawlsurvey2003"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_fishinverts_complete/MarxanData_FishInverts","BCMCA_ECO_fishInverts_trawlSurvey2004_MARXAN.shp","marxan",FALSE,"eco","fishinverts","trawlsurvey2004"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_fishinverts_complete/MarxanData_FishInverts","BCMCA_ECO_fishInverts_trawlSurvey2005_MARXAN.shp","marxan",FALSE,"eco","fishinverts","trawlsurvey2005"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_fishinverts_complete/MarxanData_FishInverts","BCMCA_ECO_fishInverts_trawlSurvey2006_MARXAN.shp","marxan",FALSE,"eco","fishinverts","trawlsurvey2006"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_fishinverts_complete/MarxanData_FishInverts","BCMCA_ECO_fishInverts_trawlSurvey2007_MARXAN.shp","marxan",FALSE,"eco","fishinverts","trawlsurvey2007"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_fishinverts_complete/MarxanData_FishInverts","BCMCA_ECO_fishInverts_trawlSurvey2008_MARXAN.shp","marxan",FALSE,"eco","fishinverts","trawlsurvey2008"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_fishinverts_complete/MarxanData_FishInverts","BCMCA_ECO_fishInverts_trawlSurvey2009_MARXAN.shp","marxan",FALSE,"eco","fishinverts","trawlsurvey2009"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_fishinverts_complete/MarxanData_FishInverts","BCMCA_ECO_fishInverts_untrawlableAreas_MARXAN.shp","marxan",FALSE,"eco","fishinverts","untrawlableareas"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_inverts_complete/FeatureData_Inverts","Sponge_Reefs_Hecate_Update_2008.shp",NA,FALSE,NA,NA,"sponge_reefs_hecate_update_2008"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts","BCMCA_ECO_Inverts_Coral_DFOobservers_MARXAN.shp","marxan",FALSE,"eco","inverts","dfoobservers"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts","BCMCA_ECO_Inverts_Coral_DFOsurveys_MARXAN.shp","marxan",FALSE,"eco","inverts","dfosurveys"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts","BCMCA_ECO_inverts_hab1_rockPlatformSubmerged_MARXAN.shp","marxan",FALSE,"eco","inverts","rockplatformsubmerged"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts","BCMCA_ECO_inverts_hab2_rockSubHighCurrent_MARXAN.shp","marxan",FALSE,"eco","inverts","rocksubhighcurrent"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts","BCMCA_ECO_inverts_hab3_sandSubstrate_MARXAN.shp","marxan",FALSE,"eco","inverts","sandsubstrate"
"/Volumes/data_edit/git-annex/bcprep/data/bcmca/bcmca_eco_set_inverts_complete/MarxanData_Inverts","BCMCA_ECO_inverts_hab4_mudflats_adjacentEst_MARXAN.shp","marxan",FALSE,"eco","inverts","adjacentest"
