shp,data_type,dupes,domain,category,layer,data_cols,raster,value
BCMCA_ECO_Algae_BoulderCobbleFloor_MARXAN.shp,marxan,FALSE,eco,algae,bouldercobblefloor,"ID,UNIT_ID,Shape_Leng",TRUE,UNIT_ID
BCMCA_ECO_Algae_Cystoseira_MARXAN.shp,marxan,FALSE,eco,algae,cystoseira,"UNIT_ID,MARSECTION,ID_NUMBER,Shape_Leng,Shape_Area,ID,PRESENCE",FALSE,
BCMCA_ECO_Algae_Eisenia_arborea_Data.shp,feature,TRUE,eco,algae,eisenia_arborea,"DATE_,LATDD,LONGDD,Feature,SOURCE_DAT,Dataset_ID,LATITUDE,LONGITUDE,BuffDist_m,Shape_Leng,Shape_Area",FALSE,
BCMCA_ECO_Algae_Eisenia_arborea_MARXAN.shp,marxan,TRUE,eco,algae,eisenia_arborea,"UNIT_ID,MARSECTION,ID_NUMBER,Shape_Leng,Shape_Area,ID,PRESENCE",FALSE,
BCMCA_ECO_Algae_Lithothrix_aspergillum_Data.shp,feature,FALSE,eco,algae,lithothrix_aspergillum,"DATE_,LATDD,LONGDD,Feature,SOURCE_DAT,Dataset_ID,LATITUDE,LONGITUDE,BuffDist_m,Shape_Leng,Shape_Area",FALSE,
BCMCA_ECO_Algae_Lithothrix_spp_MARXAN.shp,marxan,FALSE,eco,algae,lithothrix_spp,"UNIT_ID,Shape_Leng,Shape_Area,ID,PRESENCE",FALSE,
BCMCA_ECO_Algae_MudflatsEstuarine_MARXAN.shp,marxan,FALSE,eco,algae,mudflatsestuarine,"ID,UNIT_ID,Shape_Leng",TRUE,UNIT_ID
BCMCA_ECO_Algae_Postelsia_palmaeformis_Data.shp,feature,FALSE,eco,algae,postelsia_palmaeformis,"DATE_,LATDD,LONGDD,Feature,SOURCE_DAT,Dataset_ID,LATITUDE,LONGITUDE,BuffDist_m,Shape_Leng,Shape_Area",FALSE,
BCMCA_ECO_Algae_Postelsia_spp_MARXAN.shp,marxan,FALSE,eco,algae,postelsia_spp,"UNIT_ID,Shape_Leng,Shape_Area,ID,PRESENCE",FALSE,
BCMCA_ECO_Algae_Pterygophora_californica_Data.shp,feature,FALSE,eco,algae,pterygophora_californica,"DATE_,LATDD,LONGDD,Feature,SOURCE_DAT,Dataset_ID,LATITUDE,LONGITUDE,BuffDist_m,Shape_Leng,Shape_Area",FALSE,
BCMCA_ECO_Algae_Pterygophora_spp_MARXAN.shp,marxan,FALSE,eco,algae,pterygophora_spp,"UNIT_ID,Shape_Leng,Shape_Area,ID,PRESENCE",FALSE,
BCMCA_ECO_Algae_Rhodolith_spp_Data.shp,feature,TRUE,eco,algae,rhodolith_spp,"DATE_,LATDD,LONGDD,Feature,SOURCE_DAT,Dataset_ID,LATITUDE,LONGITUDE,BuffDist_m,Shape_Leng,Shape_Area",FALSE,
BCMCA_ECO_Algae_Rhodolith_spp_MARXAN.shp,marxan,TRUE,eco,algae,rhodolith_spp,"UNIT_ID,Shape_Leng,Shape_Area,ID,PRESENCE",FALSE,
BCMCA_ECO_Algae_RockyIntertidalExposed_MARXAN.shp,marxan,FALSE,eco,algae,rockyintertidalexposed,"ID,UNIT_ID,Shape_Leng",TRUE,UNIT_ID
BCMCA_ECO_Algae_RockyIntertidalSemiExposed_MARXAN.shp,marxan,FALSE,eco,algae,rockyintertidalsemiexposed,"ID,UNIT_ID,Shape_Leng",TRUE,UNIT_ID
BCMCA_ECO_Algae_RockyIntertidalSheltered_MARXAN.shp,marxan,FALSE,eco,algae,rockyintertidalsheltered,"ID,UNIT_ID,Shape_Leng",TRUE,UNIT_ID
bcmca_eco_algae_stephanocystis_geminata_data.shp,feature,FALSE,eco,algae,stephanocystis_geminata,"DATE_,LATDD,LONGDD,Feature,SOURCE_DAT,Dataset_ID,LATITUDE,LONGITUDE,BuffDist_m,Shape_Leng,Shape_Area",FALSE,
BCMCA_ECO_Birds_MarineBirdSurveyEffort_DATA.shp,feature,FALSE,eco,birds,marinebirdsurveyeffort,"SHAPE_LENG,UNIT_ID,Shape_Area",FALSE,
BCMCA_ECO_Birds_SemiPalmatedPloverNests_ptData.shp,pt_feature,FALSE,eco,birds,semipalmatedplovernests,"Location,Region,Square,Birds,Spatial_Ac,Notes,DatasetID,Feature,DATA_SOURC",FALSE,
BCMCA_ECO_FeatureCount.shp,NA,FALSE,eco,featurecount.shp,featurecount,"SHAPE_AREA,SHAPE_LEN,Unit_ID,SumOfCount",FALSE,
BCMCA_ECO_Fish_BaskingSharksHistoricalAbund_DATA.shp,feature,FALSE,eco,fish,baskingsharkshistoricalabund,Id,FALSE,
BCMCA_ECO_Fish_BaskingSharksRecentCapturesAndSightings_DATA.shp,feature,FALSE,eco,fish,baskingsharksrecentcapturesandsightings,"Id,Comments",FALSE,
BCMCA_ECO_Fish_HerringSpawn_DATA.shp,feature,TRUE,eco,fish,herringspawn,"UNIT_ID,Cnt_UNIT_I,Ave_SHI,SH_Class,Shape_Leng,Shape_Area,ID,ID_Final,Presence",TRUE,"Cnt_UNIT_I,Ave_SHI,SH_Class"
BCMCA_ECO_fish_herringSpawn_MARXAN.shp,marxan,TRUE,eco,fish,herringspawn,"UNIT_ID,Cnt_UNIT_I,Ave_SHI,SH_Class,Shape_Leng,Shape_Area,ID,ID_Final,Presence",FALSE,"Cnt_UNIT_I,Ave_SHI,SH_Class"
BCMCA_ECO_FishInverts_GrdfshTrawlSurveyAreas_Data.shp,feature,FALSE,eco,fishinverts,grdfshtrawlsurveyareas,"OBJECTID,BLOCK_DESI,Area",FALSE,
BCMCA_ECO_fishInverts_trawlObserver_MARXAN.shp,marxan,FALSE,eco,fishinverts,trawlobserver,"OBJECTID,DFO_ID,No_Vessels,No_Tows,Catch_kg,No_Species,CPUE_kg_hr,Shape_Leng,Shape_Area,ID_CPUE,ID_Richnes,Unit_ID,logCPUE,percSpp,transRichn",FALSE,
BCMCA_ECO_fishInverts_trawlSurvey2003_MARXAN.shp,marxan,FALSE,eco,fishinverts,trawlsurvey2003,"OBJECTID,DFO_ID,Survey,Year_,No_Tows,Catch_kg,No_Species,Density_kg,Shape_Leng,Shape_Area,Unit_ID,ID_Density,ID_Richnes,Poss_Spp,Perc_Spp,logDensity,transRichn",FALSE,
BCMCA_ECO_fishInverts_trawlSurvey2004_MARXAN.shp,marxan,FALSE,eco,fishinverts,trawlsurvey2004,"OBJECTID,DFO_ID,Survey,Year_,No_Tows,Catch_kg,No_Species,Density_kg,Shape_Leng,Shape_Area,Unit_ID,ID_Density,ID_Richnes,Poss_Spp,Perc_Spp,logDensity,transRichn",FALSE,
BCMCA_ECO_fishInverts_trawlSurvey2005_MARXAN.shp,marxan,FALSE,eco,fishinverts,trawlsurvey2005,"OBJECTID,DFO_ID,Survey,Year_,No_Tows,Catch_kg,No_Species,Density_kg,Shape_Leng,Shape_Area,Unit_ID,ID_Density,ID_Richnes,Poss_Spp,Perc_Spp,logDensity,transRichn",FALSE,
