substrt,sediment,width,slope,descr,class_id
rock,NA,wide  (> 30 m),steep  (> 20 deg),NA,NA
rock,NA,wide  (> 30 m),inclined  (5-20 deg),"rock ramp, wide",1
rock,NA,wide  (> 30 m),flat  (< 5 deg),"rock platform, wide",2
rock,NA,narrow  (< 30 m),steep  (> 20 deg),rock cliff,3
rock,NA,narrow  (< 30 m),inclined  (5-20 deg),"rock ramp, wide",4
rock,NA,narrow  (< 30 m),flat  (< 5 deg),"rock platform, wide",5
rock & sediment,gravel,wide  (> 30 m),steep  (> 20 deg),NA,NA
rock & sediment,gravel,wide  (> 30 m),inclined  (5-20 deg),"ramp with gravel beach, wide",6
rock & sediment,gravel,wide  (> 30 m),flat  (< 5 deg),"platform with gravel beach, wide",7
rock & sediment,gravel,narrow  (< 30 m),steep  (> 20 deg),cliff with gravel beach,8
rock & sediment,gravel,narrow  (< 30 m),inclined  (5-20 deg),ramp with gravel beach,9
rock & sediment,gravel,narrow  (< 30 m),flat  (< 5 deg),platform with gravel beach,10
rock & sediment,sand & gravel,wide  (> 30 m),steep  (> 20 deg),NA,NA
rock & sediment,sand & gravel,wide  (> 30 m),inclined  (5-20 deg),"ramp with gravel/sand beach, wide",11
rock & sediment,sand & gravel,wide  (> 30 m),flat  (< 5 deg),"platform with gravel/sand beach, wide",12
rock & sediment,sand & gravel,narrow  (< 30 m),steep  (> 20 deg),cliff with gravel/sand beach,13
rock & sediment,sand & gravel,narrow  (< 30 m),inclined  (5-20 deg),ramp with gravel/sand beach,14
rock & sediment,sand & gravel,narrow  (< 30 m),flat  (< 5 deg),platform with gravel/sand beach,15
rock & sediment,sand,wide  (> 30 m),steep  (> 20 deg),NA,NA
rock & sediment,sand,wide  (> 30 m),inclined  (5-20 deg),"ramp with sand beach, wide",16
rock & sediment,sand,wide  (> 30 m),flat  (< 5 deg),"platform with sand beach, wide",17
rock & sediment,sand,narrow  (< 30 m),steep  (> 20 deg),cliff with sand beach,18
rock & sediment,sand,narrow  (< 30 m),inclined  (5-20 deg),ramp with sand beach,19
rock & sediment,sand,narrow  (< 30 m),flat  (< 5 deg),platform with sand beach,20
sediment,gravel,wide  (> 30 m),flat  (< 5 deg),"gravel flat, wide",21
sediment,gravel,narrow  (< 30 m),steep  (> 20 deg),NA,NA
sediment,gravel,narrow  (< 30 m),inclined  (5-20 deg),"gravel beach, narrow",22
sediment,gravel,narrow  (< 30 m),flat  (< 5 deg),gravel flat or fan,23
sediment,sand & gravel,wide  (> 30 m),steep  (> 20 deg),NA,NA
sediment,sand & gravel,wide  (> 30 m),inclined  (5-20 deg),NA,NA
sediment,sand & gravel,wide  (> 30 m),flat  (< 5 deg),sand/gravel flat or fan,24
sediment,sand & gravel,narrow  (< 30 m),steep  (> 20 deg),NA,NA
sediment,sand & gravel,narrow  (< 30 m),inclined  (5-20 deg),"sand/gravel beach, narrow",25
sediment,sand & gravel,narrow  (< 30 m),flat  (< 5 deg),sand/gravel flat or fan,26
sediment,sand/mud,wide  (> 30 m),steep  (> 20 deg),NA,NA
sediment,sand/mud,wide  (> 30 m),inclined  (5-20 deg),sand beach,27
sediment,sand/mud,wide  (> 30 m),flat  (< 5 deg),sand flat,28
sediment,sand/mud,wide  (> 30 m),flat  (< 5 deg),mudflat,29
sediment,sand/mud,narrow  (< 30 m),steep  (> 20 deg),NA,NA
sediment,sand/mud,narrow  (< 30 m),inclined  (5-20 deg),sand beach,30
sediment,sand/mud,narrow  (< 30 m),flat  (< 5 deg),NA,NA
sediment,organics,NA,NA,estuaries,31
anthropogenic,man-made,NA,NA,"man-made, permeable",32
anthropogenic,man-made,NA,NA,"man-made, impermeable",33
channel,current,NA,NA,channel,34
glacier,ice,NA,NA,glacier,35
