section,rgn_id,n_cells,area_km2
Section 001,2,1229,307.25
Section 002,2,587,146.75
Section 003,2,1481,370.25
Section 004,2,571,142.75
Section 005,2,532,133
Section 006,2,537,134.25
Section 011,2,3761,940.25
Section 012,2,578,144.5
Section 021,2,1647,411.75
Section 022,2,1382,345.5
Section 023,2,522,130.5
Section 024,2,2161,540.25
Section 025,2,1320,330
Section 031,1,2078,519.5
Section 032,1,2911,727.75
Section 033,1,194,48.5
Section 041,1,3412,853
Section 042,1,3220,805
Section 043,1,2996,749
Section 051,1,4674,1168.5
Section 052,1,1175,293.75
Section 053,1,1313,328.25
Section 061,1,3559,889.75
Section 061,8,258,64.5
Section 062,1,3764,941
Section 063,1,1367,341.75
Section 064,1,326,81.5
Section 065,1,114,28.5
Section 065,3,417,104.25
Section 065,8,101,25.25
Section 066,1,622,155.5
Section 066,3,11,2.75
Section 066,8,409,102.25
Section 067,3,1308,327
Section 067,8,837,209.25
Section 071,3,4218,1054.5
Section 071,8,26,6.5
Section 072,3,418,104.5
Section 073,3,709,177.25
Section 074,3,1275,318.75
Section 075,3,458,114.5
Section 076,3,465,116.25
Section 077,3,1055,263.75
Section 078,3,2395,598.75
Section 081,3,708,177
Section 082,3,1375,343.75
Section 083,3,526,131.5
Section 084,3,1301,325.25
Section 085,3,771,192.75
Section 086,3,1272,318
Section 091,3,929,232.25
Section 092,3,645,161.25
Section 093,3,452,113
Section 101,3,1167,291.75
Section 101,4,1227,306.75
Section 102,4,569,142.25
Section 103,4,186,46.5
Section 111,4,3363,840.75
Section 112,4,546,136.5
Section 121,4,6439,1609.75
Section 122,4,454,113.5
Section 123,4,1940,485
Section 124,4,529,132.25
Section 125,4,1046,261.5
Section 126,4,737,184.25
Section 127,4,1106,276.5
Section 131,4,1204,301
Section 132,4,324,81
Section 133,4,256,64
Section 134,4,1030,257.5
Section 135,4,704,176
Section 135,6,555,138.75
Section 136,4,816,204
Section 136,6,338,84.5
Section 141,6,4081,1020.25
Section 142,6,1007,251.75
Section 143,6,1685,421.25
Section 151,6,1577,394.25
Section 152,6,2228,557
Section 161,6,937,234.25
Section 162,6,647,161.75
Section 163,6,1645,411.25
Section 164,6,720,180
Section 165,6,466,116.5
Section 171,6,2361,590.25
Section 172,6,713,178.25
Section 173,6,1539,384.75
Section 181,6,1074,268.5
Section 182,6,1250,312.5
Section 191,6,281,70.25
Section 192,5,1051,262.75
Section 192,6,449,112.25
Section 193,5,1478,369.5
Section 201,5,2968,742
Section 202,5,1319,329.75
Section 211,5,239,59.75
Section 220,5,1,0.25
Section 231,5,580,145
Section 232,5,894,223.5
Section 233,5,710,177.5
Section 241,5,346,86.5
Section 242,5,140,35
Section 243,5,326,81.5
Section 244,5,291,72.75
Section 245,5,860,215
Section 251,5,606,151.5
Section 252,5,420,105
Section 253,5,751,187.75
Section 261,5,404,101
Section 262,5,487,121.75
Section 263,4,5,1.25
Section 263,5,558,139.5
Section 271,4,1201,300.25
Section 272,4,874,218.5
Section 273,4,64,16
Section 274,4,199,49.75
Section 280,6,1776,444
Section 291,6,6603,1650.75
Section 292,6,191,47.75
Section 293,6,462,115.5
