"rgn_id","year","U"
1,1989,
1,1990,
1,1991,0.103
1,1992,0.112
1,1993,0.114
1,1994,0.104
1,1995,0.095
1,1996,0.096
1,1997,0.091
1,1998,0.083
1,1999,0.076
1,2000,0.068
1,2001,0.072
1,2002,0.077
1,2003,0.076
1,2004,0.072
1,2005,0.067
1,2006,0.063
1,2007,0.06
1,2008,0.061
1,2009,0.083
1,2010,0.08
1,2011,0.074
1,2012,0.072
1,2013,0.071
2,1989,
2,1990,
2,1991,0.103
2,1992,0.112
2,1993,0.114
2,1994,0.104
2,1995,0.095
2,1996,0.096
2,1997,0.091
2,1998,0.083
2,1999,0.076
2,2000,0.068
2,2001,0.072
2,2002,0.077
2,2003,0.076
2,2004,0.072
2,2005,0.067
2,2006,0.063
2,2007,0.06
2,2008,0.061
2,2009,0.083
2,2010,0.08
2,2011,0.074
2,2012,0.072
2,2013,0.071
3,1989,
3,1990,
3,1991,0.103
3,1992,0.112
3,1993,0.114
3,1994,0.104
3,1995,0.095
3,1996,0.096
3,1997,0.091
3,1998,0.083
3,1999,0.076
3,2000,0.068
3,2001,0.072
3,2002,0.077
3,2003,0.076
3,2004,0.072
3,2005,0.067
3,2006,0.063
3,2007,0.06
3,2008,0.061
3,2009,0.083
3,2010,0.08
3,2011,0.074
3,2012,0.072
3,2013,0.071
4,1989,
4,1990,
4,1991,0.103
4,1992,0.112
4,1993,0.114
4,1994,0.104
4,1995,0.095
4,1996,0.096
4,1997,0.091
4,1998,0.083
4,1999,0.076
4,2000,0.068
4,2001,0.072
4,2002,0.077
4,2003,0.076
4,2004,0.072
4,2005,0.067
4,2006,0.063
4,2007,0.06
4,2008,0.061
4,2009,0.083
4,2010,0.08
4,2011,0.074
4,2012,0.072
4,2013,0.071
5,1989,
5,1990,
5,1991,0.103
5,1992,0.112
5,1993,0.114
5,1994,0.104
5,1995,0.095
5,1996,0.096
5,1997,0.091
5,1998,0.083
5,1999,0.076
5,2000,0.068
5,2001,0.072
5,2002,0.077
5,2003,0.076
5,2004,0.072
5,2005,0.067
5,2006,0.063
5,2007,0.06
5,2008,0.061
5,2009,0.083
5,2010,0.08
5,2011,0.074
5,2012,0.072
5,2013,0.071
6,1989,
6,1990,
6,1991,0.103
6,1992,0.112
6,1993,0.114
6,1994,0.104
6,1995,0.095
6,1996,0.096
6,1997,0.091
6,1998,0.083
6,1999,0.076
6,2000,0.068
6,2001,0.072
6,2002,0.077
6,2003,0.076
6,2004,0.072
6,2005,0.067
6,2006,0.063
6,2007,0.06
6,2008,0.061
6,2009,0.083
6,2010,0.08
6,2011,0.074
6,2012,0.072
6,2013,0.071
7,1989,
7,1990,
7,1991,0.103
7,1992,0.112
7,1993,0.114
7,1994,0.104
7,1995,0.095
7,1996,0.096
7,1997,0.091
7,1998,0.083
7,1999,0.076
7,2000,0.068
7,2001,0.072
7,2002,0.077
7,2003,0.076
7,2004,0.072
7,2005,0.067
7,2006,0.063
7,2007,0.06
7,2008,0.061
7,2009,0.083
7,2010,0.08
7,2011,0.074
7,2012,0.072
7,2013,0.071
8,1989,
8,1990,
8,1991,0.103
8,1992,0.112
8,1993,0.114
8,1994,0.104
8,1995,0.095
8,1996,0.096
8,1997,0.091
8,1998,0.083
8,1999,0.076
8,2000,0.068
8,2001,0.072
8,2002,0.077
8,2003,0.076
8,2004,0.072
8,2005,0.067
8,2006,0.063
8,2007,0.06
8,2008,0.061
8,2009,0.083
8,2010,0.08
8,2011,0.074
8,2012,0.072
8,2013,0.071
