year,region_id,status,component,rgn_name,rgn_code,score,goal,dimension
2e3,1,0.8488921027459597,shellfish_closures,North Coast,NC,62.85724,AO,status
2001,1,0.8484781085069075,shellfish_closures,North Coast,NC,63.21248,AO,status
2002,1,0.8484781085069075,shellfish_closures,North Coast,NC,64.22388,AO,status
2003,1,0.8484781085069075,shellfish_closures,North Coast,NC,63.18615,AO,status
2004,1,0.8488921027459597,shellfish_closures,North Coast,NC,65.4414,AO,status
2005,1,0.8484781085069075,shellfish_closures,North Coast,NC,65.33077,AO,status
2006,1,0.8484781085069075,shellfish_closures,North Coast,NC,64.642,AO,status
2007,1,0.8484781085069075,shellfish_closures,North Coast,NC,62.89153,AO,status
2008,1,0.8488921027459597,shellfish_closures,North Coast,NC,61.62974,AO,status
2009,1,0.8484781085069075,shellfish_closures,North Coast,NC,65.31734,AO,status
2010,1,0.45921207473495973,shellfish_closures,North Coast,NC,52.68615,AO,status
2011,1,0.11320480898084029,shellfish_closures,North Coast,NC,47.47547,AO,status
2012,1,0.44591703883547273,shellfish_closures,North Coast,NC,62.58473,AO,status
2013,1,0.49369531252035515,shellfish_closures,North Coast,NC,65.34902,AO,status
2014,1,0.040026176168917016,shellfish_closures,North Coast,NC,55.91453,AO,status
2015,1,0.26219158975499146,shellfish_closures,North Coast,NC,63.90819,AO,status
2016,1,0.2642074597283385,shellfish_closures,North Coast,NC,65.7619,AO,status
2e3,2,0.4516238916047167,shellfish_closures,Haida Gwaii,HG,71.22181,AO,status
2001,2,0.45012149130774337,shellfish_closures,Haida Gwaii,HG,71.46755,AO,status
2002,2,0.45012149130774337,shellfish_closures,Haida Gwaii,HG,69.07101,AO,status
2003,2,0.45012149130774337,shellfish_closures,Haida Gwaii,HG,69.14614,AO,status
2004,2,0.4516238916047167,shellfish_closures,Haida Gwaii,HG,71.63797,AO,status
2005,2,0.45012149130774337,shellfish_closures,Haida Gwaii,HG,71.50275,AO,status
2006,2,0.45012149130774337,shellfish_closures,Haida Gwaii,HG,71.06737,AO,status
2007,2,0.45012149130774337,shellfish_closures,Haida Gwaii,HG,71.90991,AO,status
2008,2,0.4516238916047167,shellfish_closures,Haida Gwaii,HG,71.10433,AO,status
2009,2,0.45012149130774337,shellfish_closures,Haida Gwaii,HG,72.11006,AO,status
2010,2,0.5420624902638755,shellfish_closures,Haida Gwaii,HG,75.61277,AO,status
2011,2,0.29139324006320133,shellfish_closures,Haida Gwaii,HG,70.47581,AO,status
2012,2,0.28010238598529624,shellfish_closures,Haida Gwaii,HG,73.76347,AO,status
2013,2,0.4164657855118187,shellfish_closures,Haida Gwaii,HG,78.47312,AO,status
2014,2,0.3586554858436103,shellfish_closures,Haida Gwaii,HG,76.98139,AO,status
2015,2,0.31008297636366555,shellfish_closures,Haida Gwaii,HG,77.00277,AO,status
2016,2,0.31196799555392873,shellfish_closures,Haida Gwaii,HG,70.99731,AO,status
2e3,3,0.8491790597574562,shellfish_closures,Central Coast,CC,64.85661,AO,status
2001,3,0.8487658517019971,shellfish_closures,Central Coast,CC,64.72896,AO,status
2002,3,0.8487658517019971,shellfish_closures,Central Coast,CC,64.99738,AO,status
2003,3,0.8487658517019971,shellfish_closures,Central Coast,CC,65.80276,AO,status
2004,3,0.8491790597574562,shellfish_closures,Central Coast,CC,65.6215,AO,status
2005,3,0.8487658517019971,shellfish_closures,Central Coast,CC,65.49217,AO,status
2006,3,0.8487658517019971,shellfish_closures,Central Coast,CC,65.906,AO,status
