year,rgn_id,n_cells,n_cells_tot,n_cells_cum,a_tot_km2,a_prot_km2,pct_prot,lsp_status,rgn_name
1886,1,0,15216,0,3804,0,0,0,North Coast
1911,1,0,15216,0,3804,0,0,0,North Coast
1913,1,0,15216,0,3804,0,0,0,North Coast
1914,1,0,15216,0,3804,0,0,0,North Coast
1920,1,0,15216,0,3804,0,0,0,North Coast
1921,1,0,15216,0,3804,0,0,0,North Coast
1922,1,0,15216,0,3804,0,0,0,North Coast
1923,1,0,15216,0,3804,0,0,0,North Coast
1927,1,0,15216,0,3804,0,0,0,North Coast
1928,1,0,15216,0,3804,0,0,0,North Coast
1931,1,0,15216,0,3804,0,0,0,North Coast
1934,1,0,15216,0,3804,0,0,0,North Coast
1936,1,0,15216,0,3804,0,0,0,North Coast
1937,1,0,15216,0,3804,0,0,0,North Coast
1938,1,0,15216,0,3804,0,0,0,North Coast
1939,1,0,15216,0,3804,0,0,0,North Coast
1940,1,0,15216,0,3804,0,0,0,North Coast
1941,1,0,15216,0,3804,0,0,0,North Coast
1943,1,0,15216,0,3804,0,0,0,North Coast
1944,1,0,15216,0,3804,0,0,0,North Coast
1946,1,0,15216,0,3804,0,0,0,North Coast
1947,1,0,15216,0,3804,0,0,0,North Coast
1948,1,0,15216,0,3804,0,0,0,North Coast
1949,1,0,15216,0,3804,0,0,0,North Coast
1950,1,0,15216,0,3804,0,0,0,North Coast
1951,1,0,15216,0,3804,0,0,0,North Coast
1953,1,0,15216,0,3804,0,0,0,North Coast
1954,1,0,15216,0,3804,0,0,0,North Coast
1955,1,0,15216,0,3804,0,0,0,North Coast
1956,1,0,15216,0,3804,0,0,0,North Coast
1957,1,0,15216,0,3804,0,0,0,North Coast
1958,1,0,15216,0,3804,0,0,0,North Coast
1959,1,0,15216,0,3804,0,0,0,North Coast
1960,1,0,15216,0,3804,0,0,0,North Coast
1961,1,0,15216,0,3804,0,0,0,North Coast
1962,1,0,15216,0,3804,0,0,0,North Coast
1963,1,0,15216,0,3804,0,0,0,North Coast
1964,1,0,15216,0,3804,0,0,0,North Coast
1965,1,0,15216,0,3804,0,0,0,North Coast
1966,1,0,15216,0,3804,0,0,0,North Coast
1967,1,0,15216,0,3804,0,0,0,North Coast
1968,1,0,15216,0,3804,0,0,0,North Coast
1969,1,0,15216,0,3804,0,0,0,North Coast
1970,1,0,15216,0,3804,0,0,0,North Coast
1971,1,136,15216,136,3804,34,0.0089,2.97,North Coast
1972,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1973,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1974,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1975,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1976,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1977,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1978,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1979,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1980,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1981,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1982,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1983,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1984,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1985,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1986,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1987,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1988,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1989,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1990,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1991,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1992,1,0,15216,136,3804,34,0.0089,2.97,North Coast
1993,1,70,15216,206,3804,51.5,0.0135,4.5,North Coast
1994,1,57,15216,263,3804,65.75,0.0173,5.77,North Coast
1995,1,0,15216,263,3804,65.75,0.0173,5.77,North Coast
1996,1,0,15216,263,3804,65.75,0.0173,5.77,North Coast
1997,1,0,15216,263,3804,65.75,0.0173,5.77,North Coast
1998,1,0,15216,263,3804,65.75,0.0173,5.77,North Coast
1999,1,0,15216,263,3804,65.75,0.0173,5.77,North Coast
2000,1,0,15216,263,3804,65.75,0.0173,5.77,North Coast
2001,1,0,15216,263,3804,65.75,0.0173,5.77,North Coast
2002,1,0,15216,263,3804,65.75,0.0173,5.77,North Coast
2003,1,0,15216,263,3804,65.75,0.0173,5.77,North Coast
2004,1,168,15216,431,3804,107.75,0.0283,9.43,North Coast
2005,1,5,15216,436,3804,109,0.0287,9.57,North Coast
2006,1,2023,15216,2459,3804,614.75,0.1616,53.87,North Coast
2007,1,131,15216,2590,3804,647.5,0.1702,56.73,North Coast
2008,1,1124,15216,3714,3804,928.5,0.2441,81.37,North Coast
2009,1,0,15216,3714,3804,928.5,0.2441,81.37,North Coast
2010,1,0,15216,3714,3804,928.5,0.2441,81.37,North Coast
2011,1,0,15216,3714,3804,928.5,0.2441,81.37,North Coast
2012,1,0,15216,3714,3804,928.5,0.2441,81.37,North Coast
2013,1,0,15216,3714,3804,928.5,0.2441,81.37,North Coast
1886,2,0,10172,0,2543,0,0,0,Haida Gwaii
1911,2,0,10172,0,2543,0,0,0,Haida Gwaii
1913,2,0,10172,0,2543,0,0,0,Haida Gwaii
1914,2,0,10172,0,2543,0,0,0,Haida Gwaii
1920,2,0,10172,0,2543,0,0,0,Haida Gwaii
1921,2,0,10172,0,2543,0,0,0,Haida Gwaii
1922,2,0,10172,0,2543,0,0,0,Haida Gwaii
1923,2,0,10172,0,2543,0,0,0,Haida Gwaii
1927,2,0,10172,0,2543,0,0,0,Haida Gwaii
1928,2,0,10172,0,2543,0,0,0,Haida Gwaii
1931,2,0,10172,0,2543,0,0,0,Haida Gwaii
1934,2,0,10172,0,2543,0,0,0,Haida Gwaii
1936,2,0,10172,0,2543,0,0,0,Haida Gwaii
1937,2,0,10172,0,2543,0,0,0,Haida Gwaii
1938,2,0,10172,0,2543,0,0,0,Haida Gwaii
1939,2,0,10172,0,2543,0,0,0,Haida Gwaii
1940,2,0,10172,0,2543,0,0,0,Haida Gwaii
1941,2,0,10172,0,2543,0,0,0,Haida Gwaii
1943,2,0,10172,0,2543,0,0,0,Haida Gwaii
1944,2,0,10172,0,2543,0,0,0,Haida Gwaii
1946,2,0,10172,0,2543,0,0,0,Haida Gwaii
1947,2,0,10172,0,2543,0,0,0,Haida Gwaii
1948,2,0,10172,0,2543,0,0,0,Haida Gwaii
1949,2,0,10172,0,2543,0,0,0,Haida Gwaii
1950,2,0,10172,0,2543,0,0,0,Haida Gwaii
1951,2,0,10172,0,2543,0,0,0,Haida Gwaii
1953,2,0,10172,0,2543,0,0,0,Haida Gwaii
1954,2,0,10172,0,2543,0,0,0,Haida Gwaii
1955,2,0,10172,0,2543,0,0,0,Haida Gwaii
1956,2,0,10172,0,2543,0,0,0,Haida Gwaii
1957,2,0,10172,0,2543,0,0,0,Haida Gwaii
1958,2,0,10172,0,2543,0,0,0,Haida Gwaii
1959,2,0,10172,0,2543,0,0,0,Haida Gwaii
1960,2,0,10172,0,2543,0,0,0,Haida Gwaii
1961,2,0,10172,0,2543,0,0,0,Haida Gwaii
1962,2,0,10172,0,2543,0,0,0,Haida Gwaii
1963,2,0,10172,0,2543,0,0,0,Haida Gwaii
1964,2,0,10172,0,2543,0,0,0,Haida Gwaii
1965,2,0,10172,0,2543,0,0,0,Haida Gwaii
1966,2,0,10172,0,2543,0,0,0,Haida Gwaii
1967,2,0,10172,0,2543,0,0,0,Haida Gwaii
1968,2,0,10172,0,2543,0,0,0,Haida Gwaii
1969,2,0,10172,0,2543,0,0,0,Haida Gwaii
1970,2,0,10172,0,2543,0,0,0,Haida Gwaii
1971,2,21,10172,21,2543,5.25,0.0021,0.7,Haida Gwaii
1972,2,0,10172,21,2543,5.25,0.0021,0.7,Haida Gwaii
1973,2,485,10172,506,2543,126.5,0.0497,16.57,Haida Gwaii
