year,area,score,hab,hab_weight,a_ref,cp_score_tot
2e3,4.3137,0.9978053475993345,cf,4.0,4.3236,0.9682076059613368
2010.0,3.4398,0.8743387763043331,cf,4.0,4.3236,0.8606953376989828
2e3,0.4743,0.571737334413267,sm,3.0,0.6282,0.9682076059613368
2010.0,0.4599,0.5517415192084403,sm,3.0,0.6282,0.8606953376989828
2e3,1.72,0.99927413908368,sg,1.0,1.72,0.9682076059613368
2010.0,1.72,0.9993818393923919,sg,1.0,1.72,0.8606953376989828
