rgn_id,sum_estton,year
1,0,04legal
2,0,04legal
3,0,04legal
4,41.6,04legal
5,1971.71065625,04legal
6,0,04legal
7,0,04legal
8,0,04legal
1,0,03legal
2,0,03legal
3,0,03legal
4,138.88375,03legal
5,415.736875,03legal
6,0,03legal
7,0,03legal
8,0,03legal
1,0,02legal
2,0,02legal
3,0,02legal
4,210.796875,02legal
5,121.875,02legal
6,0,02legal
7,0,02legal
8,0,02legal
