rgn_id,otherwt,year
1,62079.1501161209,2012
2,405888.498765569,2012
3,254712.134661092,2012
4,342429.567342571,2012
5,220779.253699747,2012
6,0,2012
7,0,2012
8,11363.061263014,2012
1,45565.3850789027,2011
2,373039.202519963,2011
3,225708.52647646,2011
4,244097.039744091,2011
5,347668.859945764,2011
6,0,2011
7,0,2011
8,11127.79937603,2011
1,141166.220639479,2010
2,344317.598978445,2010
3,249584.00068007,2010
4,259918.114036783,2010
5,780295.46157857,2010
6,85537.4244262084,2010
7,0,2010
8,13069.5856343366,2010
1,77835.9256538757,2009
2,457245.492426603,2009
3,313311.688239673,2009
4,240193.912851933,2009
5,2764840.95034483,2009
6,173951.148890734,2009
7,0,2009
8,33003.7550077278,2009
1,89576.9720471372,2008
2,592515.088838387,2008
3,356776.993151022,2008
4,290648.960286273,2008
5,1159799.04943945,2008
6,223274.603392352,2008
7,0,2008
8,11458.963141358,2008
1,69937.7875540716,2007
2,559632.273215577,2007
3,200972.926933973,2007
4,282363.769804347,2007
5,2132418.18050219,2007
6,199257.411880955,2007
7,0,2007
8,3078.44250393881,2007
1,56389.786303717,2006
2,521642.614550268,2006
3,110474.744996286,2006
4,232565.955290352,2006
5,812755.628279718,2006
6,147146.433125,2006
7,0,2006
8,2966.325,2006
