rgn_id,otherwt,year
1,3251087.99403914,2012
2,4521406.66872578,2012
3,4191346.98020252,2012
4,3235288.00371272,2012
5,12548656.0034139,2012
6,195014.62375492,2012
7,0,2012
8,0,2012
1,3585538.83995431,2011
2,5459376.10658909,2011
3,5493573.55278594,2011
4,3038891.27497815,2011
5,10972247.0281415,2011
6,131928.821878576,2011
7,0,2011
8,0,2011
1,2495317.42498456,2010
2,5379152.32788208,2010
3,5666335.73971714,2010
4,2184014.57812076,2010
5,7501413.56352773,2010
6,129825.690014319,2010
7,0,2010
8,78443.72,2010
1,2529647.08527562,2009
2,5754080.48774985,2009
3,5356209.57511274,2009
4,3697463.49296778,2009
5,9139469.81050972,2009
6,142456.928144807,2009
7,0,2009
8,66060.75,2009
1,2413571.47942346,2008
2,3791820.50323529,2008
3,3488777.59562949,2008
4,1966532.17504008,2008
5,10235299.3212477,2008
6,123252.276260557,2008
7,0,2008
8,0,2008
1,2253825.93411382,2007
2,3359184.45169258,2007
3,4667464.98221676,2007
4,1248684.19508563,2007
5,5270814.46115148,2007
6,152062.101196542,2007
7,0,2007
8,0,2007
1,3796994.92207362,2006
2,7817872.62956507,2006
3,6513227.10268493,2006
4,3327303.97160416,2006
5,8544742.07873934,2006
6,116473.883435418,2006
7,0,2006
8,0,2006
1,6861480.83207434,2005
2,9469560.69473309,2005
3,8206266.53718365,2005
4,2901846.85949459,2005
5,15478991.2913668,2005
6,145776.842640255,2005
7,0,2005
8,42275.47,2005
1,4832279.88708432,2004
2,6852518.35905527,2004
3,7997043.73141886,2004
4,2417597.58276271,2004
5,12219389.0782617,2004
6,138425.194425629,2004
7,0,2004
8,0,2004
1,3477663.07210262,2003
2,6940635.10972903,2003
3,8823792.51193363,2003
4,4509395.89243762,2003
5,11753387.8663785,2003
6,191981.647315168,2003
7,0,2003
8,1475.048125,2003
1,4064035.02802373,2002
2,6994311.91765513,2002
3,8749732.14126141,2002
4,3521018.82344157,2002
5,11752862.9536071,2002
6,106170.613755282,2002
7,0,2002
8,39174.9298583265,2002
1,3569899.60747444,2001
2,7190370.82385135,2001
3,6430267.423163,2001
4,2952385.98324313,2001
5,13631013.9485384,2001
6,51034.675,2001
7,0,2001
8,25102.17375,2001
1,4165362.96435142,2000
2,8732782.57414976,2000
3,7394591.18065178,2000
4,3053125.62866651,2000
5,10471531.1126796,2000
6,1518.07437968204,2000
7,0,2000
8,25781.611875,2000
1,5162094.77366799,1999
2,7035785.49114249,1999
3,6993314.61516137,1999
4,3357955.09872052,1999
5,11373603.3217059,1999
6,15189.725,1999
7,0,1999
8,76411.13875,1999
1,4204912.33349342,1998
2,5770453.63520694,1998
3,6618208.96167785,1998
4,3617540.00116191,1998
5,11481671.6706512,1998
6,14848.013130951,1998
7,0,1998
8,11031.1875,1998
1,5008929.74709643,1997
2,5232949.96310349,1997
3,7599920.13832745,1997
4,2294226.69238598,1997
5,8586166.13869893,1997
6,443233.649729492,1997
7,0,1997
8,4952.58,1997
1,4549714.20168489,1996
2,7472188.99010184,1996
3,6513089.06904059,1996
4,2707898.89004346,1996
5,13050902.6612852,1996
6,2580.47000726388,1996
7,0,1996
8,40717.4264506396,1996
