cduid,district_from_shp,dist_include
5919,cowichanvalley,cowichan
5951,bulkleynechako,NA
5941,cariboo,NA
5929,sunshinecoast,sunshine
5926,comoxvalley,comox
5924,strathcona,NA
5927,powellriver,powell
5943,mountwaddington,waddington
5947,skeenaqueencharlotte,skeena
5949,kitimatstikine,kitimat
5917,capital,capital
5931,squamishlillooet,squamish
5945,centralcoast,central
5945,centralcoast,centralcoast
5921,nanaimo,nanaimo
5909,fraservalley,NA
5915,greatervancouver,vancouver
5923,alberniclayoquot,alberni
NA,centralkootenay,central
NA,centralokanagan,central
