year,components,score
1996,"comp_score = 1, reg_score = 1",0.6666666666666666
1997,"comp_score = 1, reg_score = 1",0.6666666666666666
1998,"comp_score = 1, reg_score = 1",0.6666666666666666
1999,"comp_score = 1, reg_score = 1",0.6666666666666666
2e3,"comp_score = 1, reg_score = 1",0.6666666666666666
2001,"comp_score = 1, eff_score = 0.752, reg_score = 1",0.9172123293397384
2002,"comp_score = 1, eff_score = 0.788, reg_score = 1",0.9294538498326159
2003,"comp_score = 1, eff_score = 0.801, reg_score = 1",0.9335327790297097
2004,"comp_score = 1, eff_score = 0.802, reg_score = 1",0.9340139688569676
2005,"comp_score = 1, eff_score = 0.822, reg_score = 1",0.9405548573667923
2006,"comp_score = 1, eff_score = 0.845, reg_score = 1",0.9483192284709773
2007,"comp_score = 1, eff_score = 0.865, reg_score = 1",0.9548550384620853
2008,"comp_score = 1, eff_score = 0.994, reg_score = 1",0.9980502519957327
2009,"comp_score = 1, eff_score = 0.878, reg_score = 1",0.9593242365172189
2010,"comp_score = 1, eff_score = 0.906, reg_score = 1",0.9686242960579244
2011,"comp_score = 1, eff_score = 0.944, reg_score = 1",0.9814116002795248
2012,"comp_score = 1, eff_score = 1, reg_score = 1",1
2013,"comp_score = 1, eff_score = 0.917, reg_score = 1",0.972352853602361
2014,"comp_score = 1, eff_score = 0.927, reg_score = 1",0.9756650289912804
2015,"comp_score = 1, eff_score = 0.953, reg_score = 1",0.9842682316546107
2016,"comp_score = 1, eff_score = 0.965, reg_score = 1",0.9882979507592511
2017,"comp_score = 1, reg_score = 1",0.6666666666666666
