"country","commodity","year","tonnes","product"
"Albania","Coral and the like",1996,315,"corals"
"Albania","Coral and the like",1997,87,"corals"
"Albania","Coral and the like",1998,221,"corals"
"Albania","Coral and the like",1999,100,"corals"
"Albania","Coral and the like",2000,27,"corals"
"Albania","Coral and the like",2001,45,"corals"
"Albania","Coral and the like",2002,78,"corals"
"Albania","Coral and the like",2003,44,"corals"
"Albania","Coral and the like",2004,77,"corals"
"Albania","Coral and the like",2005,19,"corals"
"Albania","Coral and the like",2006,14,"corals"
"Albania","Coral and the like",2007,0,"corals"
"Albania","Coral and the like",2008,50,"corals"
"Albania","Coral and the like",2009,16,"corals"
"Albania","Coral and the like",2010,0,"corals"
"Albania","Coral and the like",2011,104,"corals"
"Albania","Coral and the like",1976,,"corals"
"Albania","Coral and the like",1977,,"corals"
"Albania","Coral and the like",1978,,"corals"
"Albania","Coral and the like",1979,,"corals"
"Albania","Coral and the like",1980,,"corals"
"Albania","Coral and the like",1981,,"corals"
"Albania","Coral and the like",1982,,"corals"
"Albania","Coral and the like",1983,,"corals"
"Albania","Coral and the like",1984,,"corals"
"Albania","Coral and the like",1985,,"corals"
"Albania","Coral and the like",1986,,"corals"
"Albania","Coral and the like",1987,,"corals"
"Albania","Coral and the like",1988,,"corals"
"Albania","Coral and the like",1989,,"corals"
"Albania","Coral and the like",1990,,"corals"
"Albania","Coral and the like",1991,,"corals"
"Albania","Coral and the like",1992,,"corals"
"Albania","Coral and the like",1993,,"corals"
"Albania","Coral and the like",1994,,"corals"
"Albania","Coral and the like",1995,,"corals"
"Albania","Ornamental fish nei",2000,0.1,"ornamentals"
"Albania","Ornamental fish nei",2001,0.1,"ornamentals"
"Albania","Ornamental fish nei",2004,2,"ornamentals"
"Albania","Ornamental fish nei",2005,1,"ornamentals"
"Albania","Ornamental fish nei",2006,1,"ornamentals"
"Albania","Ornamental fish nei",2008,3,"ornamentals"
"Albania","Ornamental fish nei",2009,1,"ornamentals"
"Albania","Ornamental fish nei",2010,0,"ornamentals"
"Albania","Ornamental fish nei",2011,0,"ornamentals"
"Albania","Ornamental fish nei",1976,,"ornamentals"
"Albania","Ornamental fish nei",1977,,"ornamentals"
"Albania","Ornamental fish nei",1978,,"ornamentals"
"Albania","Ornamental fish nei",1979,,"ornamentals"
"Albania","Ornamental fish nei",1980,,"ornamentals"
"Albania","Ornamental fish nei",1981,,"ornamentals"
"Albania","Ornamental fish nei",1982,,"ornamentals"
"Albania","Ornamental fish nei",1983,,"ornamentals"
"Albania","Ornamental fish nei",1984,,"ornamentals"
"Albania","Ornamental fish nei",1985,,"ornamentals"
"Albania","Ornamental fish nei",1986,,"ornamentals"
"Albania","Ornamental fish nei",1987,,"ornamentals"
"Albania","Ornamental fish nei",1988,,"ornamentals"
"Albania","Ornamental fish nei",1989,,"ornamentals"
"Albania","Ornamental fish nei",1990,,"ornamentals"
"Albania","Ornamental fish nei",1991,,"ornamentals"
"Albania","Ornamental fish nei",1992,,"ornamentals"
"Albania","Ornamental fish nei",1993,,"ornamentals"
"Albania","Ornamental fish nei",1994,,"ornamentals"
"Albania","Ornamental fish nei",1995,,"ornamentals"
"Albania","Ornamental fish nei",1996,,"ornamentals"
"Albania","Ornamental fish nei",1997,,"ornamentals"
"Albania","Ornamental fish nei",1998,,"ornamentals"
"Albania","Ornamental fish nei",1999,,"ornamentals"
"Albania","Ornamental fish nei",2002,,"ornamentals"
"Albania","Ornamental fish nei",2003,,"ornamentals"
"Albania","Ornamental fish nei",2007,,"ornamentals"
"Albania","Other seaweeds and aquatic plants and products thereof",2011,16,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1976,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1977,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1978,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1979,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1980,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1981,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1982,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1983,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1984,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1985,,"seaweeds"
