year,rgn_id,sm_area_km2,area_km2_tot
1990.0,1,39.285,21885.5871
1990.0,2,618.5466,14681.381399999998
1990.0,8,1.7685,2059.911
1990.0,3,14.337,18021.3543
1990.0,4,43.169399999999996,19146.0519
1990.0,6,60.373799999999996,17090.572500000002
1990.0,5,25.3854,13021.819199999998
2e3,1,39.1545,21885.5871
2e3,2,618.5457,14681.3814
2e3,8,1.7685,2059.911
2e3,3,14.337,18021.3543
2e3,4,41.4243,19146.0519
2e3,6,57.0141,17090.5725
2e3,5,23.6889,13021.819199999998
2010.0,1,39.1491,21885.587099999997
2010.0,2,618.5457,14681.3814
2010.0,8,1.7685,2059.911
2010.0,3,14.337,18021.3543
2010.0,4,41.3604,19146.051900000002
2010.0,6,56.4174,17090.5725
2010.0,5,23.636699999999998,13021.819199999998
