rgn_id,year,area_km2_tot,sm_expos_area_tot,sm_expos_area_mean
1,1990.0,21885.587099999997,8.62308,3.940072505525795e-4
1,2e3,21885.5871,8.60994,3.934068554185599e-4
1,2010.0,21885.5871,8.60904,3.93365732464175e-4
2,1990.0,14681.381399999998,94.21002,0.006416972451924722
2,2e3,14681.3814,94.20966,0.006416947931071391
2,2010.0,14681.3814,94.20966,0.006416947931071391
3,1990.0,18021.3543,3.12084,1.731745543674262e-4
3,2e3,18021.3543,3.12084,1.731745543674262e-4
3,2010.0,18021.3543,3.12084,1.731745543674262e-4
4,1990.0,19146.0519,10.5525,5.511580170740058e-4
4,2e3,19146.0519,10.2033,5.329192698991901e-4
4,2010.0,19146.0519,10.18782,5.321107481172137e-4
5,1990.0,13021.8192,12.34422,9.479643212985172e-4
5,2e3,13021.819199999998,11.62674,8.928660290414723e-4
5,2010.0,13021.8192,11.61486,8.919537141169953e-4
6,1990.0,17090.5725,13.3839,7.831159547171402e-4
6,2e3,17090.5725,12.61782,7.382912421453407e-4
6,2010.0,17090.5725,12.477599999999999,7.300867188621095e-4
8,1990.0,2059.911,0.60012,2.913329750654276e-4
8,2e3,2059.911,0.60012,2.913329750654276e-4
8,2010.0,2059.911,0.60012,2.913329750654276e-4
