rgn_id,year,area_km2_tot,sm_expos_area_tot,sm_expos_area_mean
1,1990.0,21885.587099999997,1.36764,6.249044148329017e-5
1,2e3,21885.587099999997,1.36764,6.249044148329017e-5
1,2010.0,21885.587099999997,1.36764,6.249044148329017e-5
2,1990.0,14681.381399999998,3.00672,2.0479816701717186e-4
2,2e3,14681.3814,3.00636,2.047736461638412e-4
2,2010.0,14681.3814,3.00636,2.047736461638412e-4
3,1990.0,18021.3543,0.6587999999999999,3.655663104076479e-5
3,2e3,18021.3543,0.6587999999999999,3.655663104076479e-5
3,2010.0,18021.3543,0.6587999999999999,3.655663104076479e-5
4,1990.0,19146.0519,0.40481999999999996,2.1143784740288936e-5
4,2e3,19146.051900000002,0.40086,2.0936953586760096e-5
4,2010.0,19146.051900000002,0.39942,2.0861742258204156e-5
5,1990.0,13021.8192,4.12614,3.168635608149129e-4
5,2e3,13021.8192,3.85506,2.960461929927579e-4
5,2010.0,13021.8192,3.85218,2.9582502573833924e-4
6,1990.0,17090.5725,2.99268,1.7510706560590642e-4
6,2e3,17090.5725,2.8450800000000003,1.664707253077684e-4
6,2010.0,17090.572500000002,2.8344600000000004,1.6584933009119502e-4
8,1990.0,2059.911,0.16469999999999999,7.99549106733252e-5
8,2e3,2059.911,0.16469999999999999,7.99549106733252e-5
8,2010.0,2059.911,0.16469999999999999,7.99549106733252e-5
