value,rgn_id,n_cells,year,zone
21,8,3,2000,3nm_offshore
25,8,0,2000,3nm_offshore
41,8,6808,2000,3nm_offshore
42,8,0,2000,3nm_offshore
45,8,513,2000,3nm_offshore
46,8,17,2000,3nm_offshore
71,8,963,2000,3nm_offshore
73,8,20,2000,3nm_offshore
74,8,6,2000,3nm_offshore
NA,8,1020301,2000,3nm_offshore
21,6,18246,2000,3nm_offshore
25,6,549,2000,3nm_offshore
41,6,68784,2000,3nm_offshore
42,6,728,2000,3nm_offshore
45,6,5142,2000,3nm_offshore
46,6,1634,2000,3nm_offshore
71,6,4389,2000,3nm_offshore
73,6,5850,2000,3nm_offshore
74,6,11974,2000,3nm_offshore
NA,6,6819962,2000,3nm_offshore
21,5,4892,2000,3nm_offshore
25,5,109,2000,3nm_offshore
41,5,93069,2000,3nm_offshore
42,5,2127,2000,3nm_offshore
45,5,6315,2000,3nm_offshore
46,5,4094,2000,3nm_offshore
71,5,7459,2000,3nm_offshore
73,5,4545,2000,3nm_offshore
74,5,5845,2000,3nm_offshore
NA,5,4897744,2000,3nm_offshore
21,4,1117,2000,3nm_offshore
25,4,160,2000,3nm_offshore
41,4,168148,2000,3nm_offshore
42,4,2211,2000,3nm_offshore
45,4,7821,2000,3nm_offshore
46,4,4872,2000,3nm_offshore
71,4,3807,2000,3nm_offshore
73,4,6532,2000,3nm_offshore
74,4,2297,2000,3nm_offshore
NA,4,6928963,2000,3nm_offshore
21,3,212,2000,3nm_offshore
25,3,30,2000,3nm_offshore
41,3,63612,2000,3nm_offshore
42,3,89,2000,3nm_offshore
45,3,3408,2000,3nm_offshore
46,3,515,2000,3nm_offshore
71,3,2432,2000,3nm_offshore
73,3,1365,2000,3nm_offshore
74,3,1561,2000,3nm_offshore
NA,3,5635214,2000,3nm_offshore
21,2,145,2000,3nm_offshore
25,2,20,2000,3nm_offshore
41,2,51576,2000,3nm_offshore
42,2,0,2000,3nm_offshore
45,2,814,2000,3nm_offshore
46,2,30,2000,3nm_offshore
71,2,6130,2000,3nm_offshore
73,2,5229,2000,3nm_offshore
74,2,4914,2000,3nm_offshore
NA,2,7373808,2000,3nm_offshore
21,1,622,2000,3nm_offshore
25,1,56,2000,3nm_offshore
41,1,126167,2000,3nm_offshore
42,1,992,2000,3nm_offshore
45,1,5802,2000,3nm_offshore
46,1,304,2000,3nm_offshore
71,1,5603,2000,3nm_offshore
73,1,1809,2000,3nm_offshore
74,1,522,2000,3nm_offshore
NA,1,8712660,2000,3nm_offshore
21,1,12360,2000,1km_inland
25,1,5208,2000,1km_inland
41,1,4023852,2000,1km_inland
42,1,3908,2000,1km_inland
45,1,951,2000,1km_inland
46,1,1395,2000,1km_inland
71,1,2688,2000,1km_inland
73,1,5880,2000,1km_inland
74,1,4317,2000,1km_inland
NA,1,178742,2000,1km_inland
21,2,1494,2000,1km_inland
25,2,1182,2000,1km_inland
41,2,2583124,2000,1km_inland
42,2,2352,2000,1km_inland
45,2,242,2000,1km_inland
46,2,622,2000,1km_inland
71,2,4963,2000,1km_inland
73,2,19779,2000,1km_inland
74,2,85497,2000,1km_inland
NA,2,115578,2000,1km_inland
21,3,1751,2000,1km_inland
25,3,897,2000,1km_inland
41,3,3800508,2000,1km_inland
42,3,2194,2000,1km_inland
45,3,552,2000,1km_inland
46,3,715,2000,1km_inland
71,3,512,2000,1km_inland
73,3,1408,2000,1km_inland
74,3,578,2000,1km_inland
NA,3,182802,2000,1km_inland
21,4,17484,2000,1km_inland
25,4,12276,2000,1km_inland
41,4,3834015,2000,1km_inland
42,4,8527,2000,1km_inland
45,4,757,2000,1km_inland
46,4,3107,2000,1km_inland
71,4,1247,2000,1km_inland
73,4,7666,2000,1km_inland
74,4,1532,2000,1km_inland
NA,4,164631,2000,1km_inland
21,5,74704,2000,1km_inland
25,5,27319,2000,1km_inland
41,5,2022228,2000,1km_inland
42,5,4687,2000,1km_inland
45,5,1256,2000,1km_inland
46,5,2158,2000,1km_inland
71,5,558,2000,1km_inland
73,5,2217,2000,1km_inland
74,5,966,2000,1km_inland
NA,5,123663,2000,1km_inland
21,6,297043,2000,1km_inland
25,6,131665,2000,1km_inland
41,6,2375501,2000,1km_inland
42,6,2983,2000,1km_inland
45,6,6429,2000,1km_inland
46,6,1332,2000,1km_inland
71,6,3740,2000,1km_inland
73,6,7136,2000,1km_inland
74,6,3488,2000,1km_inland
NA,6,109157,2000,1km_inland
21,8,15,2000,1km_inland
25,8,0,2000,1km_inland
41,8,280438,2000,1km_inland
42,8,0,2000,1km_inland
45,8,120,2000,1km_inland
46,8,163,2000,1km_inland
71,8,254,2000,1km_inland
73,8,3,2000,1km_inland
74,8,10,2000,1km_inland
NA,8,16941,2000,1km_inland
21,NA,1419020,2000,NA
25,NA,661600,2000,NA
41,NA,267424816,2000,NA
42,NA,1880806,2000,NA
45,NA,344023,2000,NA
46,NA,297821,2000,NA
71,NA,475720,2000,NA
73,NA,2490806,2000,NA
74,NA,1673691,2000,NA
NA,NA,343117992,2000,NA
