targets,layer,name,description,fld_value,units,path_in,path_in_exists,filename,path_out
HAB CP CS,hab_health,Habitat condition,Current condition of habitat relative to historical condition,health,proportion,~/github/ohibc/prep/hab_cs_cp/v2017/output/hab_status.csv,TRUE,hab_health.csv,~/github/ohibc/calc_ohibc/region2006/layers/hab_health.csv
ICO,ico_spp_iucn_status,IUCN extinction risk,IUCN extinction risk category for iconic species located within each region,category,IUCN risk category,~/github/ohibc/prep/spp_ico/v2017/output/ico_status.csv,TRUE,ico_spp_iucn_status.csv,~/github/ohibc/calc_ohibc/region2006/layers/ico_spp_iucn_status.csv
LSP,lsp_prot_area_inland_ws,Inland coastal protected areas,Protected areas located 1 km inland,a_prot_inland,km2,~/github/ohibc/prep/lsp/v2017/output/lsp_protected_inland_ws.csv,TRUE,lsp_prot_area_inland_ws.csv,~/github/ohibc/calc_ohibc/region2006/layers/lsp_prot_area_inland_ws.csv
LSP,lsp_prot_area_offshore3nm,Offshore coastal protected areas,Protected areas located 3nm offshore,a_prot_3nm,km2,~/github/ohibc/prep/lsp/v2017/output/lsp_protected_offshore3nm.csv,TRUE,lsp_prot_area_offshore3nm.csv,~/github/ohibc/calc_ohibc/region2006/layers/lsp_prot_area_offshore3nm.csv
LSP,lsp_tot_area_inland_ws,Inland area,Inland area of OHI regions within 1km of shoreline,a_tot_inland,km2,~/github/ohibc/prep/lsp/v2017/output/lsp_a_total_inland_ws.csv,TRUE,lsp_tot_area_inland_ws.csv,~/github/ohibc/calc_ohibc/region2006/layers/lsp_tot_area_inland_ws.csv
LSP,lsp_tot_area_offshore3nm,Offshore area,Offshore area of OHI regions within 3nm of shoreline,a_tot_3nm,km2,~/github/ohibc/prep/lsp/v2017/output/lsp_a_total_offshore3nm.csv,TRUE,lsp_tot_area_offshore3nm.csv,~/github/ohibc/calc_ohibc/region2006/layers/lsp_tot_area_offshore3nm.csv
