value,rgn_id,n_cells
14,1,2028
NA,1,1543234
14,2,11471
NA,2,895777
14,3,2931
NA,3,1435679
14,4,1760
NA,4,1557292
14,5,522
NA,5,966727
14,6,6292
NA,6,1240669
14,8,2842
NA,8,110475
14,NA,112300
NA,NA,262980601
