year,mean_sg,score_sg,sg_area_km2
2002,9.45414186450464e-4,0.9990545858135496,1.72
2003,7.258609163199751e-4,0.99927413908368,1.72
2004,7.337511015852678e-4,0.9992662488984148,1.72
2005,0.0010459356847032366,0.9989540643152968,1.72
2006,3.202781930499709e-4,0.9996797218069501,1.72
2007,8.447172013106026e-4,0.9991552827986894,1.72
2008,4.3518935870397066e-4,0.999564810641296,1.72
2009,4.7231033291221855e-4,0.9995276896670878,1.72
2010,8.437065613716143e-4,0.9991562934386284,1.72
2011,6.761816298928854e-4,0.9993238183701071,1.72
2012,3.790449993857742e-4,0.9996209550006142,1.72
2013,6.181606076080634e-4,0.9993818393923919,1.72
