value,rgn_id,n_cells
14,1,740
NA,1,380634
14,2,121
NA,2,253274
14,3,1260
NA,3,357942
14,4,225
NA,4,364368
14,5,58
NA,5,203330
14,6,1144
NA,6,263235
14,8,1267
NA,8,25544
14,NA,135331
NA,NA,268882127
