value,rgn_id,n_cells
14,1,1216
NA,1,633890
14,2,646
NA,2,424334
14,3,2079
NA,3,589826
14,4,274
NA,4,607588
14,5,49
NA,5,340441
14,6,1760
NA,6,438801
14,8,2231
NA,8,45279
14,NA,123647
NA,NA,267658539
