rgn_id,n_wet_05,n_tot,n_wet_10,rgn_name,cells_per_year
1,1216,635106,1216,North Coast,0.0
2,779,424980,646,Haida Gwaii,-26.6
3,2079,591905,2079,Central Coast,0.0
4,597,607862,274,North Vancouver Island,-64.6
5,105,340490,49,West Vancouver Island,-11.2
6,1849,440561,1760,Strait of Georgia,-17.8
8,2231,47510,2231,Aristazabal Island,0.0
