value,rgn_id,n_cells
14,1,1216
NA,1,633890
14,2,779
NA,2,424201
14,3,2079
NA,3,589826
14,4,597
NA,4,607265
14,5,105
NA,5,340385
14,6,1849
NA,6,438712
14,8,2231
NA,8,45279
14,NA,131290
NA,NA,267650896
