stock,avail,year,esc_tgt,escapes,catch_tgt,catch
CH AABM NC,2,2009,no column given,no column given,139100,109470
CH AABM NC,2,2010,no column given,no column given,160400,136613
CH AABM NC,2,2011,no column given,no column given,186800,122660
CH AABM NC,2,2012,no column given,no column given,149500,120307
CH AABM NC,2,2013,no column given,no column given,220300,115914
CH AABM NC,2,2014,no column given,no column given,262600,216901
CH AABM NC,2,2015,no column given,no column given,246600,158903
CH AABM NC,2,2016,no column given,no column given,NA,190181
CH AABM WCVI,2,2009,no column given,no column given, 91300,124617
CH AABM WCVI,2,2010,no column given,no column given,142300,139047
CH AABM WCVI,2,2011,no column given,no column given,134800,204232
CH AABM WCVI,2,2012,no column given,no column given,113800,134468
CH AABM WCVI,2,2013,no column given,no column given,178000,113598
CH AABM WCVI,2,2014,no column given,no column given,191700,188400
CH AABM WCVI,2,2015,no column given,no column given,179700,116700
CH AABM WCVI,2,2016,no column given,no column given,104800, 99600
CH AABM WCVI,2,2017,no column given,no column given,NA,NA
FRS ES,1,2005,NA,98500,NA,NA
FRS ES,1,2006, 54000,36000,NA,NA
FRS ES,1,2007, 13000, 5300,10, 6
FRS ES,1,2008, 34100,29900,10, 8
FRS ES,1,2009, 82000,45000,10,10
FRS ES,1,2010,104900,60300,10, 6
FRS ES,1,2011, 21200,  800,10, 8
FRS ES,1,2012, 74000,26200,10, 5
FRS ES,1,2013,NA,NA,10, 6
FRS ES,1,2014,NA,NA,10,13
FRS ES,1,2015, 28700,10100,NA,NA
FRS ESum,1,2005,NA, 224700,NA,NA
FRS ESum,1,2006, 728000, 392000,NA,NA
FRS ESum,1,2007, 174000, 123000, 0,14
FRS ESum,1,2008, 181300, 188700,58,29
FRS ESum,1,2009, 177000,  91600, 0,11
FRS ESum,1,2010,1201000,1529800,46,33
FRS ESum,1,2011, 226100, 228900,44,34
FRS ESum,1,2012, 212100, 273300,40,15
FRS ESum,1,2013,NA,NA,28,11
FRS ESum,1,2014,NA,NA,50,46
FRS ESum,1,2015, 134000, 135600,NA,NA
FRS Sum,1,2005,NA,2455000,2914000,1497100
FRS Sum,1,2006,1947000, 815000, 172000,1359000
FRS Sum,1,2007, 600000, 431000,  50000, 204700
FRS Sum,1,2008, 520000, 564400, 460000, 396800
FRS Sum,1,2009, 520000, 477700,      0,  73400
FRS Sum,1,2010,2302400,2990500,2808000,2370600
FRS Sum,1,2011, 810600,1052100, 933600, 840100
FRS Sum,1,2012, 651000, 559300, 590400, 522200
FRS Sum,1,2013,NA,NA,NA,NA
FRS Sum,1,2014,NA,NA,NA,NA
FRS Sum,1,2015,1448000, 974800,      0, 300900
FRS Late,1,2005,NA, 470800,   84000,  72900
FRS Late,1,2006,3184000,3129000, 1605000,3072000
FRS Late,1,2007, 415000, 229200,       0,  73000
FRS Late,1,2008, 144300,  10300,   38000,  30000
FRS Late,1,2009, 503000, 379500,   80000,  18000
FRS Late,1,2010,7760500,8550300,11702900,9981800
FRS Late,1,2011, 449700, 491300,  709700, 445300
FRS Late,1,2012, 261100,  61500,       0,  49500
FRS Late,1,2013,NA,NA,NA,NA
FRS Late,1,2014,NA,NA,NA,NA
FRS Late,1,2015, 118100,  68000,       0,  19600
Pink FR,1,2005,6000000, 8939600, 4000000,1060400
Pink FR,1,2006,NA,NA,NA,NA
Pink FR,1,2007,6000000,10160100, 5000000, 839900
Pink FR,1,2008,NA,NA,NA,NA
Pink FR,1,2009,6000000,15428800,13500000,4564200
Pink FR,1,2010,NA,NA,NA,NA
Pink FR,1,2011,6000000,12788400,12300000,7860600
Pink FR,1,2012,NA,NA,NA,NA
Pink FR,1,2013,NA,NA,NA,NA
Pink FR,1,2014,NA,NA,NA,NA
Pink FR,1,2015,5069300, 5315800,  710200, 463100
S Stikine - Tahltan,1,2004,"18,000 - 30,000",58710,121183, 84886
S Stikine - Tahltan,1,2005,"18,000 - 30,000",39641,104140, 85890
S Stikine - Tahltan,1,2006,"18,000 - 30,000",50052,115200,101000
S Stikine - Tahltan,1,2007,"18,000 - 30,000",18035, 77200, 59000
S Stikine - Tahltan,1,2008,"18,000 - 30,000", 8052, 18600, 33613
S Stikine - Tahltan,1,2009,"18,000 - 30,000",27312, 56200, 48000
S Stikine - Tahltan,1,2010,"18,000 - 30,000",18350, 47361, 53336
S Stikine - Tahltan,1,2011,"18,000 - 30,000",29689, 73700, 58000
S Stikine - Tahltan,1,2012,"18,000 - 30,000", 9514, 23500, 33300
S Stikine - Tahltan,1,2013,NA,NA,NA,NA
S Stikine - Tahltan,1,2014,"18,000 - 30,000",36864, 46400, 41000
S Stikine - Tahltan,1,2015,"18,000 - 30,000",29288, 57760, 60046
S Stikine - Tahltan,1,2016,NA,NA,NA,NA
S Stikine - Non-Tahltan,1,2004,"20,000- 40,000",30125,121183, 84886
S Stikine - Non-Tahltan,1,2005,"20,000- 40,000",30500,104140, 85890
S Stikine - Non-Tahltan,1,2006,"20,000- 40,000",43300,115200,101000
S Stikine - Non-Tahltan,1,2007,"20,000- 40,000",27000, 77200, 59000
S Stikine - Non-Tahltan,1,2008,"20,000- 40,000",14500, 18600, 33613
S Stikine - Non-Tahltan,1,2009,"20,000- 40,000",23300, 56200, 48000
