stock,year,E_Et,esc_score,C_Ct,catch_score,stock_score
CH AABM NC,2009,NA,NA,1.27067,0.77444,0.77444
CH AABM NC,2010,NA,NA,1.17412,0.8549,0.8549
CH AABM NC,2011,NA,NA,1.52291,0.56424,0.56424
CH AABM NC,2012,NA,NA,1.24265,0.79779,0.79779
CH AABM NC,2013,NA,NA,1.90055,0.24954,0.24954
CH AABM NC,2014,NA,NA,1.21069,0.82442,0.82442
CH AABM NC,2015,NA,NA,1.55189,0.54009,0.54009
CH AABM WCVI,2009,NA,NA,0.73264,1,1
CH AABM WCVI,2010,NA,NA,1.02339,0.98051,0.98051
CH AABM WCVI,2011,NA,NA,0.66003,1,1
CH AABM WCVI,2012,NA,NA,0.8463,1,1
CH AABM WCVI,2013,NA,NA,1.56693,0.52756,0.52756
CH AABM WCVI,2014,NA,NA,1.01752,0.9854,0.9854
CH AABM WCVI,2015,NA,NA,1.53985,0.55013,0.55013
CH AABM WCVI,2016,NA,NA,1.05221,0.95649,0.95649
FRS ES,2006,0.66667,0.44445,NA,NA,0.44445
FRS ES,2007,0.40769,0.01282,1.66667,0.44444,0.0057
FRS ES,2008,0.87683,0.79472,1.25,0.79167,0.62916
FRS ES,2009,0.54878,0.24797,1,1,0.24797
FRS ES,2010,0.57483,0.29138,1.66667,0.44444,0.1295
FRS ES,2011,0.03774,0,1.25,0.79167,0
FRS ES,2012,0.35405,0,2,0.16667,0
FRS ES,2013,NA,NA,1.66667,0.44444,0.44444
FRS ES,2014,NA,NA,0.76923,1,1
FRS ES,2015,0.35192,0,NA,NA,0
FRS ESum,2006,0.53846,0.23077,NA,NA,0.23077
FRS ESum,2007,0.7069,0.5115,0,0.25,0.12787
FRS ESum,2008,1.04082,1,2,0.16667,0.16667
FRS ESum,2009,0.51751,0.19585,0,0.25,0.04896
FRS ESum,2010,1.27377,1,1.39394,0.67172,0.67172
FRS ESum,2011,1.01238,1,1.29412,0.7549,0.7549
FRS ESum,2012,1.28854,1,2.66667,0,0
FRS ESum,2013,NA,NA,2.54545,0,0
FRS ESum,2014,NA,NA,1.08696,0.92753,0.92753
FRS ESum,2015,1.01194,1,NA,NA,1
FRS Sum,2005,NA,NA,1.94643,0.21131,0.21131
FRS Sum,2006,0.41859,0.03098,0.12656,0.4082,0.01265
FRS Sum,2007,0.71833,0.53055,0.24426,0.55533,0.29463
FRS Sum,2008,1.08538,1,1.15927,0.86728,0.86728
FRS Sum,2009,0.91865,0.86442,0,0.25,0.2161
FRS Sum,2010,1.29886,1,1.18451,0.84624,0.84624
FRS Sum,2011,1.29793,1,1.1113,0.90725,0.90725
FRS Sum,2012,0.85914,0.76523,1.1306,0.89117,0.68195
FRS Sum,2015,0.6732,0.45533,0,0.25,0.11383
FRS Late,2005,NA,NA,1.15226,0.87312,0.87312
FRS Late,2006,0.98273,0.97122,0.52246,0.90308,0.87709
FRS Late,2007,0.55229,0.25382,0,0.25,0.06346
FRS Late,2008,0.07138,0,1.26667,0.77778,0
