year,rgn_id,n_cells
1,1,0
1927,1,0
1936,1,0
1947,1,0
1956,1,0
1957,1,0
1960,1,1
1962,1,0
1963,1,0
1965,1,0
1966,1,0
1969,1,0
1971,1,0
1973,1,0
1975,1,0
1980,1,0
1981,1,0
1982,1,0
1984,1,0
1986,1,0
1988,1,0
1989,1,0
1990,1,0
1992,1,0
1995,1,0
1997,1,0
1998,1,0
1999,1,0
2000,1,0
2004,1,0
2007,1,0
2008,1,0
2009,1,0
2010,1,0
2011,1,0
NA,1,38
1,5362,0
1927,5362,0
1936,5362,0
1947,5362,0
1956,5362,0
1957,5362,0
1960,5362,0
1962,5362,0
1963,5362,0
1965,5362,0
1966,5362,0
1969,5362,0
1971,5362,0
1973,5362,0
1975,5362,0
1980,5362,0
1981,5362,0
1982,5362,0
1984,5362,0
1986,5362,0
1988,5362,0
1989,5362,0
1990,5362,0
1992,5362,0
1995,5362,67
1997,5362,0
1998,5362,0
1999,5362,0
2000,5362,0
2004,5362,0
2007,5362,0
2008,5362,0
2009,5362,0
2010,5362,0
2011,5362,0
NA,5362,204
1,5363,0
1927,5363,0
1936,5363,0
1947,5363,0
1956,5363,0
1957,5363,0
1960,5363,0
1962,5363,0
1963,5363,0
1965,5363,0
1966,5363,0
1969,5363,0
1971,5363,0
1973,5363,0
1975,5363,0
1980,5363,0
1981,5363,0
1982,5363,0
1984,5363,0
1986,5363,0
1988,5363,0
1989,5363,0
1990,5363,0
1992,5363,0
1995,5363,16
1997,5363,0
1998,5363,0
1999,5363,0
2000,5363,0
2004,5363,0
2007,5363,0
2008,5363,0
2009,5363,0
2010,5363,0
2011,5363,0
NA,5363,68
1,5364,0
1927,5364,0
1936,5364,0
1947,5364,0
1956,5364,0
1957,5364,0
1960,5364,0
1962,5364,0
1963,5364,0
1965,5364,0
1966,5364,0
1969,5364,0
1971,5364,0
1973,5364,0
1975,5364,0
1980,5364,0
1981,5364,0
1982,5364,0
1984,5364,0
1986,5364,0
1988,5364,0
1989,5364,0
1990,5364,0
1992,5364,0
1995,5364,0
1997,5364,0
1998,5364,0
1999,5364,0
2000,5364,0
2004,5364,0
2007,5364,0
2008,5364,0
2009,5364,0
2010,5364,0
2011,5364,0
NA,5364,134
1,5429,0
1927,5429,0
1936,5429,0
1947,5429,0
1956,5429,0
1957,5429,0
1960,5429,0
1962,5429,0
1963,5429,0
1965,5429,0
1966,5429,0
1969,5429,0
1971,5429,0
1973,5429,0
1975,5429,0
1980,5429,0
1981,5429,0
1982,5429,0
1984,5429,0
1986,5429,0
1988,5429,0
1989,5429,0
1990,5429,0
1992,5429,0
1995,5429,0
1997,5429,0
1998,5429,0
1999,5429,0
2000,5429,0
2004,5429,0
2007,5429,0
2008,5429,0
2009,5429,0
2010,5429,0
2011,5429,0
NA,5429,256
1,5449,0
1927,5449,0
1936,5449,0
1947,5449,0
1956,5449,0
1957,5449,0
1960,5449,0
1962,5449,0
1963,5449,0
1965,5449,0
1966,5449,0
1969,5449,0
1971,5449,0
1973,5449,17
1975,5449,0
1980,5449,0
1981,5449,0
1982,5449,0
1984,5449,0
1986,5449,0
1988,5449,0
1989,5449,0
1990,5449,0
1992,5449,0
1995,5449,0
1997,5449,0
1998,5449,0
1999,5449,0
2000,5449,0
2004,5449,0
2007,5449,0
2008,5449,0
2009,5449,0
2010,5449,0
2011,5449,0
NA,5449,183
1,5450,0
1927,5450,0
1936,5450,0
1947,5450,0
1956,5450,0
1957,5450,0
1960,5450,0
1962,5450,0
1963,5450,0
1965,5450,0
1966,5450,0
1969,5450,0
1971,5450,0
1973,5450,0
1975,5450,0
1980,5450,0
1981,5450,0
1982,5450,0
1984,5450,0
1986,5450,0
1988,5450,10
1989,5450,0
1990,5450,0
1992,5450,0
1995,5450,0
1997,5450,0
1998,5450,0
1999,5450,0
2000,5450,0
2004,5450,0
2007,5450,0
2008,5450,0
2009,5450,0
2010,5450,0
2011,5450,0
NA,5450,266
1,15065,0
1927,15065,0
1936,15065,0
1947,15065,0
1956,15065,0
1957,15065,0
1960,15065,0
1962,15065,0
1963,15065,0
1965,15065,0
1966,15065,0
1969,15065,0
1971,15065,0
1973,15065,0
1975,15065,0
1980,15065,0
1981,15065,0
1982,15065,0
1984,15065,0
1986,15065,0
1988,15065,0
1989,15065,0
1990,15065,0
1992,15065,0
1995,15065,0
1997,15065,0
1998,15065,0
1999,15065,0
2000,15065,0
2004,15065,0
2007,15065,0
2008,15065,0
2009,15065,0
2010,15065,0
2011,15065,0
NA,15065,220
1,15066,0
1927,15066,0
1936,15066,0
1947,15066,0
1956,15066,0
1957,15066,0
1960,15066,0
1962,15066,0
1963,15066,0
1965,15066,0
1966,15066,0
1969,15066,0
1971,15066,0
1973,15066,0
1975,15066,0
1980,15066,0
1981,15066,0
1982,15066,0
1984,15066,0
1986,15066,0
1988,15066,0
1989,15066,0
1990,15066,0
1992,15066,0
1995,15066,0
1997,15066,0
1998,15066,0
1999,15066,0
2000,15066,0
2004,15066,0
2007,15066,0
2008,15066,0
2009,15066,0
2010,15066,0
2011,15066,0
NA,15066,116
1,15067,0
1927,15067,0
1936,15067,0
1947,15067,0
1956,15067,0
1957,15067,0
1960,15067,0
1962,15067,0
1963,15067,0
1965,15067,0
1966,15067,0
1969,15067,0
1971,15067,0
1973,15067,0
1975,15067,0
1980,15067,0
1981,15067,0
1982,15067,0
1984,15067,0
1986,15067,0
1988,15067,0
1989,15067,0
1990,15067,0
1992,15067,0
