year,rgn_id,n_cells,n_cells_tot,n_cells_cum,a_tot_km2,a_prot_km2,pct_prot,lsp_status
1.0,6,0,834,0,208.5,0.0,0.0,0.0
1960.0,6,1,834,1,208.5,0.25,0.0012,0.4
1961.0,6,1,834,1,208.5,0.25,0.0012,0.4
1962.0,6,1,834,2,208.5,0.5,0.0024,0.8
1963.0,6,1,834,2,208.5,0.5,0.0024,0.8
1964.0,6,1,834,2,208.5,0.5,0.0024,0.8
1965.0,6,1,834,2,208.5,0.5,0.0024,0.8
1966.0,6,1,834,2,208.5,0.5,0.0024,0.8
1967.0,6,1,834,2,208.5,0.5,0.0024,0.8
1968.0,6,1,834,2,208.5,0.5,0.0024,0.8
1969.0,6,1,834,2,208.5,0.5,0.0024,0.8
1970.0,6,1,834,2,208.5,0.5,0.0024,0.8
1971.0,6,1,834,2,208.5,0.5,0.0024,0.8
1972.0,6,1,834,2,208.5,0.5,0.0024,0.8
1973.0,6,4,834,6,208.5,1.5,0.0072,2.4
1974.0,6,4,834,6,208.5,1.5,0.0072,2.4
1975.0,6,10,834,16,208.5,4.0,0.0192,6.4
1976.0,6,10,834,16,208.5,4.0,0.0192,6.4
1977.0,6,10,834,16,208.5,4.0,0.0192,6.4
1978.0,6,10,834,16,208.5,4.0,0.0192,6.4
1979.0,6,10,834,16,208.5,4.0,0.0192,6.4
1980.0,6,10,834,16,208.5,4.0,0.0192,6.4
1981.0,6,0,834,16,208.5,4.0,0.0192,6.4
1982.0,6,0,834,16,208.5,4.0,0.0192,6.4
1983.0,6,0,834,16,208.5,4.0,0.0192,6.4
1984.0,6,2,834,18,208.5,4.5,0.0216,7.2
1985.0,6,2,834,18,208.5,4.5,0.0216,7.2
1986.0,6,2,834,18,208.5,4.5,0.0216,7.2
1987.0,6,2,834,18,208.5,4.5,0.0216,7.2
1988.0,6,8,834,26,208.5,6.5,0.0312,10.4
1989.0,6,8,834,26,208.5,6.5,0.0312,10.4
1990.0,6,8,834,26,208.5,6.5,0.0312,10.4
1991.0,6,8,834,26,208.5,6.5,0.0312,10.4
1992.0,6,8,834,26,208.5,6.5,0.0312,10.4
1993.0,6,8,834,26,208.5,6.5,0.0312,10.4
1994.0,6,8,834,26,208.5,6.5,0.0312,10.4
1995.0,6,0,834,26,208.5,6.5,0.0312,10.4
1996.0,6,0,834,26,208.5,6.5,0.0312,10.4
1997.0,6,6,834,32,208.5,8.0,0.0384,12.8
1998.0,6,0,834,32,208.5,8.0,0.0384,12.8
1999.0,6,0,834,32,208.5,8.0,0.0384,12.8
2e3,6,0,834,32,208.5,8.0,0.0384,12.8
2001.0,6,0,834,32,208.5,8.0,0.0384,12.8
2002.0,6,0,834,32,208.5,8.0,0.0384,12.8
2003.0,6,0,834,32,208.5,8.0,0.0384,12.8
2004.0,6,0,834,32,208.5,8.0,0.0384,12.8
2005.0,6,0,834,32,208.5,8.0,0.0384,12.8
2006.0,6,0,834,32,208.5,8.0,0.0384,12.8
2007.0,6,6,834,38,208.5,9.5,0.0456,15.2
2008.0,6,6,834,38,208.5,9.5,0.0456,15.2
2009.0,6,6,834,38,208.5,9.5,0.0456,15.2
2010.0,6,6,834,38,208.5,9.5,0.0456,15.2
2011.0,6,6,834,38,208.5,9.5,0.0456,15.2
2012.0,6,6,834,38,208.5,9.5,0.0456,15.2
2013.0,6,6,834,38,208.5,9.5,0.0456,15.2
2014.0,6,6,834,38,208.5,9.5,0.0456,15.2
2015.0,6,6,834,38,208.5,9.5,0.0456,15.2
2016.0,6,6,834,38,208.5,9.5,0.0456,15.2
