year,rgn_id,n_cells
1,6,0
1927,6,0
1936,6,0
1947,6,0
1956,6,0
1957,6,0
1960,6,1
1962,6,1
1963,6,0
1965,6,0
1966,6,0
1969,6,0
1971,6,0
1973,6,4
1975,6,10
1980,6,0
1981,6,0
1982,6,0
1984,6,2
1986,6,0
1988,6,8
1989,6,0
1990,6,0
1992,6,0
1995,6,0
1997,6,6
1998,6,0
1999,6,0
2000,6,0
2004,6,0
2007,6,6
2008,6,0
2009,6,0
2010,6,0
2011,6,0
NA,6,796
1,NA,11
1927,NA,5284
1936,NA,144
1947,NA,3
1956,NA,15
1957,NA,4
1960,NA,1
1962,NA,0
1963,NA,92
1965,NA,40
1966,NA,6
1969,NA,4
1971,NA,21
1973,NA,29
1975,NA,108
1980,NA,5
1981,NA,3
1982,NA,68
1984,NA,1
1986,NA,19
1988,NA,2
1989,NA,2
1990,NA,16
1992,NA,2
1995,NA,1363
1997,NA,126
1998,NA,1674
1999,NA,188
2000,NA,6
2004,NA,6
2007,NA,15
2008,NA,527
2009,NA,777
2010,NA,67
2011,NA,27
NA,NA,48510
